data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,tmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,9.0,9,9,9,0.0,3.7187316,0,1,350160820100119589,2023-08-20,Americana,0.0,242018,21.2857142857143,93.1428571428571,1,,1,76.4912714285714,50.1428571428571,25.0019282857143,31.1428571428571,3,,,,,104446,,,,,,,,,,,,,,,9.0,7.0,9.0,19.0
2010-01-10,201002,9.0,9,9,9,0.0,3.7187316,0,1,350160820100219589,2023-08-20,Americana,0.0,242018,20.1428571428571,94.0,1,,1,77.5372057142857,54.8571428571429,23.9557038571429,29.4285714285714,4,,,,,104446,9.0,21.2857142857143,0.0,,,,,,,,,,,,7.0,9.0,19.0,27.0
2010-01-17,201003,7.0,7,7,7,0.0,2.8923469,0,2,350160820100319589,2023-08-20,Americana,0.0,242018,20.2857142857143,99.1428571428571,1,,1,83.1837132857143,56.8571428571429,23.1957815714286,28.8571428571429,5,,,,,104446,9.0,20.1428571428571,0.0,9.0,21.2857142857143,0.0,,,,,,,,,9.0,19.0,27.0,35.0
2010-01-24,201004,9.0,9,9,9,0.0,3.7187316,0,2,350160820100419589,2023-08-20,Americana,0.0,242018,19.5714285714286,96.5714285714286,1,,1,84.1945108571429,65.1428571428571,22.4905087142857,26.8571428571429,3,,,,,104446,7.0,20.2857142857143,0.0,9.0,20.1428571428571,0.0,9.0,21.2857142857143,0.0,,,,8.5,20.321428571428577,19.0,27.0,35.0,54.0
2010-01-31,201005,19.0,19,19,19,0.0,7.8506556,0,2,350160820100519589,2023-08-20,Americana,0.0,242018,20.4285714285714,92.2857142857143,1,,1,69.2675774285714,40.7142857142857,25.9899467142857,33.1428571428571,10,,,,,104446,9.0,19.5714285714286,0.0,7.0,20.2857142857143,0.0,9.0,20.1428571428571,0.0,9.0,21.2857142857143,0.0,11.0,20.10714285714285,27.0,35.0,54.0,68.0
2010-02-07,201006,27.0,27,27,27,0.993585,11.156195,0,2,350160820100619589,2023-08-20,Americana,2.2755466,242018,21.2857142857143,89.1428571428571,1,1.0,1,69.0830762857143,44.8571428571429,25.3415934285714,31.0,7,,,,,104446,19.0,20.4285714285714,0.0,9.0,19.5714285714286,0.0,7.0,20.2857142857143,0.0,9.0,20.1428571428571,0.0,15.5,20.39285714285715,35.0,54.0,68.0,62.0
2010-02-14,201007,35.0,35,35,35,0.9885934,14.461734,0,3,350160820100719589,2023-08-20,Americana,1.8817649,242018,20.8571428571429,93.1428571428571,1,1.0,1,73.2277857142857,51.4285714285714,24.905616,30.2857142857143,22,,,,,104446,27.0,21.2857142857143,2.2755466,19.0,20.4285714285714,0.0,9.0,19.5714285714286,0.0,7.0,20.2857142857143,0.0,22.5,20.5357142857143,54.0,68.0,62.0,64.0
2010-02-21,201008,54.0,54,54,54,0.9986884,22.31239,0,3,350160820100819589,2023-08-20,Americana,1.9800868,242018,20.0,92.5714285714286,1,1.0,1,72.9784302857143,52.1428571428571,24.529406,30.1428571428571,27,,,,,104446,35.0,20.8571428571429,1.8817649,27.0,21.2857142857143,2.2755466,19.0,20.4285714285714,0.0,9.0,19.5714285714286,0.0,33.75,20.64285714285715,68.0,62.0,64.0,65.0
2010-02-28,201009,68.0,68,68,68,0.99820215,28.097084,0,3,350160820100919589,2023-08-20,Americana,1.7754264,242018,18.7142857142857,92.4285714285714,0,1.0,2,80.7983588571429,67.8571428571429,21.6103865714286,25.1428571428571,30,,,,,104446,54.0,20.0,1.9800868,35.0,20.8571428571429,1.8817649,27.0,21.2857142857143,2.2755466,19.0,20.4285714285714,0.0,46.0,20.214285714285722,62.0,64.0,65.0,94.0
2010-03-07,201010,62.0,62,62,62,0.8423393,25.61793,0,3,350160820101019589,2023-08-20,Americana,1.2072477,242018,19.5714285714286,84.0,1,0.0,2,59.470756,34.8571428571429,25.5778988571429,31.4285714285714,25,,,,,104446,68.0,18.7142857142857,1.7754264,54.0,20.0,1.9800868,35.0,20.8571428571429,1.8817649,27.0,21.2857142857143,2.2755466,54.75,19.785714285714302,64.0,65.0,94.0,123.0
