data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,tmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,10.0,10,10,10,0.0,2.6364565,0,1,350600320100119589,2023-08-20,Bauru,0.0,379297,22.0,99.1428571428571,1,0,0,80.903374,57.0,25.9217957142857,31.1428571428571,7,,,,,165431,,,,,,,,,,,,,,,5.0,6.0,17.0,15.0
2010-01-10,201002,5.0,5,5,5,0.0,1.3182282,0,1,350600320100219589,2023-08-20,Bauru,0.0,379297,20.7142857142857,99.1428571428571,1,0,0,87.4046437142857,69.5714285714286,23.6329285714286,28.5714285714286,3,,,,,165431,10.0,22.0,0.0,,,,,,,,,,,,6.0,17.0,15.0,17.0
2010-01-17,201003,6.0,6,6,6,0.0,1.5818739,0,2,350600320100319589,2023-08-20,Bauru,0.0,379297,20.7142857142857,100.0,1,0,0,87.6358711428571,66.7142857142857,24.193582,29.1428571428571,2,,,,,165431,5.0,20.7142857142857,0.0,10.0,22.0,0.0,,,,,,,,,17.0,15.0,17.0,28.0
2010-01-24,201004,17.0,17,17,17,0.0,4.481976,0,2,350600320100419589,2023-08-20,Bauru,0.0,379297,20.2857142857143,100.0,1,0,1,90.0410302857143,70.2857142857143,23.2508208571429,27.5714285714286,7,,,,,165431,6.0,20.7142857142857,0.0,5.0,20.7142857142857,0.0,10.0,22.0,0.0,,,,9.5,20.928571428571423,15.0,17.0,28.0,47.0
2010-01-31,201005,15.0,15,15,15,0.0,3.9546845,0,2,350600320100519589,2023-08-20,Bauru,0.0,379297,21.1428571428571,95.7142857142857,1,0,1,73.5421851428572,50.0,26.7171322857143,32.7142857142857,3,,,,,165431,17.0,20.2857142857143,0.0,6.0,20.7142857142857,0.0,5.0,20.7142857142857,0.0,10.0,22.0,0.0,10.75,20.7142857142857,17.0,28.0,47.0,56.0
2010-02-07,201006,17.0,17,17,17,0.76508677,4.481976,0,2,350600320100619589,2023-08-20,Bauru,1.2981535,379297,21.2857142857143,97.4285714285714,1,0,1,78.987602,52.7142857142857,25.3720591428571,31.0,7,,,,,165431,15.0,21.1428571428571,0.0,17.0,20.2857142857143,0.0,6.0,20.7142857142857,0.0,5.0,20.7142857142857,0.0,13.75,20.85714285714285,28.0,47.0,56.0,57.0
2010-02-14,201007,28.0,28,28,28,0.9660762,7.3820777,0,2,350600320100719589,2023-08-20,Bauru,1.7423414,379297,21.1428571428571,97.5714285714286,1,1,1,82.295882,62.1428571428571,24.7970642857143,29.5714285714286,15,,,,,165431,17.0,21.2857142857143,1.2981535,15.0,21.1428571428571,0.0,17.0,20.2857142857143,0.0,6.0,20.7142857142857,0.0,19.25,20.9642857142857,47.0,56.0,57.0,95.0
2010-02-21,201008,47.0,47,47,47,0.99945253,12.391345,0,2,350600320100819589,2023-08-20,Bauru,2.2738864,379297,20.8571428571429,95.8571428571429,1,1,1,76.7016994285714,57.1428571428571,25.4948288571429,30.5714285714286,21,,,,,165431,28.0,21.1428571428571,1.7423414,17.0,21.2857142857143,1.2981535,15.0,21.1428571428571,0.0,17.0,20.2857142857143,0.0,26.75,21.10714285714285,56.0,57.0,95.0,77.0
2010-02-28,201009,56.0,56,56,56,0.9971773,14.764155,0,3,350600320100919589,2023-08-20,Bauru,1.8320998,379297,19.0,100.0,0,1,1,86.1155451428571,67.1428571428571,22.6611644285714,26.8571428571429,27,,,,,165431,47.0,20.8571428571429,2.2738864,28.0,21.1428571428571,1.7423414,17.0,21.2857142857143,1.2981535,15.0,21.1428571428571,0.0,37.0,20.571428571428577,57.0,95.0,77.0,88.0
2010-03-07,201010,57.0,57,57,57,0.91820484,15.0278015,0,1,350600320101019589,2023-08-20,Bauru,1.3212819,379297,21.1428571428571,82.7142857142857,0,0,1,58.3136645714286,37.7142857142857,26.9692262857143,32.5714285714286,25,,,,,165431,56.0,19.0,1.8320998,47.0,20.8571428571429,2.2738864,28.0,21.1428571428571,1.7423414,17.0,21.2857142857143,1.2981535,47.0,20.535714285714274,95.0,77.0,88.0,72.0
2010-03-14,201011,95.0,95,95,95,0.9996228,25.046335,0,1,350600320101119589,2023-08-20,Bauru,1.7519922,379297,20.0,97.4285714285714,0,1,1,77.5922948571429,55.4285714285714,24.8682612857143,30.2857142857143,56,,,,,165431,57.0,21.1428571428571,1.3212819,56.0,19.0,1.8320998,47.0,20.8571428571429,2.2738864,28.0,21.1428571428571,1.7423414,63.75,20.25,77.0,88.0,72.0,49.0
2010-03-21,201012,77.0,77,77,77,0.8197515,20.300714,0,1,350600320101219589,2023-08-20,Bauru,1.1649271,379297,20.7142857142857,100.0,1,0,1,83.8089042857143,61.2857142857143,24.9546127142857,30.2857142857143,49,,,,,165431,95.0,20.0,1.7519922,57.0,21.1428571428571,1.3212819,56.0,19.0,1.8320998,47.0,20.8571428571429,2.2738864,71.25,20.2142857142857,88.0,72.0,49.0,69.0
2010-03-28,201013,88.0,88,88,88,0.77441365,23.200817,0,1,350600320101319589,2023-08-20,Bauru,1.1237338,379297,20.0,100.0,0,0,1,89.0726174285714,70.2857142857143,23.340584,28.0,47,,,,,165431,77.0,20.7142857142857,1.1649271,95.0,20.0,1.7519922,57.0,21.1428571428571,1.3212819,56.0,19.0,1.8320998,79.25,20.4642857142857,72.0,49.0,69.0,73.0
2010-04-04,201014,72.0,72,72,72,0.20457678,18.982487,0,1,350600320101419589,2023-08-20,Bauru,0.8757148,379297,14.7142857142857,100.0,0,0,1,83.8828068571429,62.1428571428571,19.0522575714286,23.8571428571429,40,,,,,165431,88.0,20.0,1.1237338,77.0,20.7142857142857,1.1649271,95.0,20.0,1.7519922,57.0,21.1428571428571,1.3212819,83.0,18.85714285714285,49.0,69.0,73.0,87.0
2010-04-11,201015,49.0,49,49,49,0.0035898837,12.918636,0,1,350600320101519589,2023-08-20,Bauru,0.6187225,379297,16.8571428571429,96.7142857142857,0,0,1,70.8665525714286,45.5714285714286,22.2715748571429,27.8571428571429,25,,,,,165431,72.0,14.7142857142857,0.8757148,88.0,20.0,1.1237338,77.0,20.7142857142857,1.1649271,95.0,20.0,1.7519922,71.5,18.071428571428577,69.0,73.0,87.0,54.0
2010-04-18,201016,69.0,69,69,69,0.45986775,18.19155,0,1,350600320101619589,2023-08-20,Bauru,0.9831125,379297,19.4285714285714,88.7142857142857,0,0,1,68.7670805714286,48.8571428571429,24.8831171428571,30.5714285714286,41,,,,,165431,49.0,16.8571428571429,0.6187225,72.0,14.7142857142857,0.8757148,88.0,20.0,1.1237338,77.0,20.7142857142857,1.1649271,69.5,17.75,73.0,87.0,54.0,21.0
2010-04-25,201017,73.0,73,73,73,0.8122493,19.246132,0,1,350600320101719589,2023-08-20,Bauru,1.1640396,379297,18.1428571428571,99.1428571428571,0,0,1,78.6484097142857,55.4285714285714,22.874042,28.0,46,,,,,165431,69.0,19.4285714285714,0.9831125,49.0,16.8571428571429,0.6187225,72.0,14.7142857142857,0.8757148,88.0,20.0,1.1237338,65.75,17.285714285714274,87.0,54.0,21.0,8.0
2010-05-02,201018,87.0,87,87,87,0.9556485,22.93717,0,1,350600320101819589,2023-08-20,Bauru,1.3175339,379297,17.5714285714286,94.8571428571429,0,1,1,74.9090514285714,52.8571428571429,22.7052111428571,27.7142857142857,71,,,,,165431,73.0,18.1428571428571,1.1640396,69.0,19.4285714285714,0.9831125,49.0,16.8571428571429,0.6187225,72.0,14.7142857142857,0.8757148,69.5,18.0,54.0,21.0,8.0,13.0
2010-05-09,201019,54.0,54,54,54,0.046961606,14.236864,0,1,350600320101919589,2023-08-20,Bauru,0.74214286,379297,12.1428571428571,98.2857142857143,0,0,1,80.1453028571429,57.1428571428571,16.9444892857143,22.1428571428571,54,,,,,165431,87.0,17.5714285714286,1.3175339,73.0,18.1428571428571,1.1640396,69.0,19.4285714285714,0.9831125,49.0,16.8571428571429,0.6187225,70.75,16.821428571428548,21.0,8.0,13.0,9.0
2010-05-16,201020,21.0,21,21,21,4.489029e-08,5.5365586,0,1,350600320102019589,2023-08-20,Bauru,0.2977694,379297,13.8571428571429,96.7142857142857,0,0,1,81.7405417142857,60.2857142857143,17.9734747142857,22.5714285714286,21,,,,,165431,54.0,12.1428571428571,0.74214286,87.0,17.5714285714286,1.3175339,73.0,18.1428571428571,1.1640396,69.0,19.4285714285714,0.9831125,58.75,15.428571428571423,8.0,13.0,9.0,11.0
2010-05-23,201021,8.0,8,8,8,5.5276284e-10,2.1091652,0,1,350600320102119589,2023-08-20,Bauru,0.15278415,379297,14.8571428571429,100.0,0,0,0,82.3835665714286,59.4285714285714,19.6204185714286,25.0,7,,,,,165431,21.0,13.8571428571429,0.2977694,54.0,12.1428571428571,0.74214286,87.0,17.5714285714286,1.3175339,73.0,18.1428571428571,1.1640396,42.5,14.607142857142875,13.0,9.0,11.0,8.0
2010-05-30,201022,13.0,13,13,13,0.005520234,3.4273932,0,1,350600320102219589,2023-08-20,Bauru,0.44655275,379297,13.7142857142857,100.0,0,0,1,83.2976668571429,59.7142857142857,17.9657445714286,23.0,10,,,,,165431,8.0,14.8571428571429,0.15278415,21.0,13.8571428571429,0.2977694,54.0,12.1428571428571,0.74214286,87.0,17.5714285714286,1.3175339,24.0,13.642857142857151,9.0,11.0,8.0,6.0
2010-06-06,201023,9.0,9,9,9,0.09802708,2.3728108,0,1,350600320102319589,2023-08-20,Bauru,0.5915053,379297,12.3333333333333,91.3333333333333,0,0,0,74.6523771666667,54.1666666666667,16.4320716666667,21.8333333333333,6,,,,,165431,13.0,13.7142857142857,0.44655275,8.0,14.8571428571429,0.15278415,21.0,13.8571428571429,0.2977694,54.0,12.1428571428571,0.74214286,12.75,13.6904761904762,11.0,8.0,6.0,4.0
2010-06-13,201024,11.0,11,11,11,0.4760256,2.9001021,0,1,350600320102419589,2023-08-20,Bauru,0.975304,379297,13.2857142857143,86.5714285714286,0,0,1,63.1397511428571,42.7142857142857,19.7204971428571,26.0,9,,,,,165431,9.0,12.3333333333333,0.5915053,13.0,13.7142857142857,0.44655275,8.0,14.8571428571429,0.15278415,21.0,13.8571428571429,0.2977694,10.25,13.54761904761905,8.0,6.0,4.0,8.0
2010-06-20,201025,8.0,8,8,8,0.28610316,2.1091652,0,1,350600320102519589,2023-08-20,Bauru,0.77204734,379297,16.4285714285714,86.5714285714286,0,0,0,66.1846691428571,45.8571428571429,21.6487187142857,27.4285714285714,7,,,,,165431,11.0,13.2857142857143,0.975304,9.0,12.3333333333333,0.5915053,13.0,13.7142857142857,0.44655275,8.0,14.8571428571429,0.15278415,10.25,13.940476190476176,6.0,4.0,8.0,6.0
2010-06-27,201026,6.0,6,6,6,0.17536569,1.5818739,0,1,350600320102619589,2023-08-20,Bauru,0.62721866,379297,14.1428571428571,92.0,0,0,0,65.5750977142857,39.7142857142857,19.6250705714286,26.2857142857143,4,,,,,165431,8.0,16.4285714285714,0.77204734,11.0,13.2857142857143,0.975304,9.0,12.3333333333333,0.5915053,13.0,13.7142857142857,0.44655275,8.5,14.047619047619024,4.0,8.0,6.0,11.0
2010-07-04,201027,4.0,4,4,4,0.110132106,1.0545826,0,1,350600320102719589,2023-08-20,Bauru,0.49593094,379297,14.7142857142857,90.2857142857143,0,0,0,61.8761801428571,40.2857142857143,20.6085878571429,26.4285714285714,0,,,,,165431,6.0,14.1428571428571,0.62721866,8.0,16.4285714285714,0.77204734,11.0,13.2857142857143,0.975304,9.0,12.3333333333333,0.5915053,7.25,14.642857142857125,8.0,6.0,11.0,6.0
2010-07-11,201028,8.0,8,8,8,0.67175764,2.1091652,0,1,350600320102819589,2023-08-20,Bauru,1.2569191,379297,14.5714285714286,95.1428571428571,0,0,0,84.0407431428571,68.7142857142857,18.093762,22.1428571428571,1,,,,,165431,4.0,14.7142857142857,0.49593094,6.0,14.1428571428571,0.62721866,8.0,16.4285714285714,0.77204734,11.0,13.2857142857143,0.975304,6.5,14.9642857142857,6.0,11.0,6.0,12.0
2010-07-18,201029,6.0,6,6,6,0.525363,1.5818739,0,1,350600320102919589,2023-08-20,Bauru,1.0364114,379297,16.6666666666667,91.1666666666667,0,0,0,66.6230646666667,45.0,22.399786,28.1666666666667,0,,,,,165431,8.0,14.5714285714286,1.2569191,4.0,14.7142857142857,0.49593094,6.0,14.1428571428571,0.62721866,8.0,16.4285714285714,0.77204734,6.0,15.023809523809526,11.0,6.0,12.0,4.0
2010-07-25,201030,11.0,11,11,11,0.8621426,2.9001021,0,1,350600320103019589,2023-08-20,Bauru,1.6752888,379297,16.6666666666667,85.0,0,0,1,61.6760726666667,40.0,21.7410701666667,27.0,6,,,,,165431,6.0,16.6666666666667,1.0364114,8.0,14.5714285714286,1.2569191,4.0,14.7142857142857,0.49593094,6.0,14.1428571428571,0.62721866,7.25,15.654761904761925,6.0,12.0,4.0,8.0
2010-08-01,201031,6.0,6,6,6,0.33100194,1.5818739,0,1,350600320103119589,2023-08-20,Bauru,0.79378885,379297,12.2857142857143,94.8571428571429,0,0,0,72.2401665714286,48.1428571428571,17.5938395714286,24.4285714285714,1,,,,,165431,11.0,16.6666666666667,1.6752888,6.0,16.6666666666667,1.0364114,8.0,14.5714285714286,1.2569191,4.0,14.7142857142857,0.49593094,7.75,15.047619047619074,12.0,4.0,8.0,9.0
2010-08-08,201032,12.0,12,12,12,0.7934098,3.1637478,0,1,350600320103219589,2023-08-20,Bauru,1.4302101,379297,13.4285714285714,91.5714285714286,0,0,1,60.4737422857143,35.4285714285714,20.4395822857143,27.5714285714286,2,,,,,165431,6.0,12.2857142857143,0.79378885,11.0,16.6666666666667,1.6752888,6.0,16.6666666666667,1.0364114,8.0,14.5714285714286,1.2569191,8.75,14.761904761904775,4.0,8.0,9.0,10.0
2010-08-15,201033,4.0,4,4,4,0.08978334,1.0545826,0,1,350600320103319589,2023-08-20,Bauru,0.46866456,379297,11.0,89.0,0,0,0,58.4320562857143,34.5714285714286,17.8310835714286,24.5714285714286,0,,,,,165431,12.0,13.4285714285714,1.4302101,6.0,12.2857142857143,0.79378885,11.0,16.6666666666667,1.6752888,6.0,16.6666666666667,1.0364114,8.25,13.3452380952381,8.0,9.0,10.0,6.0
2010-08-22,201034,8.0,8,8,8,0.47357282,2.1091652,0,1,350600320103419589,2023-08-20,Bauru,0.9684631,379297,19.0,53.2857142857143,0,0,0,33.6053074285714,20.4285714285714,25.5149628571429,32.1428571428571,0,,,,,165431,4.0,11.0,0.46866456,12.0,13.4285714285714,1.4302101,6.0,12.2857142857143,0.79378885,11.0,16.6666666666667,1.6752888,7.5,13.928571428571425,9.0,10.0,6.0,13.0
2010-08-29,201035,9.0,9,9,9,0.6678274,2.3728108,0,1,350600320103519589,2023-08-20,Bauru,1.2337872,379297,18.5714285714286,68.2857142857143,0,0,0,44.1372371428571,26.1428571428571,25.4708662857143,31.8571428571429,2,,,,,165431,8.0,19.0,0.9684631,4.0,11.0,0.46866456,12.0,13.4285714285714,1.4302101,6.0,12.2857142857143,0.79378885,8.25,15.5,10.0,6.0,13.0,9.0
2010-09-05,201036,10.0,10,10,10,0.725493,2.6364565,0,1,350600320103619589,2023-08-20,Bauru,1.3239717,379297,14.1428571428571,93.1428571428571,0,0,0,70.2752685714286,46.1428571428571,20.1202711428571,27.0,5,,,,,165431,9.0,18.5714285714286,1.2337872,8.0,19.0,0.9684631,4.0,11.0,0.46866456,12.0,13.4285714285714,1.4302101,7.75,15.678571428571425,6.0,13.0,9.0,6.0
2010-09-12,201037,6.0,6,6,6,0.2458633,1.5818739,0,1,350600320103719589,2023-08-20,Bauru,0.70258725,379297,17.5714285714286,79.1428571428571,0,0,0,54.6726348571429,33.4285714285714,23.894558,30.8571428571429,0,,,,,165431,10.0,14.1428571428571,1.3239717,9.0,18.5714285714286,1.2337872,8.0,19.0,0.9684631,4.0,11.0,0.46866456,8.25,17.321428571428577,13.0,9.0,6.0,5.0
2010-09-19,201038,13.0,13,13,13,0.823004,3.4273932,0,1,350600320103819589,2023-08-20,Bauru,1.4819651,379297,17.7142857142857,86.5714285714286,0,0,1,65.5310285714286,40.5714285714286,23.3054905714286,30.2857142857143,0,,,,,165431,6.0,17.5714285714286,0.70258725,10.0,14.1428571428571,1.3239717,9.0,18.5714285714286,1.2337872,8.0,19.0,0.9684631,9.5,17.0,9.0,6.0,5.0,4.0
