data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,receptivo,transmissao,nivel_inc,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,tmin,tmed,tmax,precipitacao,umidade,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,log_casos,var_log_1,var_log_2,var_log_3,var_log_4,semana_ano,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,88.0,88,88.0,88,0.0,7.2500067,0,1,350950220100119589,2023-08-20,Campinas,0.0,1213792,1,,1,14,,,,,532304,21.54,25.04,30.14,43.8,77.86,,,,,,,,,,,,,,,4.48863636973214,,,,,53,94.0,107.0,99.0,120.0
2010-01-10,201002,94.0,94,94.0,94,0.0,7.744325,0,1,350950220100219589,2023-08-20,Campinas,0.0,1213792,1,,1,20,,,,,532304,20.81,24.31,28.91,38.1,80.57,88.0,21.54,0.0,,,,,,,,,,,,4.553876891600541,0.06524052186840112,,,,1,107.0,99.0,120.0,166.0
2010-01-17,201003,107.0,107,107.0,107,0.0,8.815349,0,2,350950220100319589,2023-08-20,Campinas,0.0,1213792,1,,1,24,,,,,532304,20.47,23.47,27.6,81.3,84.0,94.0,20.81,0.0,88.0,21.54,0.0,,,,,,,,,4.68213122712422,0.12825433552367915,0.19349485739208028,,,2,99.0,120.0,166.0,247.0
2010-01-24,201004,99.0,99,99.0,99,0.0,8.156258,0,2,350950220100419589,2023-08-20,Campinas,0.0,1213792,1,,1,39,,,,,532304,19.77,22.84,27.17,78.7,84.43,107.0,20.47,0.0,94.0,20.81,0.0,88.0,21.54,0.0,,,,97.0,20.6475,4.605170185988092,-0.07696104113612812,0.051293294387551036,0.11653381625595216,,3,120.0,166.0,247.0,312.0
2010-01-31,201005,120.0,120,120.0,120,0.0,9.886373,0,2,350950220100519589,2023-08-20,Campinas,0.0,1213792,1,,1,36,,,,,532304,20.54,25.61,32.27,14.5,72.43,99.0,19.77,0.0,107.0,20.47,0.0,94.0,20.81,0.0,88.0,21.54,0.0,105.0,20.3975,4.795790545596741,0.19062035960864954,0.11365931847252142,0.24191365399620057,0.3071541758646017,4,166.0,247.0,312.0,439.0
2010-02-07,201006,166.0,166,166.0,166,0.99973506,13.676148,0,2,350950220100619589,2023-08-20,Campinas,1.5250304,1213792,1,1.0,1,71,,,,,532304,21.23,25.33,30.81,16.5,73.43,120.0,20.54,0.0,99.0,19.77,0.0,107.0,20.47,0.0,94.0,20.81,0.0,123.0,20.502499999999998,5.117993812416755,0.3222032668200141,0.5128236264286636,0.4358625852925355,0.5641169208162147,5,247.0,312.0,439.0,427.0
2010-02-14,201007,247.0,247,247.0,247,1.0,20.349451,0,3,350950220100719589,2023-08-20,Campinas,1.877806,1213792,1,1.0,1,141,,,,,532304,21.1,24.99,29.91,33.0,75.43,166.0,21.23,1.5250304,120.0,20.54,0.0,99.0,19.77,0.0,107.0,20.47,0.0,158.0,20.66,5.5134287461649825,0.395434933748227,0.7176382005682411,0.9082585601768907,0.8312975190407625,6,312.0,439.0,427.0,517.0
2010-02-21,201008,312.0,312,312.0,312,1.0,25.704569,0,3,350950220100819589,2023-08-20,Campinas,1.7557199,1213792,1,1.0,1,150,,,,,532304,20.17,24.4,29.0,15.6,75.57,247.0,21.1,1.877806,166.0,21.23,1.5250304,120.0,20.54,0.0,99.0,19.77,0.0,211.25,20.76,5.746203190540153,0.23277444437517048,0.6282093781233975,0.9504126449434116,1.1410330045520611,7,439.0,427.0,517.0,546.0
2010-02-28,201009,439.0,439,439.0,439,1.0,36.16765,0,3,350950220100919589,2023-08-20,Campinas,1.7930449,1213792,0,1.0,2,212,,,,,532304,19.1,21.63,24.81,38.7,83.0,312.0,20.17,1.7557199,247.0,21.1,1.877806,166.0,21.23,1.5250304,120.0,20.54,0.0,291.0,20.400000000000002,6.0867747269123065,0.34057153637215354,0.573345980747324,0.968780914495551,1.2909841813155651,8,427.0,517.0,546.0,541.0
2010-03-07,201010,427.0,427,427.0,427,0.9999291,35.17901,0,3,350950220101019589,2023-08-20,Campinas,1.321884,1213792,1,1.0,2,163,,,,,532304,19.01,24.8,30.67,0.6,67.43,439.0,19.1,1.7930449,312.0,20.17,1.7557199,247.0,21.1,1.877806,166.0,21.23,1.5250304,356.25,19.845,6.059123195581797,-0.027651531330509904,0.31292000504164363,0.5456944494168141,0.9411293831650411,9,517.0,546.0,541.0,613.0
2010-03-14,201011,517.0,517,517.0,517,0.99997014,42.59379,0,4,350950220101119589,2023-08-20,Campinas,1.3057104,1213792,1,1.0,2,261,,,,,532304,19.79,23.94,29.2,22.7,76.86,427.0,19.01,1.321884,439.0,19.1,1.7930449,312.0,20.17,1.7557199,247.0,21.1,1.877806,423.75,19.517500000000002,6.249975242259483,0.19085204667768618,0.16320051534717628,0.5037720517193298,0.7365464960945003,10,546.0,541.0,613.0,578.0
2010-03-21,201012,546.0,546,546.0,546,0.9989477,44.982994,0,4,350950220101219589,2023-08-20,Campinas,1.2157278,1213792,1,1.0,2,279,,,,,532304,20.8,24.59,30.0,28.2,78.86,517.0,19.79,1.3057104,427.0,19.01,1.321884,439.0,19.1,1.7930449,312.0,20.17,1.7557199,482.25,19.675,6.304448802421981,0.05447356016249838,0.24532560684018456,0.21767407550967466,0.5582456118818282,11,541.0,613.0,578.0,683.0
2010-03-28,201013,541.0,541,541.0,541,0.9188867,44.571064,0,4,350950220101319589,2023-08-20,Campinas,1.0906866,1213792,1,0.0,2,291,,,,,532304,20.16,23.41,28.19,47.5,80.29,546.0,20.8,1.2157278,517.0,19.79,1.3057104,427.0,19.01,1.321884,439.0,19.1,1.7930449,507.75,19.939999999999998,6.295266001439646,-0.009182800982334705,0.045290759180163676,0.23614280585784986,0.20849127452733995,12,613.0,578.0,683.0,779.0
2010-04-04,201014,613.0,613,613.0,613,0.99172807,50.502888,0,4,350950220101419589,2023-08-20,Campinas,1.1523297,1213792,0,1.0,2,359,,,,,532304,15.64,18.76,22.5,28.5,81.0,541.0,20.16,1.0906866,546.0,20.8,1.2157278,517.0,19.79,1.3057104,427.0,19.01,1.321884,554.25,19.0975,6.419994928147142,0.1247289267074958,0.1155461257251611,0.17001968588765948,0.36087173256534566,13,578.0,683.0,779.0,708.0
2010-04-11,201015,578.0,578,578.0,578,0.73015636,47.61936,0,4,350950220101519589,2023-08-20,Campinas,1.0370623,1213792,0,0.0,2,270,,,,,532304,15.53,21.17,27.24,0.9,70.0,613.0,15.64,1.1523297,541.0,20.16,1.0906866,546.0,20.8,1.2157278,517.0,19.79,1.3057104,569.5,18.0325,6.361302477572996,-0.058692450574146626,0.06603647613334918,0.05685367515101447,0.11132723531351285,14,683.0,779.0,708.0,477.0
2010-04-18,201016,683.0,683,683.0,683,0.99730724,56.26994,0,4,350950220101619589,2023-08-20,Campinas,1.1694789,1213792,0,1.0,2,309,,,,,532304,17.7,23.57,29.89,1.2,65.57,578.0,15.53,1.0370623,613.0,15.64,1.1523297,541.0,20.16,1.0906866,546.0,20.8,1.2157278,603.75,17.2575,6.52795791762255,0.16665544004955457,0.10796298947540794,0.23269191618290375,0.22350911520056904,15,779.0,708.0,477.0,358.0
2010-04-25,201017,779.0,779,779.0,779,0.999992,64.17904,0,4,350950220101719589,2023-08-20,Campinas,1.2606394,1213792,0,1.0,2,421,,,,,532304,17.87,22.01,27.73,6.3,72.14,683.0,17.7,1.1694789,578.0,15.53,1.0370623,613.0,15.64,1.1523297,541.0,20.16,1.0906866,663.25,16.685,6.659293919683638,0.13133600206108742,0.297991442110642,0.23929899153649536,0.36402791824399117,16,708.0,477.0,358.0,289.0
2010-05-02,201018,708.0,708,708.0,708,0.81537396,58.329597,0,4,350950220101819589,2023-08-20,Campinas,1.0494714,1213792,0,0.0,2,377,,,,,532304,16.46,22.27,29.03,8.9,63.0,779.0,17.87,1.2606394,683.0,17.7,1.1694789,578.0,15.53,1.0370623,613.0,15.64,1.1523297,687.0,16.89,6.5638555265321274,-0.09543839315151015,0.03589760890957727,0.20255304895913184,0.14386059838498522,17,477.0,358.0,289.0,175.0
2010-05-09,201019,477.0,477,477.0,477,9.678258e-12,39.298332,0,4,350950220101919589,2023-08-20,Campinas,0.67457896,1213792,0,0.0,2,236,,,,,532304,12.89,16.96,22.43,4.9,72.43,708.0,16.46,1.0494714,779.0,17.87,1.2606394,683.0,17.7,1.1694789,578.0,15.53,1.0370623,661.75,16.23,6.169610732491456,-0.39424479404067103,-0.4896831871921812,-0.35834718513109376,-0.1916917450815392,18,358.0,289.0,175.0,138.0
2010-05-16,201020,358.0,358,358.0,358,0.0,29.494345,0,4,350950220102019589,2023-08-20,Campinas,0.55485344,1213792,0,0.0,1,124,,,,,532304,13.57,18.17,23.37,14.3,73.71,477.0,12.89,0.67457896,708.0,16.46,1.0494714,779.0,17.87,1.2606394,683.0,17.7,1.1694789,580.5,15.197500000000002,5.883322388488279,-0.2862883440031778,-0.6805331380438489,-0.775971531195359,-0.6446355291342716,19,289.0,175.0,138.0,114.0
2010-05-23,201021,289.0,289,289.0,289,2.220446e-15,23.80968,0,1,350950220102119589,2023-08-20,Campinas,0.56777567,1213792,0,0.0,1,114,,,,,532304,15.7,19.7,25.33,0.0,73.0,358.0,13.57,0.55485344,477.0,12.89,0.67457896,708.0,16.46,1.0494714,779.0,17.87,1.2606394,458.0,14.655,5.66988092298052,-0.213441465507759,-0.4997298095109368,-0.8939746035516078,-0.989412996703118,20,175.0,138.0,114.0,71.0
2010-05-30,201022,175.0,175,175.0,175,0.0,14.417626,0,1,350950220102219589,2023-08-20,Campinas,0.46126723,1213792,0,0.0,1,74,,,,,532304,13.99,18.37,23.43,19.5,69.14,289.0,15.7,0.56777567,358.0,13.57,0.55485344,477.0,12.89,0.67457896,708.0,16.46,1.0494714,324.75,14.0375,5.170483995038151,-0.49939692794236823,-0.7128383934501272,-0.999126737453305,-1.393371531493976,21,138.0,114.0,71.0,85.0
2010-06-06,201023,138.0,138,138.0,138,8.806289e-13,11.3693285,0,1,350950220102319589,2023-08-20,Campinas,0.49160674,1213792,0,0.0,1,50,,,,,532304,10.81,15.46,21.84,0.6,71.43,175.0,13.99,0.46126723,289.0,15.7,0.56777567,358.0,13.57,0.55485344,477.0,12.89,0.67457896,240.0,13.517500000000002,4.9344739331306915,-0.23601006190745988,-0.7354069898498281,-0.9488484553575871,-1.235136799360765,22,114.0,71.0,85.0,80.0
2010-06-13,201024,114.0,114,114.0,114,4.0642252e-07,9.392054,0,1,350950220102419589,2023-08-20,Campinas,0.5676442,1213792,0,0.0,1,27,,,,,532304,10.43,17.56,26.26,0.0,56.86,138.0,10.81,0.49160674,175.0,13.99,0.46126723,289.0,15.7,0.56777567,358.0,13.57,0.55485344,179.0,12.732499999999998,4.74493212836325,-0.1895418047674413,-0.4255518666749012,-0.9249487946172694,-1.1383902601250284,23,71.0,85.0,80.0,74.0
2010-06-20,201025,71.0,71,71.0,71,1.2423929e-07,5.849437,0,1,350950220102519589,2023-08-20,Campinas,0.4860623,1213792,0,0.0,1,15,,,,,532304,14.49,19.6,26.91,2.6,64.43,114.0,10.43,0.5676442,138.0,10.81,0.49160674,175.0,13.99,0.46126723,289.0,15.7,0.56777567,124.5,12.43,4.276666119016055,-0.46826600934719487,-0.6578078141146362,-0.8938178760220961,-1.3932148039644643,24,85.0,80.0,74.0,77.0
2010-06-27,201026,85.0,85,85.0,85,0.029251138,7.002847,0,1,350950220102619589,2023-08-20,Campinas,0.7628903,1213792,0,0.0,1,20,,,,,532304,11.59,17.91,25.97,0.0,61.71,71.0,14.49,0.4860623,114.0,10.43,0.5676442,138.0,10.81,0.49160674,175.0,13.99,0.46126723,102.0,11.83,4.454347296253507,0.17768117723745203,-0.29058483210974284,-0.48012663687718415,-0.716136698784644,25,80.0,74.0,77.0,70.0
2010-07-04,201027,80.0,80,80.0,80,0.24232878,6.590915,0,1,350950220102719589,2023-08-20,Campinas,0.8982518,1213792,0,0.0,1,7,,,,,532304,13.13,18.91,26.43,0.0,56.86,85.0,11.59,0.7628903,71.0,14.49,0.4860623,114.0,10.43,0.5676442,138.0,10.81,0.49160674,87.5,12.41,4.394449154672439,-0.05989814158106821,0.11778303565638382,-0.35048297369081105,-0.5400247784582524,26,74.0,77.0,70.0,78.0
2010-07-11,201028,74.0,74,74.0,74,0.28020468,6.0965962,0,1,350950220102819589,2023-08-20,Campinas,0.9109551,1213792,0,0.0,1,12,,,,,532304,15.2,18.27,22.26,50.0,79.14,80.0,13.13,0.8982518,85.0,11.59,0.7628903,71.0,14.49,0.4860623,114.0,10.43,0.5676442,77.5,13.6025,4.31748811353631,-0.076961041136129,-0.13685918271719721,0.04082199452025481,-0.42744401482694006,27,77.0,70.0,78.0,64.0
2010-07-18,201029,77.0,77,77.0,77,0.43925926,6.3437557,0,1,350950220102919589,2023-08-20,Campinas,0.9758774,1213792,0,0.0,1,11,,,,,532304,15.96,20.81,27.17,0.6,71.57,74.0,15.2,0.9109551,80.0,13.13,0.8982518,85.0,11.59,0.7628903,71.0,14.49,0.4860623,79.0,13.97,4.356708826689592,0.03922071315328157,-0.03774032798284743,-0.09763846956391564,0.08004270767353638,28,70.0,78.0,64.0,80.0
2010-07-25,201030,70.0,70,70.0,70,0.30323893,5.7670507,0,1,350950220103019589,2023-08-20,Campinas,0.91851634,1213792,0,0.0,1,8,,,,,532304,15.06,20.0,26.09,0.1,63.57,77.0,15.96,0.9758774,74.0,15.2,0.9109551,80.0,13.13,0.8982518,85.0,11.59,0.7628903,75.25,14.8375,4.2626798770413155,-0.09402894964827624,-0.05480823649499467,-0.13176927763112367,-0.19166741921219188,29,78.0,64.0,80.0,113.0
2010-08-01,201031,78.0,78,78.0,78,0.6125271,6.426142,0,1,350950220103119589,2023-08-20,Campinas,1.047271,1213792,0,0.0,1,9,,,,,532304,13.47,17.07,22.79,0.7,72.0,70.0,15.06,0.91851634,77.0,15.96,0.9758774,74.0,15.2,0.9109551,80.0,13.13,0.8982518,74.75,14.9225,4.3694478524670215,0.10676797542570604,0.012739025777429802,0.051959738930711374,-0.02500130220541763,30,64.0,80.0,113.0,88.0
2010-08-08,201032,64.0,64,64.0,64,0.21414568,5.2727323,0,1,350950220103219589,2023-08-20,Campinas,0.87374157,1213792,0,0.0,1,6,,,,,532304,13.46,19.04,25.84,0.0,60.43,78.0,13.47,1.047271,70.0,15.06,0.91851634,77.0,15.96,0.9758774,74.0,15.2,0.9109551,72.25,14.4875,4.174387269895637,-0.1950605825713847,-0.08829260714567866,-0.1823215567939549,-0.14310084364067333,31,80.0,113.0,88.0,81.0
2010-08-15,201033,80.0,80,80.0,80,0.7327119,6.590915,0,1,350950220103319589,2023-08-20,Campinas,1.1056298,1213792,0,0.0,1,10,,,,,532304,9.69,16.26,24.03,0.0,56.0,64.0,13.46,0.87374157,78.0,13.47,1.047271,70.0,15.06,0.91851634,77.0,15.96,0.9758774,73.0,12.92,4.394449154672439,0.22006188477680233,0.02500130220541763,0.13176927763112367,0.03774032798284743,32,113.0,88.0,81.0,103.0
2010-08-22,201034,113.0,113,113.0,113,0.9979434,9.309668,0,1,350950220103419589,2023-08-20,Campinas,1.5271239,1213792,0,1.0,1,11,,,,,532304,13.31,22.27,31.54,0.0,39.29,80.0,9.69,1.1056298,64.0,13.46,0.87374157,78.0,13.47,1.047271,70.0,15.06,0.91851634,83.75,12.4825,4.736198448394496,0.34174929372205654,0.5618111784988589,0.36675059592747417,0.4735185713531802,33,88.0,81.0,103.0,90.0
2010-08-29,201035,88.0,88,88.0,88,0.6192976,7.2500067,0,1,350950220103519589,2023-08-20,Campinas,1.0472782,1213792,0,0.0,1,11,,,,,532304,16.04,23.21,31.43,0.0,45.0,113.0,13.31,1.5271239,80.0,9.69,1.1056298,64.0,13.46,0.87374157,78.0,13.47,1.047271,86.25,13.125,4.48863636973214,-0.24756207866235602,0.09418721505970051,0.31424909983650284,0.11918851726511814,34,81.0,103.0,90.0,64.0
2010-09-05,201036,81.0,81,81.0,81,0.16370834,6.6733017,0,1,350950220103619589,2023-08-20,Campinas,0.8624782,1213792,0,0.0,1,6,,,,,532304,14.56,19.19,25.66,9.9,67.43,88.0,16.04,1.0472782,113.0,13.31,1.5271239,80.0,9.69,1.1056298,64.0,13.46,0.87374157,90.5,13.4,4.406719247264253,-0.0819171224678863,-0.3294792011302423,0.012270092591814219,0.23233197736861655,35,103.0,90.0,64.0,76.0
2010-09-12,201037,103.0,103,103.0,103,0.78027034,8.485804,0,1,350950220103719589,2023-08-20,Campinas,1.1168487,1213792,0,0.0,1,8,,,,,532304,16.7,22.9,30.26,0.8,50.71,81.0,14.56,0.8624782,88.0,16.04,1.0472782,113.0,13.31,1.5271239,80.0,9.69,1.1056298,96.25,15.1525,4.6443908991413725,0.23767165187711914,0.15575452940923284,-0.09180754925312318,0.24994174446893336,36,90.0,64.0,76.0,72.0
2010-09-19,201038,90.0,90,90.0,90,0.5043493,7.4147797,0,1,350950220103819589,2023-08-20,Campinas,1.0016234,1213792,0,0.0,1,12,,,,,532304,16.87,22.26,29.07,8.4,60.43,103.0,16.7,1.1168487,81.0,14.56,0.8624782,88.0,16.04,1.0472782,113.0,13.31,1.5271239,90.5,16.0425,4.51085950651685,-0.13353139262452274,0.1041402592525964,0.022223136784710107,-0.22533894187764592,37,64.0,76.0,72.0,77.0
2010-09-26,201039,64.0,64,64.0,64,0.01411979,5.2727323,0,1,350950220103919589,2023-08-20,Campinas,0.70186,1213792,0,0.0,1,7,,,,,532304,17.99,20.44,23.56,106.8,86.43,90.0,16.87,1.0016234,103.0,16.7,1.1168487,81.0,14.56,0.8624782,88.0,16.04,1.0472782,84.5,16.53,4.174387269895637,-0.33647223662121295,-0.4700036292457357,-0.23233197736861655,-0.31424909983650284,38,76.0,72.0,77.0,77.0
2010-10-03,201040,76.0,76,76.0,76,0.2338087,6.261369,0,1,350950220104019589,2023-08-20,Campinas,0.8920634,1213792,0,0.0,1,5,,,,,532304,16.23,19.86,24.41,44.9,78.14,64.0,17.99,0.70186,90.0,16.87,1.0016234,103.0,16.7,1.1168487,81.0,14.56,0.8624782,83.25,16.947499999999998,4.343805421853684,0.16941815195804732,-0.16705408466316563,-0.30058547728768836,-0.06291382541056922,39,72.0,77.0,77.0,85.0
2010-10-10,201041,72.0,72,72.0,72,0.38569844,5.9318237,0,1,350950220104119589,2023-08-20,Campinas,0.9534051,1213792,0,0.0,1,4,,,,,532304,14.09,19.19,25.76,2.3,72.86,76.0,16.23,0.8920634,64.0,17.99,0.70186,90.0,16.87,1.0016234,103.0,16.7,1.1168487,75.5,16.295,4.290459441148391,-0.05334598070529317,0.11607217125275415,-0.2204000653684588,-0.35393145799298154,40,77.0,77.0,85.0,92.0
2010-10-17,201042,77.0,77,77.0,77,0.63738865,6.3437557,0,1,350950220104219589,2023-08-20,Campinas,1.0589786,1213792,0,0.0,1,10,,,,,532304,16.03,21.19,27.66,19.6,72.43,72.0,14.09,0.9534051,76.0,16.23,0.8920634,64.0,17.99,0.70186,90.0,16.87,1.0016234,72.25,16.085,4.356708826689592,0.06624938554120074,0.012903404835907573,0.1823215567939549,-0.15415067982725805,41,77.0,85.0,92.0,85.0
2010-10-24,201043,77.0,77,77.0,77,0.6040028,6.3437557,0,1,350950220104319589,2023-08-20,Campinas,1.0437726,1213792,0,0.0,1,6,,,,,532304,16.61,21.96,28.76,22.6,69.14,77.0,16.03,1.0589786,72.0,14.09,0.9534051,76.0,16.23,0.8920634,64.0,17.99,0.70186,75.5,15.74,4.356708826689592,0.0,0.06624938554120074,0.012903404835907573,0.1823215567939549,42,85.0,92.0,85.0,106.0
