data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,receptivo,transmissao,nivel_inc,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,tmin,tmed,tmax,precipitacao,umidade,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,log_casos,var_log_1,var_log_2,var_log_3,var_log_4,semana_ano,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,3.0,3,3,3,0.0,4.083077,0,1,351280320100119589,2023-08-20,CosmÃ³polis,0.0,73474,1,0,0,0,,,,,17077,21.86,25.86,31.37,26.6,75.86,,,,,,,,,,,,,,,1.3862943611198906,,,,,53,3.0,2.0,4.0,1.0
2010-01-10,201002,3.0,3,3,3,0.0,4.083077,0,1,351280320100219589,2023-08-20,CosmÃ³polis,0.0,73474,1,0,0,1,,,,,17077,21.37,24.97,29.71,46.7,79.29,3.0,21.86,0.0,,,,,,,,,,,,1.3862943611198906,0.0,,,,1,2.0,4.0,1.0,1.0
2010-01-17,201003,2.0,2,2,2,0.0,2.7220514,0,2,351280320100319589,2023-08-20,CosmÃ³polis,0.0,73474,1,0,0,0,,,,,17077,21.17,24.1,28.57,73.7,83.43,3.0,21.37,0.0,3.0,21.86,0.0,,,,,,,,,1.0986122886681098,-0.2876820724517808,-0.2876820724517808,,,2,4.0,1.0,1.0,2.0
2010-01-24,201004,4.0,4,4,4,0.0,5.444103,0,2,351280320100419589,2023-08-20,CosmÃ³polis,0.0,73474,1,0,0,1,,,,,17077,20.26,23.2,27.73,110.1,85.71,2.0,21.17,0.0,3.0,21.37,0.0,3.0,21.86,0.0,,,,3.0,21.165,1.6094379124341003,0.5108256237659905,0.2231435513142097,0.2231435513142097,,3,1.0,1.0,2.0,0.0
2010-01-31,201005,1.0,1,1,1,0.0,1.3610257,0,2,351280320100519589,2023-08-20,CosmÃ³polis,0.0,73474,1,0,0,0,,,,,17077,21.36,26.44,33.29,15.7,71.0,4.0,20.26,0.0,2.0,21.17,0.0,3.0,21.37,0.0,3.0,21.86,0.0,2.5,21.04,0.6931471805599453,-0.916290731874155,-0.4054651081081645,-0.6931471805599453,-0.6931471805599453,4,1.0,2.0,0.0,4.0
2010-02-07,201006,1.0,1,1,1,0.17064373,1.3610257,0,2,351280320100619589,2023-08-20,CosmÃ³polis,0.39201224,73474,1,0,0,0,,,,,17077,22.07,26.17,31.7,13.5,71.14,1.0,21.36,0.0,4.0,20.26,0.0,2.0,21.17,0.0,3.0,21.37,0.0,2.0,21.215,0.6931471805599453,0.0,-0.916290731874155,-0.4054651081081645,-0.6931471805599453,5,2.0,0.0,4.0,13.0
2010-02-14,201007,2.0,2,2,2,0.536656,2.7220514,0,2,351280320100719589,2023-08-20,CosmÃ³polis,1.0878689,73474,1,0,0,1,,,,,17077,21.81,25.71,30.87,42.1,73.29,1.0,22.07,0.39201224,1.0,21.36,0.0,4.0,20.26,0.0,2.0,21.17,0.0,2.0,21.375,1.0986122886681098,0.4054651081081645,0.4054651081081645,-0.5108256237659905,0.0,6,0.0,4.0,13.0,18.0
2010-02-21,201008,0.0,0,0,0,0.0,0.0,0,1,351280320100819589,2023-08-20,CosmÃ³polis,0.0,73474,0,0,0,0,,,,,17077,21.14,25.36,30.53,21.2,74.0,2.0,21.81,1.0878689,1.0,22.07,0.39201224,1.0,21.36,0.0,4.0,20.26,0.0,1.0,21.595000000000002,0.0,-1.0986122886681098,-0.6931471805599453,-0.6931471805599453,-1.6094379124341003,7,4.0,13.0,18.0,28.0
2010-02-28,201009,4.0,4,4,4,0.90213674,5.444103,0,1,351280320100919589,2023-08-20,CosmÃ³polis,3.01248,73474,0,0,0,3,,,,,17077,19.99,22.67,26.13,35.6,81.0,0.0,21.14,0.0,2.0,21.81,1.0878689,1.0,22.07,0.39201224,1.0,21.36,0.0,1.75,21.2525,1.6094379124341003,1.6094379124341003,0.5108256237659905,0.916290731874155,0.916290731874155,8,13.0,18.0,28.0,40.0
2010-03-07,201010,13.0,13,13,13,0.99872124,17.693335,0,1,351280320101019589,2023-08-20,CosmÃ³polis,5.87526,73474,1,1,2,9,,,,,17077,19.74,25.64,32.13,0.7,66.29,4.0,19.99,3.01248,0.0,21.14,0.0,2.0,21.81,1.0878689,1.0,22.07,0.39201224,4.75,20.669999999999998,2.6390573296152584,1.0296194171811581,2.6390573296152584,1.5404450409471486,1.945910149055313,9,18.0,28.0,40.0,91.0
2010-03-14,201011,18.0,18,18,18,0.9954061,24.498463,0,4,351280320101119589,2023-08-20,CosmÃ³polis,3.0897152,73474,1,1,2,12,,,,,17077,20.26,24.74,30.41,30.8,75.43,13.0,19.74,5.87526,4.0,19.99,3.01248,0.0,21.14,0.0,2.0,21.81,1.0878689,8.75,20.2825,2.9444389791664403,0.30538164955118186,1.33500106673234,2.9444389791664403,1.8458266904983305,10,28.0,40.0,91.0,84.0
2010-03-21,201012,28.0,28,28,28,0.99517703,38.10872,0,4,351280320101219589,2023-08-20,CosmÃ³polis,2.3274465,73474,1,1,2,21,,,,,17077,21.5,25.34,31.0,33.6,77.71,18.0,20.26,3.0897152,13.0,19.74,5.87526,4.0,19.99,3.01248,0.0,21.14,0.0,15.75,20.3725,3.367295829986474,0.4228568508200339,0.7282385003712157,1.7578579175523739,3.367295829986474,11,40.0,91.0,84.0,115.0
2010-03-28,201013,40.0,40,40,40,0.9966205,54.44103,0,4,351280320101319589,2023-08-20,CosmÃ³polis,2.0536377,73474,1,1,2,32,,,,,17077,20.8,24.21,29.09,51.8,79.29,28.0,21.5,2.3274465,18.0,20.26,3.0897152,13.0,19.74,5.87526,4.0,19.99,3.01248,24.75,20.575,3.713572066704308,0.3462762367178338,0.7691330875378677,1.0745147370890495,2.1041341542702074,12,91.0,84.0,115.0,96.0
2010-04-04,201014,91.0,91,91,91,1.0,123.85333,0,4,351280320101419589,2023-08-20,CosmÃ³polis,2.950955,73474,0,1,2,61,,,,,17077,15.94,19.54,23.73,25.8,78.71,40.0,20.8,2.0536377,28.0,21.5,2.3274465,18.0,20.26,3.0897152,13.0,19.74,5.87526,44.25,19.625,4.5217885770490405,0.8082165103447325,1.1544927470625663,1.5773495978826002,1.882731247433782,13,84.0,115.0,96.0,70.0
2010-04-11,201015,84.0,84,84,84,0.99831164,114.32616,0,4,351280320101519589,2023-08-20,CosmÃ³polis,1.6694014,73474,0,1,2,51,,,,,17077,15.77,21.84,28.34,0.3,67.29,91.0,15.94,2.950955,40.0,20.8,2.0536377,28.0,21.5,2.3274465,18.0,20.26,3.0897152,60.75,18.5025,4.442651256490317,-0.0791373205587238,0.7290791897860087,1.0753554265038425,1.4982122773238764,14,115.0,96.0,70.0,69.0
2010-04-18,201016,115.0,115,115,115,0.9986138,156.51794,0,4,351280320101619589,2023-08-20,CosmÃ³polis,1.5517402,73474,0,1,2,86,,,,,17077,18.63,24.43,31.1,1.0,64.29,84.0,15.77,1.6694014,91.0,15.94,2.950955,40.0,20.8,2.0536377,28.0,21.5,2.3274465,82.5,17.785,4.7535901911063645,0.3109389346160478,0.23180161405732402,1.0400181244020565,1.3862943611198904,15,96.0,70.0,69.0,30.0
