data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,tmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,2.0,2,2,2,0.0,0.78057003,0,1,352050920100119589,2023-08-20,Indaiatuba,0.0,256223,21.4285714285714,93.1428571428571,1,0,0,80.2118562857143,50.4285714285714,23.8458908571429,29.4285714285714,0,,,,,37888,,,,,,,,,,,,,,,1.0,1.0,3.0,6.0
2010-01-10,201002,1.0,1,1,1,0.0,0.39028502,0,1,352050920100219589,2023-08-20,Indaiatuba,0.0,256223,20.8571428571429,89.2857142857143,1,0,0,70.6344657142857,45.2857142857143,24.2182758571429,28.5714285714286,0,,,,,37888,2.0,21.4285714285714,0.0,,,,,,,,,,,,1.0,3.0,6.0,4.0
2010-01-17,201003,1.0,1,1,1,0.0,0.39028502,0,2,352050920100319589,2023-08-20,Indaiatuba,0.0,256223,20.0,95.0,1,0,0,78.0720905714286,51.0,23.3344637142857,28.0,0,,,,,37888,1.0,20.8571428571429,0.0,2.0,21.4285714285714,0.0,,,,,,,,,3.0,6.0,4.0,2.0
2010-01-24,201004,3.0,3,3,3,0.0,1.170855,0,2,352050920100419589,2023-08-20,Indaiatuba,0.0,256223,19.8571428571429,94.8571428571429,1,0,0,83.9819844285714,62.7142857142857,21.9966517142857,26.4285714285714,2,,,,,37888,1.0,20.0,0.0,1.0,20.8571428571429,0.0,2.0,21.4285714285714,0.0,,,,1.75,20.5357142857143,6.0,4.0,2.0,3.0
2010-01-31,201005,6.0,6,6,6,0.0,2.34171,0,2,352050920100519589,2023-08-20,Indaiatuba,0.0,256223,20.7142857142857,90.0,1,0,1,68.6348201428571,31.0,25.1299805714286,32.4285714285714,3,,,,,37888,3.0,19.8571428571429,0.0,1.0,20.0,0.0,1.0,20.8571428571429,0.0,2.0,21.4285714285714,0.0,2.75,20.357142857142875,4.0,2.0,3.0,9.0
2010-02-07,201006,4.0,4,4,4,0.6290733,1.5611401,0,2,352050920100619589,2023-08-20,Indaiatuba,1.2620524,256223,21.7142857142857,85.7142857142857,1,0,0,67.5237938571429,36.8571428571429,25.2701055714286,30.5714285714286,1,,,,,37888,6.0,20.7142857142857,0.0,3.0,19.8571428571429,0.0,1.0,20.0,0.0,1.0,20.8571428571429,0.0,3.5,20.571428571428577,2.0,3.0,9.0,3.0
2010-02-14,201007,2.0,2,2,2,0.16387708,0.78057003,0,2,352050920100719589,2023-08-20,Indaiatuba,0.47013235,256223,21.5714285714286,86.5714285714286,1,0,0,66.4785481428571,38.7142857142857,25.2488591428571,30.0,0,,,,,37888,4.0,21.7142857142857,1.2620524,6.0,20.7142857142857,0.0,3.0,19.8571428571429,0.0,1.0,20.0,0.0,3.75,20.964285714285726,3.0,9.0,3.0,7.0
2010-02-21,201008,3.0,3,3,3,0.3632739,1.170855,0,2,352050920100819589,2023-08-20,Indaiatuba,0.7771921,256223,20.4285714285714,89.8571428571429,1,0,0,73.0784375714286,47.7142857142857,23.741338,28.4285714285714,2,,,,,37888,2.0,21.5714285714286,0.47013235,4.0,21.7142857142857,1.2620524,6.0,20.7142857142857,0.0,3.0,19.8571428571429,0.0,3.75,21.10714285714285,9.0,3.0,7.0,6.0
2010-02-28,201009,9.0,9,9,9,0.95673645,3.5125651,0,1,352050920100919589,2023-08-20,Indaiatuba,2.7149527,256223,17.7142857142857,95.7142857142857,0,1,1,86.5332371428571,74.1428571428571,19.668957,21.7142857142857,1,,,,,37888,3.0,20.4285714285714,0.7771921,2.0,21.5714285714286,0.47013235,4.0,21.7142857142857,1.2620524,6.0,20.7142857142857,0.0,4.5,20.35714285714285,3.0,7.0,6.0,8.0
2010-03-07,201010,3.0,3,3,3,0.30912015,1.170855,0,1,352050920101019589,2023-08-20,Indaiatuba,0.70365787,256223,20.5714285714286,84.7142857142857,1,0,0,59.1296298571429,25.4285714285714,25.0933482857143,30.1428571428571,1,,,,,37888,9.0,17.7142857142857,2.7149527,3.0,20.4285714285714,0.7771921,2.0,21.5714285714286,0.47013235,4.0,21.7142857142857,1.2620524,4.25,20.071428571428577,7.0,6.0,8.0,7.0
