data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,receptivo,transmissao,nivel_inc,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,tmin,tmed,tmax,precipitacao,umidade,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,3.0,3,3,3,0.0,0.9725041,0,1,352690220100119589,2023-08-20,Limeira,0.0,308482,1,0,0,3,,,,,134628,22.29,26.17,31.69,28.6,76.29,,,,,,,,,,,,,,,0.0,0.0,2.0,6.0
2010-01-10,201002,0.0,0,0,0,0.0,0.0,0,1,352690220100219589,2023-08-20,Limeira,0.0,308482,0,0,0,0,,,,,134628,21.9,25.16,29.83,39.9,80.14,3.0,22.29,0.0,,,,,,,,,,,,0.0,2.0,6.0,2.0
2010-01-17,201003,0.0,0,0,0,0.0,0.0,0,1,352690220100319589,2023-08-20,Limeira,0.0,308482,0,0,0,0,,,,,134628,21.63,24.37,28.9,88.7,84.14,0.0,21.9,0.0,3.0,22.29,0.0,,,,,,,,,2.0,6.0,2.0,8.0
2010-01-24,201004,2.0,2,2,2,0.0,0.64833605,0,1,352690220100419589,2023-08-20,Limeira,0.0,308482,1,0,0,1,,,,,134628,20.59,23.43,27.6,118.0,86.71,0.0,21.63,0.0,0.0,21.9,0.0,3.0,22.29,0.0,,,,1.25,21.6025,6.0,2.0,8.0,20.0
2010-01-31,201005,6.0,6,6,6,0.0,1.9450082,0,1,352690220100519589,2023-08-20,Limeira,0.0,308482,1,0,0,2,,,,,134628,21.57,26.66,33.59,17.0,72.43,2.0,20.59,0.0,0.0,21.63,0.0,0.0,21.9,0.0,3.0,22.29,0.0,2.0,21.4225,2.0,8.0,20.0,11.0
2010-02-07,201006,2.0,2,2,2,0.42248514,0.64833605,0,1,352690220100619589,2023-08-20,Limeira,0.8435308,308482,0,0,0,0,,,,,134628,22.27,26.47,31.83,19.2,72.0,6.0,21.57,0.0,2.0,20.59,0.0,0.0,21.63,0.0,0.0,21.9,0.0,2.5,21.515,8.0,20.0,11.0,24.0
2010-02-14,201007,8.0,8,8,8,0.9007198,2.5933442,0,1,352690220100719589,2023-08-20,Limeira,2.1086671,308482,1,0,1,4,,,,,134628,21.89,25.94,30.53,59.7,73.71,2.0,22.27,0.8435308,6.0,21.57,0.0,2.0,20.59,0.0,0.0,21.63,0.0,4.5,21.580000000000002,20.0,11.0,24.0,26.0
2010-02-21,201008,20.0,20,20,20,0.99886996,6.4833603,0,1,352690220100819589,2023-08-20,Limeira,3.722121,308482,1,1,1,14,,,,,134628,21.33,25.71,30.76,23.9,74.0,8.0,21.89,2.1086671,2.0,22.27,0.8435308,6.0,21.57,0.0,2.0,20.59,0.0,9.0,21.765,11.0,24.0,26.0,15.0
2010-02-28,201009,11.0,11,11,11,0.63758105,3.5658484,0,2,352690220100919589,2023-08-20,Limeira,1.1650562,308482,1,0,1,11,,,,,134628,20.29,22.94,26.57,42.6,83.0,20.0,21.33,3.722121,8.0,21.89,2.1086671,2.0,22.27,0.8435308,6.0,21.57,0.0,10.25,21.445,24.0,26.0,15.0,13.0
2010-03-07,201010,24.0,24,24,24,0.9504298,7.7800326,0,1,352690220101019589,2023-08-20,Limeira,1.7134396,308482,0,1,1,19,,,,,134628,20.7,26.23,32.43,0.3,65.71,11.0,20.29,1.1650562,20.0,21.33,3.722121,8.0,21.89,2.1086671,2.0,22.27,0.8435308,15.75,21.0525,26.0,15.0,13.0,24.0
2010-03-14,201011,26.0,26,26,26,0.92101264,8.428369,0,1,352690220101119589,2023-08-20,Limeira,1.5402442,308482,1,0,1,18,,,,,134628,20.66,25.13,30.86,34.2,76.14,24.0,20.7,1.7134396,11.0,20.29,1.1650562,20.0,21.33,3.722121,8.0,21.89,2.1086671,20.25,20.744999999999997,15.0,13.0,24.0,27.0
2010-03-21,201012,15.0,15,15,15,0.17654628,4.86252,0,1,352690220101219589,2023-08-20,Limeira,0.7333906,308482,1,0,1,12,,,,,134628,21.7,25.56,31.4,36.3,79.0,26.0,20.66,1.5402442,24.0,20.7,1.7134396,11.0,20.29,1.1650562,20.0,21.33,3.722121,19.0,20.8375,13.0,24.0,27.0,60.0
2010-03-28,201013,13.0,13,13,13,0.0769415,4.2141843,0,2,352690220101319589,2023-08-20,Limeira,0.61335653,308482,1,0,1,9,,,,,134628,21.04,24.53,29.36,50.8,80.43,15.0,21.7,0.7333906,26.0,20.66,1.5402442,24.0,20.7,1.7134396,11.0,20.29,1.1650562,19.5,21.025,24.0,27.0,60.0,121.0
2010-04-04,201014,24.0,24,24,24,0.8227758,7.7800326,0,1,352690220101419589,2023-08-20,Limeira,1.3286096,308482,0,0,1,15,,,,,134628,16.14,19.76,24.11,20.8,79.71,13.0,21.04,0.61335653,15.0,21.7,0.7333906,26.0,20.66,1.5402442,24.0,20.7,1.7134396,19.5,19.884999999999998,27.0,60.0,121.0,141.0
2010-04-11,201015,27.0,27,27,27,0.92330015,8.752537,0,1,352690220101519589,2023-08-20,Limeira,1.5347453,308482,0,0,1,25,,,,,134628,15.66,22.01,28.57,0.2,67.43,24.0,16.14,1.3286096,13.0,21.04,0.61335653,15.0,21.7,0.7333906,26.0,20.66,1.5402442,19.75,18.635,60.0,121.0,141.0,70.0
