data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,receptivo,transmissao,nivel_inc,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,tmin,tmed,tmax,precipitacao,umidade,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,9.0,9,9,9,0.0,2.209934,0,1,353870920100119589,2023-08-20,Piracicaba,0.0,407252,1,0,0,7,,,,,200588,22.16,26.03,31.57,39.2,77.43,,,,,,,,,,,,,,,4.0,5.0,10.0,14.0
2010-01-10,201002,4.0,4,4,4,0.0,0.9821928,0,1,353870920100219589,2023-08-20,Piracicaba,0.0,407252,1,0,0,4,,,,,200588,21.7,24.99,29.61,46.9,80.14,9.0,22.16,0.0,,,,,,,,,,,,5.0,10.0,14.0,14.0
2010-01-17,201003,5.0,5,5,5,0.0,1.227741,0,2,353870920100319589,2023-08-20,Piracicaba,0.0,407252,1,0,0,2,,,,,200588,21.44,24.39,29.19,93.5,84.43,4.0,21.7,0.0,9.0,22.16,0.0,,,,,,,,,10.0,14.0,14.0,20.0
2010-01-24,201004,10.0,10,10,10,0.0,2.455482,0,2,353870920100419589,2023-08-20,Piracicaba,0.0,407252,1,0,0,2,,,,,200588,20.4,23.26,27.47,133.9,87.29,5.0,21.44,0.0,4.0,21.7,0.0,9.0,22.16,0.0,,,,7.0,21.425,14.0,14.0,20.0,22.0
2010-01-31,201005,14.0,14,14,14,0.0,3.437675,0,2,353870920100519589,2023-08-20,Piracicaba,0.0,407252,1,0,0,7,,,,,200588,21.0,26.43,33.51,20.3,73.86,10.0,20.4,0.0,5.0,21.44,0.0,4.0,21.7,0.0,9.0,22.16,0.0,8.25,21.135,14.0,20.0,22.0,26.0
2010-02-07,201006,14.0,14,14,14,0.8225626,3.437675,0,1,353870920100619589,2023-08-20,Piracicaba,1.4585475,407252,0,0,0,3,,,,,200588,22.01,26.31,31.63,23.6,73.86,14.0,21.0,0.0,10.0,20.4,0.0,5.0,21.44,0.0,4.0,21.7,0.0,10.75,21.2125,20.0,22.0,26.0,32.0
2010-02-14,201007,20.0,20,20,20,0.90087444,4.910964,0,1,353870920100719589,2023-08-20,Piracicaba,1.5672513,407252,1,0,1,18,,,,,200588,21.54,25.84,30.76,34.4,74.57,14.0,22.01,1.4585475,14.0,21.0,0.0,10.0,20.4,0.0,5.0,21.44,0.0,14.5,21.2375,22.0,26.0,32.0,29.0
2010-02-21,201008,22.0,22,22,22,0.85652834,5.4020605,0,1,353870920100819589,2023-08-20,Piracicaba,1.4136441,407252,1,0,1,19,,,,,200588,21.24,25.66,30.79,24.0,73.43,20.0,21.54,1.5672513,14.0,22.01,1.4585475,14.0,21.0,0.0,10.0,20.4,0.0,17.5,21.447499999999998,26.0,32.0,29.0,38.0
2010-02-28,201009,26.0,26,26,26,0.85830647,6.3842535,0,2,353870920100919589,2023-08-20,Piracicaba,1.3760674,407252,1,0,1,22,,,,,200588,20.07,22.89,26.67,35.3,80.43,22.0,21.24,1.4136441,20.0,21.54,1.5672513,14.0,22.01,1.4585475,14.0,21.0,0.0,20.5,21.215,32.0,29.0,38.0,66.0
2010-03-07,201010,32.0,32,32,32,0.90439594,7.8575425,0,1,353870920101019589,2023-08-20,Piracicaba,1.425113,407252,0,0,1,26,,,,,200588,19.87,26.04,32.34,0.2,66.0,26.0,20.07,1.3760674,22.0,21.24,1.4136441,20.0,21.54,1.5672513,14.0,22.01,1.4585475,25.0,20.68,29.0,38.0,66.0,89.0
