data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,tmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,23.0,23,23,23,0.0,9.983895,0,1,354140620100119589,2023-08-20,Presidente Prudente,0.0,230371,23.0,96.8571428571429,1,,1,76.2747235714286,51.2857142857143,27.1284548571429,32.4285714285714,4,,,,,217460,,,,,,,,,,,,,,,33.0,39.0,39.0,36.0
2010-01-10,201002,33.0,33,33,33,0.0,14.324719,0,1,354140620100219589,2023-08-20,Presidente Prudente,0.0,230371,21.4285714285714,100.0,1,,1,88.0526562857143,68.7142857142857,24.154304,28.7142857142857,5,,,,,217460,23.0,23.0,0.0,,,,,,,,,,,,39.0,39.0,36.0,31.0
2010-01-17,201003,39.0,39,39,39,0.0,16.929214,0,2,354140620100319589,2023-08-20,Presidente Prudente,0.0,230371,21.7142857142857,100.0,1,,1,81.0214335714286,54.8571428571429,25.7227267142857,31.2857142857143,17,,,,,217460,33.0,21.4285714285714,0.0,23.0,23.0,0.0,,,,,,,,,39.0,36.0,31.0,45.0
2010-01-24,201004,39.0,39,39,39,0.0,16.929214,0,2,354140620100419589,2023-08-20,Presidente Prudente,0.0,230371,21.4285714285714,99.1428571428571,1,,1,84.07976,58.1428571428571,24.6988454285714,30.2857142857143,16,,,,,217460,39.0,21.7142857142857,0.0,33.0,21.4285714285714,0.0,23.0,23.0,0.0,,,,33.5,21.892857142857125,36.0,31.0,45.0,57.0
2010-01-31,201005,36.0,36,36,36,0.0,15.626966,0,2,354140620100519589,2023-08-20,Presidente Prudente,0.0,230371,23.2857142857143,86.4285714285714,1,,1,64.0803398571429,36.8571428571429,28.4652382857143,34.8571428571429,9,,,,,217460,39.0,21.4285714285714,0.0,39.0,21.7142857142857,0.0,33.0,21.4285714285714,0.0,23.0,23.0,0.0,36.75,21.9642857142857,31.0,45.0,57.0,68.0
2010-02-07,201006,31.0,31,31,31,0.22263007,13.456554,0,2,354140620100619589,2023-08-20,Presidente Prudente,0.8319042,230371,22.1428571428571,96.7142857142857,1,0.0,1,80.0923948571428,55.8571428571429,25.5982808571429,30.8571428571429,6,,,,,217460,36.0,23.2857142857143,0.0,39.0,21.4285714285714,0.0,39.0,21.7142857142857,0.0,33.0,21.4285714285714,0.0,36.25,22.142857142857125,45.0,57.0,68.0,68.0
2010-02-14,201007,45.0,45,45,45,0.8432891,19.533709,0,2,354140620100719589,2023-08-20,Presidente Prudente,1.2505404,230371,21.7142857142857,99.1428571428571,1,0.0,1,85.1866342857143,61.2857142857143,24.811554,30.1428571428571,14,,,,,217460,31.0,22.1428571428571,0.8319042,36.0,23.2857142857143,0.0,39.0,21.4285714285714,0.0,39.0,21.7142857142857,0.0,37.75,22.142857142857125,57.0,68.0,68.0,85.0
2010-02-21,201008,57.0,57,57,57,0.97943336,24.742697,0,2,354140620100819589,2023-08-20,Presidente Prudente,1.5270339,230371,22.0,91.7142857142857,1,1.0,1,70.1230771428571,46.5714285714286,27.1055862857143,33.0,23,,,,,217460,45.0,21.7142857142857,1.2505404,31.0,22.1428571428571,0.8319042,36.0,23.2857142857143,0.0,39.0,21.4285714285714,0.0,42.25,22.285714285714274,68.0,68.0,85.0,87.0
2010-02-28,201009,68.0,68,68,68,0.9851959,29.517605,0,2,354140620100919589,2023-08-20,Presidente Prudente,1.5098027,230371,20.1428571428571,91.4285714285714,1,1.0,1,70.9472151428571,50.8571428571429,24.8637185714286,30.5714285714286,27,,,,,217460,57.0,22.0,1.5270339,45.0,21.7142857142857,1.2505404,31.0,22.1428571428571,0.8319042,36.0,23.2857142857143,0.0,50.25,21.49999999999998,68.0,85.0,87.0,84.0
2010-03-07,201010,68.0,68,68,68,0.8688152,29.517605,0,1,354140620101019589,2023-08-20,Presidente Prudente,1.2231903,230371,19.4285714285714,81.5714285714286,0,0.0,1,50.9053417142857,27.2857142857143,27.0680745714286,33.8571428571429,21,,,,,217460,68.0,20.1428571428571,1.5098027,57.0,22.0,1.5270339,45.0,21.7142857142857,1.2505404,31.0,22.1428571428571,0.8319042,59.5,20.821428571428548,85.0,87.0,84.0,60.0
