data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,receptivo,transmissao,nivel_inc,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,tmin,tmed,tmax,precipitacao,umidade,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,3.0,3,3,3,0.0,1.4422523,0,1,354390720100119589,2023-08-20,Rio Claro,0.0,208008,1,0,0,0,,,,,76034,21.79,25.67,31.19,28.6,76.29,,,,,,,,,,,,,,,2.0,2.0,4.0,3.0
2010-01-10,201002,2.0,2,2,2,0.0,0.9615015,0,1,354390720100219589,2023-08-20,Rio Claro,0.0,208008,1,0,0,1,,,,,76034,21.4,24.66,29.33,39.9,80.14,3.0,21.79,0.0,,,,,,,,,,,,2.0,4.0,3.0,7.0
2010-01-17,201003,2.0,2,2,2,0.0,0.9615015,0,2,354390720100319589,2023-08-20,Rio Claro,0.0,208008,1,0,0,1,,,,,76034,21.13,23.87,28.4,88.7,84.14,2.0,21.4,0.0,3.0,21.79,0.0,,,,,,,,,4.0,3.0,7.0,6.0
2010-01-24,201004,4.0,4,4,4,0.0,1.923003,0,2,354390720100419589,2023-08-20,Rio Claro,0.0,208008,1,0,0,1,,,,,76034,20.09,22.94,27.1,118.0,86.71,2.0,21.13,0.0,2.0,21.4,0.0,3.0,21.79,0.0,,,,2.75,21.1025,3.0,7.0,6.0,7.0
2010-01-31,201005,3.0,3,3,3,0.0,1.4422523,0,2,354390720100519589,2023-08-20,Rio Claro,0.0,208008,1,0,0,1,,,,,76034,21.07,26.17,33.09,17.0,72.29,4.0,20.09,0.0,2.0,21.13,0.0,2.0,21.4,0.0,3.0,21.79,0.0,2.75,20.9225,7.0,6.0,7.0,24.0
2010-02-07,201006,7.0,7,7,7,0.8878393,3.365255,0,2,354390720100619589,2023-08-20,Rio Claro,2.1181076,208008,1,0,1,2,,,,,76034,21.77,25.97,31.33,19.2,72.0,3.0,21.07,0.0,4.0,20.09,0.0,2.0,21.13,0.0,2.0,21.4,0.0,4.0,21.015,6.0,7.0,24.0,25.0
2010-02-14,201007,6.0,6,6,6,0.7099885,2.8845046,0,2,354390720100719589,2023-08-20,Rio Claro,1.3954469,208008,1,0,1,2,,,,,76034,21.39,25.46,30.03,59.7,73.71,7.0,21.77,2.1181076,3.0,21.07,0.0,4.0,20.09,0.0,2.0,21.13,0.0,5.0,21.080000000000002,7.0,24.0,25.0,39.0
2010-02-21,201008,7.0,7,7,7,0.66147745,3.365255,0,2,354390720100819589,2023-08-20,Rio Claro,1.2559729,208008,1,0,1,2,,,,,76034,20.83,25.21,30.26,23.9,73.86,6.0,21.39,1.3954469,7.0,21.77,2.1181076,3.0,21.07,0.0,4.0,20.09,0.0,5.75,21.265,24.0,25.0,39.0,35.0
2010-02-28,201009,24.0,24,24,24,0.99910194,11.538018,0,1,354390720100919589,2023-08-20,Rio Claro,3.3071527,208008,0,1,1,13,,,,,76034,19.79,22.46,26.07,42.6,83.0,7.0,20.83,1.2559729,6.0,21.39,1.3954469,7.0,21.77,2.1181076,3.0,21.07,0.0,11.0,20.945,25.0,39.0,35.0,53.0
2010-03-07,201010,25.0,25,25,25,0.987069,12.018768,0,3,354390720101019589,2023-08-20,Rio Claro,2.1198545,208008,1,1,1,11,,,,,76034,20.2,25.76,31.93,0.3,65.57,24.0,19.79,3.3071527,7.0,20.83,1.2559729,6.0,21.39,1.3954469,7.0,21.77,2.1181076,15.5,20.552500000000002,39.0,35.0,53.0,47.0
