data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,receptivo,transmissao,nivel_inc,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,tmin,tmed,tmax,precipitacao,umidade,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,log_casos,var_log_1,var_log_2,var_log_3,var_log_4,semana_ano,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,23.0,23,23,23,0.0,11.831884,0,1,354580320100119589,2023-08-20,Santa BÃ¡rbara d'Oeste,0.0,194390,1,,1,12,,,,,65847,21.99,25.86,31.43,34.0,76.86,,,,,,,,,,,,,,,3.1780538303479458,,,,,53,11.0,22.0,33.0,29.0
2010-01-10,201002,11.0,11,11,11,0.0,5.658727,0,1,354580320100219589,2023-08-20,Santa BÃ¡rbara d'Oeste,0.0,194390,1,,1,2,,,,,65847,21.44,24.83,29.6,48.1,80.29,23.0,21.99,0.0,,,,,,,,,,,,2.4849066497880004,-0.6931471805599454,,,,1,22.0,33.0,29.0,28.0
2010-01-17,201003,22.0,22,22,22,0.0,11.317454,0,2,354580320100319589,2023-08-20,Santa BÃ¡rbara d'Oeste,0.0,194390,1,,1,6,,,,,65847,21.21,24.1,28.71,92.9,84.57,11.0,21.44,0.0,23.0,21.99,0.0,,,,,,,,,3.1354942159291497,0.6505875661411493,-0.04255961441879608,,,2,33.0,29.0,28.0,42.0
2010-01-24,201004,33.0,33,33,33,0.0,16.976181,0,2,354580320100419589,2023-08-20,Santa BÃ¡rbara d'Oeste,0.0,194390,1,,1,13,,,,,65847,20.21,23.1,27.57,124.7,86.71,22.0,21.21,0.0,11.0,21.44,0.0,23.0,21.99,0.0,,,,22.25,21.2125,3.5263605246161616,0.3908663086870119,1.0414538748281612,0.3483066942682158,,3,29.0,28.0,42.0,42.0
2010-01-31,201005,29.0,29,29,29,0.0,14.918463,0,2,354580320100519589,2023-08-20,Santa BÃ¡rbara d'Oeste,0.0,194390,1,,1,7,,,,,65847,21.13,26.4,33.31,18.6,72.71,33.0,20.21,0.0,22.0,21.21,0.0,11.0,21.44,0.0,23.0,21.99,0.0,23.75,20.997500000000002,3.4011973816621555,-0.1251631429540061,0.2657031657330058,0.9162907318741551,0.2231435513142097,4,28.0,42.0,42.0,54.0
2010-02-07,201006,28.0,28,28,28,0.5154413,14.404033,0,2,354580320100619589,2023-08-20,Santa BÃ¡rbara d'Oeste,1.0103495,194390,1,0.0,1,9,,,,,65847,22.0,26.23,31.59,21.4,72.29,29.0,21.13,0.0,33.0,20.21,0.0,22.0,21.21,0.0,11.0,21.44,0.0,28.0,21.1375,3.367295829986474,-0.03390155167568132,-0.15906469462968742,0.23180161405732447,0.8823891801984738,5,42.0,42.0,54.0,55.0
2010-02-14,201007,42.0,42,42,42,0.9260531,21.60605,0,2,354580320100719589,2023-08-20,Santa BÃ¡rbara d'Oeste,1.4076581,194390,1,0.0,1,26,,,,,65847,21.66,25.71,30.69,41.7,74.0,28.0,22.0,1.0103495,29.0,21.13,0.0,33.0,20.21,0.0,22.0,21.21,0.0,33.0,21.25,3.7612001156935624,0.39390428570708824,0.3600027340314069,0.23483959107740082,0.6257058997644127,6,42.0,54.0,55.0,72.0
2010-02-21,201008,42.0,42,42,42,0.86618537,21.60605,0,2,354580320100819589,2023-08-20,Santa BÃ¡rbara d'Oeste,1.292362,194390,1,0.0,1,25,,,,,65847,21.11,25.47,30.56,25.3,73.57,42.0,21.66,1.4076581,28.0,22.0,1.0103495,29.0,21.13,0.0,33.0,20.21,0.0,35.25,21.474999999999998,3.7612001156935624,0.0,0.39390428570708824,0.3600027340314069,0.23483959107740082,7,54.0,55.0,72.0,119.0
2010-02-28,201009,54.0,54,54,54,0.9497997,27.779207,0,1,354580320100919589,2023-08-20,Santa BÃ¡rbara d'Oeste,1.4090391,194390,0,0.0,1,35,,,,,65847,20.03,22.73,26.37,33.9,80.71,42.0,21.11,1.292362,42.0,21.66,1.4076581,28.0,22.0,1.0103495,29.0,21.13,0.0,41.5,21.2,4.007333185232471,0.2461330695389088,0.2461330695389088,0.640037355245997,0.6061358035703157,8,55.0,72.0,119.0,163.0
2010-03-07,201010,55.0,55,55,55,0.8525745,28.293636,0,1,354580320101019589,2023-08-20,Santa BÃ¡rbara d'Oeste,1.2332119,194390,1,0.0,1,36,,,,,65847,19.86,25.87,32.26,0.0,65.43,54.0,20.03,1.4090391,42.0,21.11,1.292362,42.0,21.66,1.4076581,28.0,22.0,1.0103495,48.25,20.665,4.02535169073515,0.018018505502678472,0.26415157504158726,0.26415157504158726,0.6580558607486755,9,72.0,119.0,163.0,162.0
2010-03-14,201011,72.0,72,72,72,0.96962416,37.03894,0,1,354580320101119589,2023-08-20,Santa BÃ¡rbara d'Oeste,1.4035898,194390,1,1.0,2,48,,,,,65847,20.47,24.9,30.5,24.5,75.0,55.0,19.86,1.2332119,54.0,20.03,1.4090391,42.0,21.11,1.292362,42.0,21.66,1.4076581,55.75,20.3675,4.290459441148391,0.2651077504132413,0.2831262559159198,0.5292593254548286,0.5292593254548286,10,119.0,163.0,162.0,107.0
