data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,receptivo,transmissao,nivel_inc,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,tmin,tmed,tmax,precipitacao,umidade,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,log_casos,var_log_1,var_log_2,var_log_3,var_log_4,semana_ano,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,36.0,36,36,36,0.0,8.301511,0,1,354850020100119589,2023-08-20,Santos,0.0,433656,1,,1,31,,,,,111791,25.43,28.16,32.33,90.0,84.43,,,,,,,,,,,,,,,3.6109179126442243,,,,,53,53.0,70.0,107.0,253.0
2010-01-10,201002,53.0,53,53,53,0.0,12.221669,0,1,354850020100219589,2023-08-20,Santos,0.0,433656,1,,1,42,,,,,111791,25.07,28.0,31.43,109.0,80.43,36.0,25.43,0.0,,,,,,,,,,,,3.9889840465642745,0.3780661339200502,,,,1,70.0,107.0,253.0,515.0
2010-01-17,201003,70.0,70,70,70,0.0,16.141827,0,2,354850020100319589,2023-08-20,Santos,0.0,433656,1,,1,47,,,,,111791,25.0,27.74,31.47,132.0,82.86,53.0,25.07,0.0,36.0,25.43,0.0,,,,,,,,,4.2626798770413155,0.27369583047704094,0.6517619643970911,,,2,107.0,253.0,515.0,1194.0
2010-01-24,201004,107.0,107,107,107,0.0,24.673935,0,2,354850020100419589,2023-08-20,Santos,0.0,433656,1,,1,88,,,,,111791,24.34,26.27,29.13,87.3,88.86,70.0,25.0,0.0,53.0,25.07,0.0,36.0,25.43,0.0,,,,66.5,24.96,4.68213122712422,0.41945135008290446,0.6931471805599454,1.0712133144799956,,3,253.0,515.0,1194.0,1543.0
2010-01-31,201005,253.0,253,253,253,0.0,58.341175,0,2,354850020100519589,2023-08-20,Santos,0.0,433656,1,,2,204,,,,,111791,25.54,29.69,35.01,16.4,77.29,107.0,24.34,0.0,70.0,25.0,0.0,53.0,25.07,0.0,36.0,25.43,0.0,120.75,24.987499999999997,5.537334267018537,0.8552030398943167,1.2746543899772211,1.548350220454262,1.9264163543743122,4,515.0,1194.0,1543.0,1888.0
2010-02-07,201006,515.0,515,515,515,1.0,118.75773,0,4,354850020100619589,2023-08-20,Santos,3.3955345,433656,1,1.0,2,421,,,,,111791,25.84,29.37,34.13,77.6,77.71,253.0,25.54,0.0,107.0,24.34,0.0,70.0,25.0,0.0,53.0,25.07,0.0,236.25,25.18,6.246106765481563,0.7087724984630261,1.5639755383573428,1.9834268884402473,2.257122718917288,5,1194.0,1543.0,1888.0,1881.0
2010-02-14,201007,1194.0,1194,1194,1194,1.0,275.33344,0,4,354850020100719589,2023-08-20,Santos,3.7321541,433656,1,1.0,2,962,,,,,111791,25.16,28.51,32.31,80.3,84.0,515.0,25.84,3.3955345,253.0,25.54,0.0,107.0,24.34,0.0,70.0,25.0,0.0,517.25,25.22,7.085901464365611,0.8397946988840479,1.548567197347074,2.4037702372413907,2.823221587324295,6,1543.0,1888.0,1881.0,1659.0
2010-02-21,201008,1543.0,1543,1543,1543,1.0,355.81198,0,4,354850020100819589,2023-08-20,Santos,2.3922875,433656,1,1.0,2,1216,,,,,111791,24.96,27.79,31.47,145.4,79.29,1194.0,25.16,3.7321541,515.0,25.84,3.3955345,253.0,25.54,0.0,107.0,24.34,0.0,876.25,25.375,7.342131730584722,0.25623026621911116,1.096024965103159,1.8047974635661852,2.660000503460502,7,1888.0,1881.0,1659.0,1580.0
2010-02-28,201009,1888.0,1888,1888,1888,1.0,435.36813,0,4,354850020100919589,2023-08-20,Santos,1.7314887,433656,0,1.0,2,1565,,,,,111791,22.6,24.51,26.74,55.8,85.57,1543.0,24.96,2.3922875,1194.0,25.16,3.7321541,515.0,25.84,3.3955345,253.0,25.54,0.0,1285.0,24.64,7.543802867501509,0.2016711369167874,0.45790140313589855,1.2976961020199465,2.0064686004829726,8,1881.0,1659.0,1580.0,1052.0
2010-03-07,201010,1881.0,1881,1881,1881,1.0,433.75394,0,4,354850020101019589,2023-08-20,Santos,1.2608762,433656,1,1.0,2,1539,,,,,111791,23.43,27.59,32.07,14.3,81.29,1888.0,22.6,1.7314887,1543.0,24.96,2.3922875,1194.0,25.16,3.7321541,515.0,25.84,3.3955345,1626.5,24.0375,7.540090320145325,-0.003712547356184537,0.19795858956060286,0.454188855779714,1.293983554663762,9,1659.0,1580.0,1052.0,963.0
2010-03-14,201011,1659.0,1659,1659,1659,0.08743187,382.56128,0,4,354850020101119589,2023-08-20,Santos,0.9545106,433656,1,0.0,2,1328,,,,,111791,23.86,26.89,30.56,41.5,81.29,1881.0,23.43,1.2608762,1888.0,22.6,1.7314887,1543.0,24.96,2.3922875,1194.0,25.16,3.7321541,1742.75,23.712500000000002,7.414572881350589,-0.12551743879473598,-0.12922998615092052,0.07244115076586688,0.32867141698497804,10,1580.0,1052.0,963.0,683.0
2010-03-21,201012,1580.0,1580,1580,1580,0.00023592457,364.3441,0,4,354850020101219589,2023-08-20,Santos,0.88631827,433656,1,0.0,2,1183,,,,,111791,24.51,27.46,31.67,62.9,84.71,1659.0,23.86,0.9545106,1881.0,23.43,1.2608762,1888.0,22.6,1.7314887,1543.0,24.96,2.3922875,1752.0,23.6,7.365812837209472,-0.04876004414111623,-0.1742774829358522,-0.17799003029203675,0.023681106624750647,11,1052.0,963.0,683.0,547.0
2010-03-28,201013,1052.0,1052,1052,1052,0.0,242.5886,0,4,354850020101319589,2023-08-20,Santos,0.63181734,433656,1,0.0,2,804,,,,,111791,23.57,25.94,29.24,52.6,86.86,1580.0,24.51,0.88631827,1659.0,23.86,0.9545106,1881.0,23.43,1.2608762,1888.0,22.6,1.7314887,1543.0,23.8425,6.959398512133975,-0.406414325075497,-0.45517436921661325,-0.5806918080113492,-0.5844043553675338,12,963.0,683.0,547.0,426.0
2010-04-04,201014,963.0,963,963,963,0.0,222.06541,0,4,354850020101419589,2023-08-20,Santos,0.6648544,433656,0,0.0,2,678,,,,,111791,19.67,21.94,24.84,131.5,86.57,1052.0,23.57,0.63181734,1580.0,24.51,0.88631827,1659.0,23.86,0.9545106,1881.0,23.43,1.2608762,1313.5,22.9025,6.871091294610546,-0.08830721752342985,-0.49472154259892687,-0.5434815867400431,-0.6689990255347791,13,683.0,547.0,426.0,356.0
2010-04-11,201015,683.0,683,683,683,0.0,157.49811,0,4,354850020101519589,2023-08-20,Santos,0.58373225,433656,0,0.0,2,484,,,,,111791,19.97,24.13,28.27,5.3,81.29,963.0,19.67,0.6648544,1052.0,23.57,0.63181734,1580.0,24.51,0.88631827,1659.0,23.86,0.9545106,1069.5,21.93,6.52795791762255,-0.3431333769879954,-0.43144059451142525,-0.8378549195869223,-0.8866149637280385,14,547.0,426.0,356.0,202.0
2010-04-18,201016,547.0,547,547,547,0.0,126.13685,0,4,354850020101619589,2023-08-20,Santos,0.5904281,433656,0,0.0,2,418,,,,,111791,21.27,25.59,30.61,9.7,80.57,683.0,19.97,0.58373225,963.0,19.67,0.6648544,1052.0,23.57,0.63181734,1580.0,24.51,0.88631827,811.25,21.12,6.306275286948016,-0.2216826306745343,-0.5648160076625297,-0.6531232251859596,-1.0595375502614566,15,426.0,356.0,202.0,124.0
2010-04-25,201017,426.0,426,426,426,0.0,98.23454,0,4,354850020101719589,2023-08-20,Santos,0.58768415,433656,0,0.0,2,336,,,,,111791,21.47,23.83,27.13,13.2,84.0,547.0,21.27,0.5904281,683.0,19.97,0.58373225,963.0,19.67,0.6648544,1052.0,23.57,0.63181734,654.75,20.595,6.056784013228625,-0.24949127371939106,-0.47117390439392537,-0.8143072813819208,-0.9026144989053506,16,356.0,202.0,124.0,69.0
2010-05-02,201018,356.0,356,356,356,3.67395e-12,82.09272,0,4,354850020101819589,2023-08-20,Santos,0.632712,433656,0,0.0,2,275,,,,,111791,20.73,24.21,28.77,8.5,81.71,426.0,21.47,0.58768415,547.0,21.27,0.5904281,683.0,19.97,0.58373225,963.0,19.67,0.6648544,503.0,20.86,5.877735781779639,-0.17904823144898607,-0.42853950516837713,-0.6502221358429114,-0.9933555128309068,17,202.0,124.0,69.0,79.0
2010-05-09,201019,202.0,202,202,202,0.0,46.5807,0,4,354850020101919589,2023-08-20,Santos,0.45842203,433656,0,0.0,2,168,,,,,111791,17.44,20.47,24.04,28.9,80.71,356.0,20.73,0.632712,426.0,21.47,0.58768415,547.0,21.27,0.5904281,683.0,19.97,0.58373225,382.75,20.2275,5.313205979041787,-0.5645298027378516,-0.7435780341868377,-0.9930693079062287,-1.214751938580763,18,124.0,69.0,79.0,53.0
2010-05-16,201020,124.0,124,124,124,0.0,28.594093,0,4,354850020102019589,2023-08-20,Santos,0.37196308,433656,0,0.0,1,100,,,,,111791,18.61,21.63,24.96,17.9,82.57,202.0,17.44,0.45842203,356.0,20.73,0.632712,426.0,21.47,0.58768415,547.0,21.27,0.5904281,277.0,19.5625,4.8283137373023015,-0.48489224173948564,-1.0494220444773372,-1.2284702759263233,-1.4779615496457144,19,69.0,79.0,53.0,34.0
2010-05-23,201021,69.0,69,69,69,0.0,15.911229,0,1,354850020102119589,2023-08-20,Santos,0.30534366,433656,0,0.0,1,52,,,,,111791,19.57,22.0,25.27,14.7,86.29,124.0,18.61,0.37196308,202.0,17.44,0.45842203,356.0,20.73,0.632712,426.0,21.47,0.58768415,187.75,19.087500000000002,4.248495242049359,-0.5798184952529422,-1.0647107369924278,-1.6292405397302794,-1.8082887711792655,20,79.0,53.0,34.0,20.0
2010-05-30,201022,79.0,79,79,79,1.4154067e-05,18.217205,0,1,354850020102219589,2023-08-20,Santos,0.5623129,433656,0,0.0,1,62,,,,,111791,17.67,20.9,24.49,23.5,81.14,69.0,19.57,0.30534366,124.0,18.61,0.37196308,202.0,17.44,0.45842203,356.0,20.73,0.632712,118.5,18.3225,4.382026634673881,0.13353139262452185,-0.4462871026284203,-0.931179344367906,-1.4957091471057575,21,53.0,34.0,20.0,18.0
2010-06-06,201023,53.0,53,53,53,0.00053364347,12.221669,0,1,354850020102319589,2023-08-20,Santos,0.5757719,433656,0,0.0,1,33,,,,,111791,15.14,18.13,21.53,14.8,79.57,79.0,17.67,0.5623129,69.0,19.57,0.30534366,124.0,18.61,0.37196308,202.0,17.44,0.45842203,81.25,17.747500000000002,3.9889840465642745,-0.3930425881096067,-0.25951119548508483,-0.839329690738027,-1.3242219324775126,22,34.0,20.0,18.0,13.0
2010-06-13,201024,34.0,34,34,34,0.00014470585,7.840316,0,1,354850020102419589,2023-08-20,Santos,0.48219457,433656,0,0.0,1,24,,,,,111791,14.81,20.37,27.46,0.0,73.29,53.0,15.14,0.5757719,79.0,17.67,0.5623129,69.0,19.57,0.30534366,124.0,18.61,0.37196308,58.75,16.797500000000003,3.5553480614894135,-0.433635985074861,-0.8266785731844677,-0.6931471805599458,-1.272965675812888,23,20.0,18.0,13.0,12.0
2010-06-20,201025,20.0,20,20,20,2.6682093e-05,4.6119504,0,1,354850020102519589,2023-08-20,Santos,0.37127143,433656,0,0.0,1,8,,,,,111791,18.11,20.61,24.17,22.2,84.57,34.0,14.81,0.48219457,53.0,15.14,0.5757719,79.0,17.67,0.5623129,69.0,19.57,0.30534366,46.5,16.432499999999997,3.044522437723423,-0.5108256237659905,-0.9444616088408515,-1.3375041969504582,-1.2039728043259363,24,18.0,13.0,12.0,8.0
2010-06-27,201026,18.0,18,18,18,0.0048720986,4.1507554,0,1,354850020102619589,2023-08-20,Santos,0.48929372,433656,0,0.0,1,11,,,,,111791,15.93,19.73,24.69,2.9,84.29,20.0,18.11,0.37127143,34.0,14.81,0.48219457,53.0,15.14,0.5757719,79.0,17.67,0.5623129,31.25,15.997499999999999,2.9444389791664403,-0.10008345855698275,-0.6109090823229733,-1.0445450673978343,-1.437587655507441,25,13.0,12.0,8.0,15.0
2010-07-04,201027,13.0,13,13,13,0.0278773,2.997768,0,1,354850020102719589,2023-08-20,Santos,0.5309533,433656,0,0.0,0,4,,,,,111791,17.39,20.79,25.57,1.1,82.86,18.0,15.93,0.48929372,20.0,18.11,0.37127143,34.0,14.81,0.48219457,53.0,15.14,0.5757719,21.25,16.56,2.6390573296152584,-0.30538164955118186,-0.4054651081081646,-0.9162907318741551,-1.3499267169490161,26,12.0,8.0,15.0,9.0
2010-07-11,201028,12.0,12,12,12,0.13627869,2.7671702,0,1,354850020102819589,2023-08-20,Santos,0.670573,433656,0,0.0,0,3,,,,,111791,17.57,20.13,23.51,98.9,86.86,13.0,17.39,0.5309533,18.0,15.93,0.48929372,20.0,18.11,0.37127143,34.0,14.81,0.48219457,15.75,17.25,2.5649493574615367,-0.07410797215372167,-0.3794896217049035,-0.4795730802618863,-0.9903987040278768,27,8.0,15.0,9.0,9.0
2010-07-18,201029,8.0,8,8,8,0.09100056,1.8447802,0,1,354850020102919589,2023-08-20,Santos,0.56677246,433656,0,0.0,0,4,,,,,111791,19.46,22.56,26.66,11.4,85.86,12.0,17.57,0.670573,13.0,17.39,0.5309533,18.0,15.93,0.48929372,20.0,18.11,0.37127143,12.75,17.5875,2.1972245773362196,-0.3677247801253172,-0.44183275227903884,-0.7472144018302207,-0.8472978603872034,28,15.0,9.0,9.0,4.0
2010-07-25,201030,15.0,15,15,15,0.7390609,3.458963,0,1,354850020103019589,2023-08-20,Santos,1.2772849,433656,0,0.0,0,4,,,,,111791,18.93,21.91,26.16,8.1,84.0,8.0,19.46,0.56677246,12.0,17.57,0.670573,13.0,17.39,0.5309533,18.0,15.93,0.48929372,12.0,18.3375,2.772588722239781,0.5753641449035616,0.2076393647782444,0.13353139262452274,-0.17185025692665912,29,9.0,9.0,4.0,7.0
2010-08-01,201031,9.0,9,9,9,0.32418916,2.0753777,0,1,354850020103119589,2023-08-20,Santos,0.81855017,433656,0,0.0,0,4,,,,,111791,16.61,18.2,20.26,57.6,88.14,15.0,18.93,1.2772849,8.0,19.46,0.56677246,12.0,17.57,0.670573,13.0,17.39,0.5309533,11.0,18.1425,2.302585092994046,-0.47000362924573524,0.10536051565782634,-0.26236426446749084,-0.3364722366212125,30,9.0,4.0,7.0,6.0
2010-08-08,201032,9.0,9,9,9,0.3015631,2.0753777,0,1,354850020103219589,2023-08-20,Santos,0.7970598,433656,0,0.0,0,3,,,,,111791,16.46,19.6,23.47,9.8,81.14,9.0,16.61,0.81855017,15.0,18.93,1.2772849,8.0,19.46,0.56677246,12.0,17.57,0.670573,10.25,17.865000000000002,2.302585092994046,0.0,-0.47000362924573524,0.10536051565782634,-0.26236426446749084,31,4.0,7.0,6.0,6.0
2010-08-15,201033,4.0,4,4,4,0.04401911,0.9223901,0,1,354850020103319589,2023-08-20,Santos,0.39601535,433656,0,0.0,0,2,,,,,111791,13.61,17.64,22.26,0.9,79.86,9.0,16.46,0.7970598,9.0,16.61,0.81855017,15.0,18.93,1.2772849,8.0,19.46,0.56677246,9.25,16.4025,1.6094379124341003,-0.6931471805599456,-0.6931471805599456,-1.1631508098056809,-0.5877866649021193,32,7.0,6.0,6.0,5.0
2010-08-22,201034,7.0,7,7,7,0.39912784,1.6141827,0,1,354850020103419589,2023-08-20,Santos,0.87928855,433656,0,0.0,0,4,,,,,111791,15.9,21.6,28.46,0.0,76.0,4.0,13.61,0.39601535,9.0,16.46,0.7970598,9.0,16.61,0.81855017,15.0,18.93,1.2772849,7.25,15.645,2.0794415416798357,0.47000362924573547,-0.22314355131421015,-0.22314355131421015,-0.6931471805599454,33,6.0,6.0,5.0,8.0
2010-08-29,201035,6.0,6,6,6,0.45957077,1.3835851,0,1,354850020103519589,2023-08-20,Santos,0.9456665,433656,0,0.0,0,1,,,,,111791,18.16,22.49,27.51,0.0,80.29,7.0,15.9,0.87928855,4.0,13.61,0.39601535,9.0,16.46,0.7970598,9.0,16.61,0.81855017,6.5,16.0325,1.9459101490553132,-0.13353139262452252,0.33647223662121295,-0.35667494393873267,-0.35667494393873267,34,6.0,5.0,8.0,11.0
2010-09-05,201036,6.0,6,6,6,0.4923806,1.3835851,0,1,354850020103619589,2023-08-20,Santos,0.9894339,433656,0,0.0,0,1,,,,,111791,17.69,19.86,22.4,40.3,86.14,6.0,18.16,0.9456665,7.0,15.9,0.87928855,4.0,13.61,0.39601535,9.0,16.46,0.7970598,5.75,16.34,1.9459101490553132,0.0,-0.13353139262452252,0.33647223662121295,-0.35667494393873267,35,5.0,8.0,11.0,6.0
2010-09-12,201037,5.0,5,5,5,0.3694793,1.1529876,0,1,354850020103719589,2023-08-20,Santos,0.82422495,433656,0,0.0,0,0,,,,,111791,18.19,21.81,25.87,13.0,77.86,6.0,17.69,0.9894339,6.0,18.16,0.9456665,7.0,15.9,0.87928855,4.0,13.61,0.39601535,6.0,17.485,1.791759469228055,-0.15415067982725827,-0.15415067982725827,-0.2876820724517808,0.18232155679395468,36,8.0,11.0,6.0,3.0
2010-09-19,201038,8.0,8,8,8,0.7212474,1.8447802,0,1,354850020103819589,2023-08-20,Santos,1.3595866,433656,0,0.0,0,0,,,,,111791,18.74,21.33,25.09,16.8,86.43,5.0,18.19,0.82422495,6.0,17.69,0.9894339,6.0,18.16,0.9456665,7.0,15.9,0.87928855,6.25,18.195,2.1972245773362196,0.4054651081081646,0.25131442828090633,0.25131442828090633,0.11778303565638382,37,11.0,6.0,3.0,8.0
2010-09-26,201039,11.0,11,11,11,0.87630343,2.5365727,0,1,354850020103919589,2023-08-20,Santos,1.7372848,433656,0,0.0,0,1,,,,,111791,20.2,22.2,24.79,76.2,92.14,8.0,18.74,1.3595866,5.0,18.19,0.82422495,6.0,17.69,0.9894339,6.0,18.16,0.9456665,7.5,18.705,2.4849066497880004,0.2876820724517808,0.6931471805599454,0.5389965007326871,0.5389965007326871,38,6.0,3.0,8.0,15.0
2010-10-03,201040,6.0,6,6,6,0.3140835,1.3835851,0,1,354850020104019589,2023-08-20,Santos,0.77534455,433656,0,0.0,0,0,,,,,111791,18.94,21.67,24.79,39.7,82.71,11.0,20.2,1.7372848,8.0,18.74,1.3595866,5.0,18.19,0.82422495,6.0,17.69,0.9894339,7.5,19.017500000000002,1.9459101490553132,-0.5389965007326871,-0.25131442828090633,0.15415067982725827,0.0,39,3.0,8.0,15.0,15.0
2010-10-10,201041,3.0,3,3,3,0.048530407,0.69179255,0,1,354850020104119589,2023-08-20,Santos,0.364286,433656,0,0.0,0,0,,,,,111791,17.7,20.97,24.64,5.4,78.43,6.0,18.94,0.77534455,11.0,20.2,1.7372848,8.0,18.74,1.3595866,5.0,18.19,0.82422495,7.0,18.895,1.3862943611198906,-0.5596157879354227,-1.0986122886681098,-0.810930216216329,-0.4054651081081644,40,8.0,15.0,15.0,10.0
2010-10-17,201042,8.0,8,8,8,0.6398778,1.8447802,0,1,354850020104219589,2023-08-20,Santos,1.1997473,433656,0,0.0,0,0,,,,,111791,18.37,21.47,25.24,32.0,83.14,3.0,17.7,0.364286,6.0,18.94,0.77534455,11.0,20.2,1.7372848,8.0,18.74,1.3595866,7.0,18.802500000000002,2.1972245773362196,0.810930216216329,0.25131442828090633,-0.2876820724517808,0.0,41,15.0,15.0,10.0,12.0
2010-10-24,201043,15.0,15,15,15,0.978952,3.458963,0,1,354850020104319589,2023-08-20,Santos,2.4899096,433656,0,0.0,0,1,,,,,111791,19.27,22.33,26.01,16.7,83.29,8.0,18.37,1.1997473,3.0,17.7,0.364286,6.0,18.94,0.77534455,11.0,20.2,1.7372848,8.0,18.57,2.772588722239781,0.5753641449035616,1.3862943611198906,0.8266785731844679,0.2876820724517808,42,15.0,10.0,12.0,24.0
2010-10-31,201044,15.0,15,15,15,0.9063005,3.458963,0,1,354850020104419589,2023-08-20,Santos,1.7180852,433656,0,0.0,0,1,,,,,111791,20.13,23.96,28.01,37.5,81.14,15.0,19.27,2.4899096,8.0,18.37,1.1997473,3.0,17.7,0.364286,6.0,18.94,0.77534455,10.25,18.8675,2.772588722239781,0.0,0.5753641449035616,1.3862943611198906,0.8266785731844679,43,10.0,12.0,24.0,16.0
2010-11-07,201045,10.0,10,10,10,0.311169,2.3059752,0,1,354850020104519589,2023-08-20,Santos,0.8143708,433656,0,0.0,0,0,,,,,111791,19.93,22.97,25.9,51.2,81.86,15.0,20.13,1.7180852,15.0,19.27,2.4899096,8.0,18.37,1.1997473,3.0,17.7,0.364286,12.0,19.425,2.3978952727983707,-0.3746934494414105,-0.3746934494414105,0.2006706954621511,1.01160091167848,44,12.0,24.0,16.0,31.0
2010-11-14,201046,12.0,12,12,12,0.40954664,2.7671702,0,1,354850020104619589,2023-08-20,Santos,0.914123,433656,0,0.0,0,0,,,,,111791,19.76,23.01,26.41,51.4,84.43,10.0,19.93,0.8143708,15.0,20.13,1.7180852,15.0,19.27,2.4899096,8.0,18.37,1.1997473,13.0,19.7725,2.5649493574615367,0.16705408466316607,-0.2076393647782444,-0.2076393647782444,0.3677247801253172,45,24.0,16.0,31.0,25.0
2010-11-21,201047,24.0,24,24,24,0.9719356,5.5343404,0,1,354850020104719589,2023-08-20,Santos,1.8951141,433656,0,1.0,1,0,,,,,111791,21.9,24.5,27.9,39.6,88.0,12.0,19.76,0.914123,10.0,19.93,0.8143708,15.0,20.13,1.7180852,15.0,19.27,2.4899096,15.25,20.43,3.2188758248682006,0.6539264674066638,0.8209805520698299,0.4462871026284194,0.4462871026284194,46,16.0,31.0,25.0,24.0
2010-11-28,201048,16.0,16,16,16,0.5899799,3.6895604,0,1,354850020104819589,2023-08-20,Santos,1.0843352,433656,1,0.0,0,0,,,,,111791,23.39,26.64,31.21,54.4,84.0,24.0,21.9,1.8951141,12.0,19.76,0.914123,10.0,19.93,0.8143708,15.0,20.13,1.7180852,15.5,21.245,2.833213344056216,-0.3856624808119844,0.2682639865946794,0.4353180712578455,0.06062462181643502,47,31.0,25.0,24.0,32.0
