data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,receptivo,transmissao,nivel_inc,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,tmin,tmed,tmax,precipitacao,umidade,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,log_casos,var_log_1,var_log_2,var_log_3,var_log_4,semana_ano,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,8.0,8,8,8,0.0,1.1638784,0,1,355220520100119589,2023-08-20,Sorocaba,0.0,687357,1,0,0,0,,,,,354883,22.14,25.43,30.64,109.8,81.0,,,,,,,,,,,,,,,2.1972245773362196,,,,,53,13.0,9.0,13.0,25.0
2010-01-10,201002,13.0,13,13,13,0.0,1.8913025,0,1,355220520100219589,2023-08-20,Sorocaba,0.0,687357,1,0,0,1,,,,,354883,21.13,24.47,29.26,35.2,81.14,8.0,22.14,0.0,,,,,,,,,,,,2.6390573296152584,0.44183275227903884,,,,1,9.0,13.0,25.0,30.0
2010-01-17,201003,9.0,9,9,9,0.0,1.3093632,0,2,355220520100319589,2023-08-20,Sorocaba,0.0,687357,1,0,0,0,,,,,354883,20.71,23.81,28.57,95.5,86.29,13.0,21.13,0.0,8.0,22.14,0.0,,,,,,,,,2.302585092994046,-0.3364722366212125,0.10536051565782634,,,2,13.0,25.0,30.0,58.0
2010-01-24,201004,13.0,13,13,13,0.0,1.8913025,0,2,355220520100419589,2023-08-20,Sorocaba,0.0,687357,1,0,0,2,,,,,354883,20.33,23.26,27.69,83.0,85.71,9.0,20.71,0.0,13.0,21.13,0.0,8.0,22.14,0.0,,,,10.75,21.0775,2.6390573296152584,0.3364722366212125,0.0,0.44183275227903884,,3,25.0,30.0,58.0,99.0
2010-01-31,201005,25.0,25,25,25,0.0,3.6371202,0,2,355220520100519589,2023-08-20,Sorocaba,0.0,687357,1,0,0,2,,,,,354883,21.11,26.31,32.79,5.3,73.43,13.0,20.33,0.0,9.0,20.71,0.0,13.0,21.13,0.0,8.0,22.14,0.0,15.0,20.82,3.258096538021482,0.6190392084062237,0.9555114450274362,0.6190392084062237,1.0608719606852626,4,30.0,58.0,99.0,125.0
2010-02-07,201006,30.0,30,30,30,0.9838654,4.3645444,0,2,355220520100619589,2023-08-20,Sorocaba,1.9023075,687357,1,0,0,4,,,,,354883,21.87,25.91,30.96,14.4,75.14,25.0,21.11,0.0,13.0,20.33,0.0,9.0,20.71,0.0,13.0,21.13,0.0,19.25,21.005000000000003,3.4339872044851463,0.17589066646366414,0.7949298748698879,1.1314021114911004,0.7949298748698879,5,58.0,99.0,125.0,133.0
2010-02-14,201007,58.0,58,58,58,0.9999347,8.438119,0,2,355220520100719589,2023-08-20,Sorocaba,2.4112036,687357,1,1,1,16,,,,,354883,21.66,25.71,30.63,24.5,75.57,30.0,21.87,1.9023075,25.0,21.11,0.0,13.0,20.33,0.0,9.0,20.71,0.0,31.5,21.2425,4.07753744390572,0.6435502394205734,0.8194409058842376,1.4384801142904613,1.7749523509116738,6,99.0,125.0,133.0,160.0
2010-02-21,201008,99.0,99,99,99,0.99999994,14.402996,0,3,355220520100819589,2023-08-20,Sorocaba,2.5956683,687357,1,1,1,38,,,,,354883,21.06,25.09,29.77,19.7,74.86,58.0,21.66,2.4112036,30.0,21.87,1.9023075,25.0,21.11,0.0,13.0,20.33,0.0,53.0,21.424999999999997,4.605170185988092,0.5276327420823721,1.1711829815029455,1.3470736479666097,1.9661128563728334,7,125.0,133.0,160.0,118.0
2010-02-28,201009,125.0,125,125,125,0.9999981,18.1856,0,3,355220520100919589,2023-08-20,Sorocaba,1.9996686,687357,0,1,1,33,,,,,354883,19.54,22.14,25.89,57.0,81.86,99.0,21.06,2.5956683,58.0,21.66,2.4112036,30.0,21.87,1.9023075,25.0,21.11,0.0,78.0,21.0325,4.836281906951478,0.23111172096338617,0.7587444630457583,1.4022947024663317,1.5781853689299958,8,133.0,160.0,118.0,105.0
2010-03-07,201010,133.0,133,133,133,0.9964863,19.34948,0,3,355220520101019589,2023-08-20,Sorocaba,1.4349059,687357,1,1,1,32,,,,,354883,19.21,25.33,31.56,0.5,69.0,125.0,19.54,1.9996686,99.0,21.06,2.5956683,58.0,21.66,2.4112036,30.0,21.87,1.9023075,103.75,20.3675,4.897839799950911,0.06155789299943315,0.2926696139628193,0.8203023560451914,1.4638525954657648,9,160.0,118.0,105.0,118.0
