data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,rt,pop,tmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tmed,tmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,casos_est_lag_1,tmin_lag_1,rt_lag_1,casos_est_lag_2,tmin_lag_2,rt_lag_2,casos_est_lag_3,tmin_lag_3,rt_lag_3,casos_est_lag_4,tmin_lag_4,rt_lag_4,casos_est_roll_4,tmin_roll_4,target_h1,target_h2,target_h3,target_h4
2010-01-03,201001,2.0,2,2,2,0.0,1.5242741,0,1,355620620100119589,2023-08-20,Valinhos,0.0,131210,21.2857142857143,93.1428571428571,1,0,0,76.4912714285714,50.1428571428571,25.0019282857143,31.1428571428571,1,,,,,29800,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0
2010-01-10,201002,1.0,1,1,1,0.0,0.76213706,0,1,355620620100219589,2023-08-20,Valinhos,0.0,131210,20.1428571428571,94.0,1,0,0,77.5372057142857,54.8571428571429,23.9557038571429,29.4285714285714,0,,,,,29800,2.0,21.2857142857143,0.0,,,,,,,,,,,,1.0,3.0,3.0,5.0
2010-01-17,201003,1.0,1,1,1,0.0,0.76213706,0,2,355620620100319589,2023-08-20,Valinhos,0.0,131210,20.2857142857143,99.1428571428571,1,0,0,83.1837132857143,56.8571428571429,23.1957815714286,28.8571428571429,1,,,,,29800,1.0,20.1428571428571,0.0,2.0,21.2857142857143,0.0,,,,,,,,,3.0,3.0,5.0,8.0
2010-01-24,201004,3.0,3,3,3,0.0,2.286411,0,2,355620620100419589,2023-08-20,Valinhos,0.0,131210,19.5714285714286,96.5714285714286,1,0,0,84.1945108571429,65.1428571428571,22.4905087142857,26.8571428571429,2,,,,,29800,1.0,20.2857142857143,0.0,1.0,20.1428571428571,0.0,2.0,21.2857142857143,0.0,,,,1.75,20.321428571428577,3.0,5.0,8.0,11.0
2010-01-31,201005,3.0,3,3,3,0.0,2.286411,0,2,355620620100519589,2023-08-20,Valinhos,0.0,131210,20.4285714285714,92.2857142857143,1,0,0,69.2675774285714,40.7142857142857,25.9899467142857,33.1428571428571,0,,,,,29800,3.0,19.5714285714286,0.0,1.0,20.2857142857143,0.0,1.0,20.1428571428571,0.0,2.0,21.2857142857143,0.0,2.0,20.10714285714285,5.0,8.0,11.0,4.0
2010-02-07,201006,5.0,5,5,5,0.83609784,3.8106852,0,2,355620620100619589,2023-08-20,Valinhos,2.0019865,131210,21.2857142857143,89.1428571428571,1,0,1,69.0830762857143,44.8571428571429,25.3415934285714,31.0,1,,,,,29800,3.0,20.4285714285714,0.0,3.0,19.5714285714286,0.0,1.0,20.2857142857143,0.0,1.0,20.1428571428571,0.0,3.0,20.39285714285715,8.0,11.0,4.0,5.0
2010-02-14,201007,8.0,8,8,8,0.9115699,6.0970964,0,2,355620620100719589,2023-08-20,Valinhos,2.2079864,131210,20.8571428571429,93.1428571428571,1,0,1,73.2277857142857,51.4285714285714,24.905616,30.2857142857143,3,,,,,29800,5.0,21.2857142857143,2.0019865,3.0,20.4285714285714,0.0,3.0,19.5714285714286,0.0,1.0,20.2857142857143,0.0,4.75,20.5357142857143,11.0,4.0,5.0,18.0
2010-02-21,201008,11.0,11,11,11,0.9235744,8.383508,0,2,355620620100819589,2023-08-20,Valinhos,2.0307074,131210,20.0,92.5714285714286,1,0,1,72.9784302857143,52.1428571428571,24.529406,30.1428571428571,6,,,,,29800,8.0,20.8571428571429,2.2079864,5.0,21.2857142857143,2.0019865,3.0,20.4285714285714,0.0,3.0,19.5714285714286,0.0,6.75,20.64285714285715,4.0,5.0,18.0,16.0
2010-02-28,201009,4.0,4,4,4,0.14264406,3.0485482,0,1,355620620100919589,2023-08-20,Valinhos,0.53659314,131210,18.7142857142857,92.4285714285714,0,0,0,80.7983588571429,67.8571428571429,21.6103865714286,25.1428571428571,1,,,,,29800,11.0,20.0,2.0307074,8.0,20.8571428571429,2.2079864,5.0,21.2857142857143,2.0019865,3.0,20.4285714285714,0.0,7.0,20.214285714285722,5.0,18.0,16.0,11.0
2010-03-07,201010,5.0,5,5,5,0.20489945,3.8106852,0,1,355620620101019589,2023-08-20,Valinhos,0.6372981,131210,19.5714285714286,84.0,1,0,1,59.470756,34.8571428571429,25.5778988571429,31.4285714285714,3,,,,,29800,4.0,18.7142857142857,0.53659314,11.0,20.0,2.0307074,8.0,20.8571428571429,2.2079864,5.0,21.2857142857143,2.0019865,7.0,19.785714285714302,18.0,16.0,11.0,10.0
