data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,21.96,26.03,31.47,26.6,75.86
2010-01-10,21.47,25.1,29.81,46.7,79.29
2010-01-17,21.27,24.27,28.67,73.7,83.43
2010-01-24,20.36,23.37,27.83,110.1,85.71
2010-01-31,21.46,26.59,33.39,15.7,71.14
2010-02-07,22.17,26.3,31.8,13.5,71.14
2010-02-14,21.91,25.84,30.97,42.1,73.29
2010-02-21,21.24,25.5,30.63,21.2,74.0
2010-02-28,20.09,22.84,26.23,35.6,81.0
2010-03-07,19.84,25.76,32.23,0.7,66.29
2010-03-14,20.36,24.9,30.51,30.8,75.43
2010-03-21,21.6,25.49,31.1,33.6,77.71
2010-03-28,20.9,24.33,29.19,51.8,79.29
2010-04-04,16.04,19.69,23.83,25.8,78.71
2010-04-11,15.87,21.99,28.44,0.3,67.29
2010-04-18,18.73,24.59,31.2,1.0,64.29
2010-04-25,18.67,23.19,29.1,2.5,69.0
2010-05-02,17.0,23.1,29.99,8.4,62.0
2010-05-09,13.06,17.7,23.64,6.8,70.14
2010-05-16,14.14,18.96,24.47,11.7,70.57
2010-05-23,15.81,20.51,26.69,0.5,70.86
2010-05-30,14.83,19.39,24.7,23.3,66.71
2010-06-06,10.94,16.21,22.93,0.6,69.14
2010-06-13,10.7,17.96,27.2,0.0,58.43
2010-06-20,14.84,20.53,28.11,1.7,62.71
2010-06-27,11.44,18.17,26.8,0.0,59.57
2010-07-04,13.1,19.34,27.44,0.0,55.0
2010-07-11,16.03,19.53,24.03,44.3,76.29
2010-07-18,16.49,21.66,28.34,0.0,69.29
2010-07-25,15.94,21.09,27.27,0.0,59.43
2010-08-01,14.26,18.37,25.09,0.1,67.0
2010-08-08,13.77,20.21,27.57,0.0,56.71
2010-08-15,10.23,17.33,25.57,0.0,50.71
2010-08-22,14.29,23.13,32.77,0.0,34.71
2010-08-29,17.14,24.41,32.7,0.0,40.0
2010-09-05,15.37,20.54,27.76,6.9,62.71
2010-09-12,17.73,24.21,31.93,0.0,47.0
2010-09-19,17.81,23.44,30.34,8.8,57.57
2010-09-26,18.87,21.19,24.57,101.9,85.43
2010-10-03,16.81,20.99,25.87,34.0,75.29
2010-10-10,14.7,20.41,27.44,6.5,70.14
2010-10-17,16.4,22.3,28.94,18.2,69.86
2010-10-24,17.09,22.9,29.74,24.8,67.57
2010-10-31,19.17,23.93,29.43,36.7,68.0
2010-11-07,18.23,22.73,28.21,44.5,71.43
2010-11-14,17.14,22.56,28.47,25.9,69.43
2010-11-21,19.74,24.71,31.1,25.7,74.57
2010-11-28,21.3,25.7,31.87,32.1,73.86
2010-12-05,21.39,26.09,32.3,11.4,71.71
2010-12-12,20.66,23.59,27.99,101.8,83.14
2010-12-19,20.84,25.14,30.81,52.6,78.43
2010-12-26,19.64,24.06,29.06,36.5,74.43
2011-01-02,21.23,23.67,27.73,145.4,86.0
2011-01-09,21.33,24.57,29.43,102.4,84.57
2011-01-16,21.44,25.01,29.83,43.2,80.57
2011-01-23,21.67,26.81,33.09,9.5,72.0
2011-01-30,21.3,25.46,30.67,10.9,78.14
2011-02-06,21.53,26.63,32.84,8.3,71.14
2011-02-13,21.0,24.83,30.41,43.9,79.29
2011-02-20,21.13,26.07,32.33,26.5,75.86
2011-02-27,20.17,21.93,24.59,137.5,88.71
2011-03-06,20.09,23.64,27.86,38.2,79.43
2011-03-13,20.86,24.04,28.61,27.1,81.43
2011-03-20,20.19,24.01,28.73,8.4,76.43
2011-03-27,20.71,24.56,29.96,48.4,80.14
2011-04-03,18.29,22.26,27.4,28.8,80.57
2011-04-10,18.6,23.36,29.3,29.8,78.86
2011-04-17,19.49,24.47,30.13,0.8,73.29
2011-04-24,17.33,20.81,25.36,35.9,79.86
2011-05-01,14.81,19.91,25.99,3.6,79.29
2011-05-08,16.03,20.87,26.6,0.0,77.57
2011-05-15,12.8,17.6,23.59,5.2,76.43
2011-05-22,13.19,18.63,25.19,0.0,71.86
2011-05-29,11.07,16.66,24.0,0.1,72.86
2011-06-05,10.7,15.33,21.33,44.8,73.57
2011-06-12,10.73,16.6,24.13,0.0,74.43
2011-06-19,13.3,19.21,26.74,0.0,74.86
2011-06-26,11.46,17.03,23.66,5.3,71.14
2011-07-03,12.01,16.49,22.4,0.0,72.29
2011-07-10,12.99,20.13,28.47,0.0,61.14
2011-07-17,16.0,20.9,27.5,5.4,65.57
2011-07-24,14.76,20.5,27.27,1.5,59.57
2011-07-31,11.89,17.33,23.59,12.8,66.71
2011-08-07,15.23,21.31,29.07,1.0,63.14
2011-08-14,15.89,22.44,29.73,6.0,50.86
2011-08-21,14.91,19.66,25.49,1.7,70.57
2011-08-28,13.67,20.5,28.21,5.8,53.43
2011-09-04,15.0,22.9,31.94,0.0,44.71
2011-09-11,15.77,21.6,28.54,2.3,61.29
2011-09-18,16.39,22.79,30.4,1.9,52.29
2011-09-25,15.41,23.74,32.3,0.0,51.14
2011-10-02,18.31,23.91,31.16,20.0,60.57
2011-10-09,20.1,23.46,28.0,63.7,77.71
2011-10-16,15.86,20.34,25.74,35.4,68.86
2011-10-23,18.77,24.51,30.8,20.5,66.0
2011-10-30,14.33,19.87,26.07,15.9,64.71
2011-11-06,19.43,24.84,31.04,12.3,59.0
2011-11-13,16.93,20.41,24.63,135.3,79.29
2011-11-20,18.27,23.84,29.47,33.5,68.71
2011-11-27,18.74,22.84,28.66,57.8,77.14
2011-12-04,19.76,23.39,28.13,76.7,80.0
2011-12-11,19.13,24.61,30.71,55.9,70.43
2011-12-18,20.36,25.69,31.66,12.6,67.0
2011-12-25,19.81,23.5,28.54,30.0,76.0
2012-01-01,18.77,23.66,29.3,58.7,75.29
2012-01-08,19.67,22.8,26.51,60.3,77.57
2012-01-15,19.9,22.83,27.23,87.7,84.0
2012-01-22,19.23,22.73,27.44,50.5,80.57
2012-01-29,17.96,24.47,30.46,2.3,68.0
2012-02-05,21.37,26.7,32.8,46.5,67.43
2012-02-12,20.2,24.63,30.24,35.9,76.29
2012-02-19,21.26,25.1,30.09,22.3,77.86
2012-02-26,21.13,26.36,32.66,17.3,72.86
2012-03-04,19.34,25.11,31.26,6.4,69.14
2012-03-11,19.61,24.16,29.84,31.1,74.86
2012-03-18,19.13,23.83,29.47,40.0,72.57
2012-03-25,19.24,23.63,29.14,18.6,75.86
2012-04-01,18.8,24.27,30.56,8.5,73.71
2012-04-08,20.09,24.74,30.44,5.4,71.14
2012-04-15,18.59,23.07,28.54,22.5,72.0
2012-04-22,17.87,21.87,27.06,39.0,78.0
2012-04-29,14.06,18.54,23.43,56.6,78.71
2012-05-06,15.17,20.16,25.76,4.9,73.14
2012-05-13,15.29,18.37,22.63,12.7,78.14
2012-05-20,14.11,19.29,25.24,10.3,73.57
2012-05-27,15.94,20.87,26.84,1.3,77.43
2012-06-03,16.43,19.13,22.59,81.6,82.86
2012-06-10,15.51,19.6,25.26,4.0,81.29
2012-06-17,15.8,19.0,22.77,91.1,79.71
2012-06-24,13.16,18.29,25.06,0.0,75.86
2012-07-01,14.04,19.64,26.84,0.6,69.57
2012-07-08,11.97,16.83,22.53,10.2,71.14
2012-07-15,10.16,15.17,21.44,42.9,76.43
2012-07-22,15.29,21.24,28.64,0.0,66.0
2012-07-29,14.69,20.04,26.4,0.0,68.43
2012-08-05,13.01,19.07,26.6,0.0,64.57
2012-08-12,15.63,21.03,27.47,0.0,56.57
2012-08-19,15.3,21.44,28.37,0.0,47.29
2012-08-26,14.09,20.44,28.0,1.8,60.0
2012-09-02,15.49,23.0,31.53,0.0,51.86
2012-09-09,18.13,24.94,32.89,0.8,50.86
2012-09-16,19.44,24.63,30.43,50.0,57.86
2012-09-23,12.94,17.96,24.06,40.4,68.29
2012-09-30,17.97,24.76,32.66,2.1,59.14
