data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,21.66,25.63,31.11,29.4,76.57
2010-01-10,21.61,24.8,29.47,33.9,79.86
2010-01-17,21.17,23.93,28.23,76.7,84.0
2010-01-24,20.46,23.04,27.1,105.0,86.29
2010-01-31,21.21,26.23,33.09,15.7,71.43
2010-02-07,21.59,25.89,31.2,12.6,72.14
2010-02-14,21.51,25.39,29.91,59.4,74.57
2010-02-21,20.9,25.21,30.33,24.6,74.86
2010-02-28,19.79,22.5,26.11,56.1,85.57
2010-03-07,20.13,25.63,31.84,0.7,67.43
2010-03-14,20.11,24.54,30.33,42.2,77.57
2010-03-21,21.21,25.01,30.73,27.1,79.43
2010-03-28,20.56,24.09,28.96,43.9,80.57
2010-04-04,15.76,19.36,23.91,17.7,79.71
2010-04-11,15.14,21.57,28.04,0.1,67.14
2010-04-18,18.66,24.6,31.16,0.5,65.0
2010-04-25,18.36,23.19,29.06,2.2,67.86
2010-05-02,17.66,23.11,29.66,8.3,60.86
2010-05-09,12.6,17.23,23.44,9.7,69.71
2010-05-16,14.01,18.81,24.44,8.9,69.71
2010-05-23,15.03,20.03,26.47,2.7,72.14
2010-05-30,14.21,19.07,24.41,9.1,67.71
2010-06-06,11.2,16.36,23.4,0.7,67.43
2010-06-13,10.46,18.23,27.3,0.0,56.14
2010-06-20,15.34,20.93,28.43,0.0,59.29
2010-06-27,11.8,18.33,26.7,0.0,54.29
2010-07-04,12.44,18.96,27.29,0.0,53.57
2010-07-11,15.54,19.4,24.74,36.7,77.57
2010-07-18,15.77,21.27,28.37,0.0,68.29
2010-07-25,15.31,20.7,27.13,0.0,57.57
2010-08-01,13.29,18.4,26.09,0.0,66.43
2010-08-08,14.36,20.37,27.76,0.0,54.86
2010-08-15,9.56,17.11,25.37,0.0,48.71
2010-08-22,14.5,23.49,32.41,0.0,30.86
2010-08-29,16.73,24.24,32.26,0.0,38.71
2010-09-05,14.73,20.51,27.67,6.6,62.29
2010-09-12,17.84,24.26,31.89,0.1,45.71
2010-09-19,17.73,23.19,30.01,17.5,59.0
2010-09-26,18.47,20.76,24.29,82.6,86.0
2010-10-03,16.51,21.16,26.39,29.0,76.57
2010-10-10,14.44,20.29,27.37,13.4,70.86
2010-10-17,16.36,22.31,29.04,22.1,71.29
2010-10-24,17.37,23.1,29.49,25.7,66.86
2010-10-31,18.81,23.54,28.8,41.1,70.0
2010-11-07,17.8,22.7,28.4,40.8,73.29
2010-11-14,17.23,22.46,28.21,18.8,70.29
2010-11-21,19.89,24.61,30.61,33.2,75.43
2010-11-28,21.17,25.5,31.51,46.5,74.43
2010-12-05,21.17,25.93,31.93,20.4,72.43
2010-12-12,20.46,23.46,27.96,93.3,84.57
2010-12-19,20.86,24.96,30.39,55.7,78.57
2010-12-26,19.56,23.79,28.61,33.4,76.57
2011-01-02,20.99,23.29,27.24,165.3,86.57
2011-01-09,21.1,24.23,28.7,94.7,85.43
2011-01-16,21.11,24.77,29.56,39.9,80.86
2011-01-23,21.39,26.46,32.74,12.4,71.86
2011-01-30,21.24,25.07,30.41,33.1,78.57
2011-02-06,21.4,26.2,32.3,11.6,71.86
2011-02-13,20.56,24.21,29.76,79.8,81.71
2011-02-20,21.03,25.64,31.74,50.3,77.14
2011-02-27,19.79,21.44,23.9,169.2,91.57
2011-03-06,19.71,22.74,26.34,100.1,86.57
2011-03-13,20.51,23.7,28.3,37.5,83.57
2011-03-20,19.97,23.79,28.36,9.0,77.43
2011-03-27,20.51,24.19,29.63,43.8,82.14
2011-04-03,18.34,22.26,27.51,25.9,80.43
2011-04-10,18.59,23.2,29.24,31.0,79.57
2011-04-17,18.8,24.39,29.94,0.9,72.0
2011-04-24,16.81,20.47,25.1,37.6,81.57
2011-05-01,15.04,20.09,26.01,3.9,79.14
2011-05-08,16.59,21.04,26.5,0.1,77.71
2011-05-15,12.14,17.1,23.61,6.2,78.14
2011-05-22,13.39,18.7,24.9,0.0,69.57
2011-05-29,10.77,16.69,24.16,0.1,73.14
2011-06-05,10.33,15.19,21.49,47.8,75.0
2011-06-12,10.34,16.47,24.03,0.0,74.86
2011-06-19,13.56,19.63,26.66,0.0,72.14
2011-06-26,11.67,17.01,23.9,1.5,69.14
2011-07-03,11.96,16.44,22.7,0.0,73.57
2011-07-10,12.76,20.0,28.14,0.0,59.14
2011-07-17,15.59,20.97,27.56,3.6,65.29
2011-07-24,14.31,20.17,26.9,1.1,60.71
2011-07-31,11.83,17.53,23.84,16.8,63.0
2011-08-07,15.24,21.6,29.24,0.4,61.0
2011-08-14,16.03,22.51,29.6,8.3,48.86
2011-08-21,14.21,19.51,25.96,1.3,71.14
2011-08-28,13.26,20.37,28.19,2.8,52.71
2011-09-04,15.37,23.14,32.17,0.0,41.0
2011-09-11,15.24,21.34,28.11,2.6,62.0
2011-09-18,16.16,22.51,30.0,2.3,52.0
2011-09-25,15.76,23.9,32.19,0.0,50.14
2011-10-02,18.06,23.91,30.94,9.7,59.29
2011-10-09,20.11,23.44,28.17,72.0,78.86
2011-10-16,15.67,20.44,25.57,34.8,69.43
2011-10-23,18.83,24.19,30.5,12.9,68.0
2011-10-30,14.1,20.01,26.07,16.4,64.86
2011-11-06,19.51,24.36,30.21,25.1,63.29
2011-11-13,16.76,20.36,24.83,97.7,80.57
2011-11-20,18.04,23.6,29.34,23.6,69.14
2011-11-27,18.34,22.83,28.77,50.8,78.14
2011-12-04,19.44,23.1,27.84,73.4,81.57
2011-12-11,18.83,24.33,30.26,70.6,71.14
2011-12-18,20.36,25.23,30.93,19.9,69.43
