data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,22.79,26.36,31.23,38.1,76.43
2010-01-10,21.77,24.73,29.14,37.7,79.57
2010-01-17,21.86,24.84,29.59,77.1,82.71
2010-01-24,20.64,23.39,27.04,109.9,86.0
2010-01-31,22.16,27.41,33.43,10.7,69.71
2010-02-07,22.07,25.87,30.96,61.1,77.0
2010-02-14,22.33,25.87,30.49,17.8,74.86
2010-02-21,21.71,26.13,31.41,5.4,70.86
2010-02-28,20.5,23.51,27.31,24.9,79.0
2010-03-07,20.23,26.76,33.1,0.2,64.0
2010-03-14,20.86,25.37,30.64,45.1,75.86
2010-03-21,21.73,25.19,29.94,34.5,81.86
2010-03-28,21.06,24.13,28.5,40.4,81.86
2010-04-04,16.04,19.79,24.46,12.6,76.71
2010-04-11,17.11,22.49,28.34,0.4,66.57
2010-04-18,19.3,25.01,31.43,9.5,66.0
2010-04-25,18.96,23.59,29.09,0.1,69.29
2010-05-02,17.59,23.07,29.31,10.7,67.71
2010-05-09,13.34,17.74,23.34,4.6,70.43
2010-05-16,14.46,18.69,23.89,8.5,71.14
2010-05-23,15.97,20.41,26.36,2.1,73.0
2010-05-30,14.27,18.91,24.19,13.7,70.71
2010-06-06,11.79,16.6,22.66,0.0,68.57
2010-06-13,12.16,18.97,26.81,0.0,62.14
2010-06-20,16.07,21.2,28.0,0.3,63.86
2010-06-27,13.39,19.27,26.63,0.0,61.43
2010-07-04,14.26,20.2,27.59,0.0,57.86
2010-07-11,15.09,18.54,22.99,42.0,78.71
2010-07-18,16.57,21.8,28.16,0.0,70.43
2010-07-25,16.07,21.31,27.5,0.0,60.86
2010-08-01,13.1,17.84,24.8,0.0,68.43
2010-08-08,13.93,20.26,27.9,0.0,59.14
2010-08-15,10.86,17.77,25.41,0.0,52.86
2010-08-22,15.24,24.31,32.84,0.0,37.14
2010-08-29,17.66,25.13,33.09,0.0,42.0
2010-09-05,15.13,20.87,28.0,3.5,63.0
2010-09-12,17.91,24.56,32.46,0.1,48.43
2010-09-19,17.9,23.8,30.9,7.1,57.86
2010-09-26,18.79,20.9,24.14,107.3,86.0
2010-10-03,16.64,21.54,27.19,31.3,73.43
2010-10-10,14.91,20.74,27.9,26.6,69.86
2010-10-17,16.9,22.89,29.37,25.1,69.14
2010-10-24,17.81,23.79,30.36,20.1,65.86
2010-10-31,19.41,24.39,30.14,23.6,65.86
2010-11-07,17.87,23.17,29.6,16.8,70.0
2010-11-14,17.96,23.24,28.99,30.4,66.43
2010-11-21,20.71,25.77,32.03,19.4,71.0
2010-11-28,21.96,26.09,31.77,47.1,74.14
2010-12-05,21.5,26.29,32.33,32.3,71.86
2010-12-12,20.23,22.83,26.9,82.3,85.0
2010-12-19,21.31,25.53,31.16,31.1,76.86
2010-12-26,20.26,25.03,30.21,15.9,68.29
2011-01-02,21.24,24.16,28.31,55.3,83.14
2011-01-09,21.54,24.69,29.17,109.2,84.43
2011-01-16,21.84,25.16,29.56,58.3,81.29
2011-01-23,22.06,26.77,32.9,24.2,74.29
2011-01-30,21.69,25.56,30.99,15.1,78.0
2011-02-06,22.41,26.49,31.87,13.0,75.43
2011-02-13,21.54,25.03,30.46,43.3,79.57
2011-02-20,22.04,26.6,32.29,33.8,73.71
2011-02-27,20.1,21.6,23.69,183.5,90.43
2011-03-06,20.33,23.01,26.77,90.6,85.29
2011-03-13,20.73,24.34,28.94,34.8,79.86
2011-03-20,20.43,23.81,28.19,22.2,79.57
2011-03-27,21.51,24.99,29.74,26.5,79.29
2011-04-03,19.31,23.44,28.23,26.2,77.57
2011-04-10,19.16,23.7,29.43,14.8,77.71
2011-04-17,20.51,25.37,30.8,0.7,70.0
2011-04-24,18.06,21.36,26.01,24.0,76.71
2011-05-01,15.77,20.67,26.37,8.3,74.43
2011-05-08,17.4,21.93,27.51,0.0,73.57
2011-05-15,13.73,18.11,23.8,1.6,72.43
2011-05-22,15.06,19.9,25.8,0.0,67.57
2011-05-29,12.0,17.63,24.71,0.0,66.14
2011-06-05,11.93,16.2,21.8,48.5,72.71
2011-06-12,12.4,18.14,25.0,0.0,71.14
2011-06-19,15.61,20.84,27.64,0.0,71.57
2011-06-26,11.69,17.27,23.73,1.2,66.43
2011-07-03,12.96,17.5,23.41,0.2,70.0
2011-07-10,15.0,21.71,29.63,0.0,54.43
2011-07-17,17.33,21.93,28.17,4.0,63.86
2011-07-24,16.49,21.57,27.89,1.2,58.0
2011-07-31,12.31,17.33,23.71,11.6,62.14
2011-08-07,16.61,22.83,30.0,0.2,57.57
2011-08-14,17.01,23.64,30.8,3.0,49.14
2011-08-21,15.17,20.31,26.94,2.8,66.43
2011-08-28,14.7,21.51,28.96,8.0,49.57
2011-09-04,16.54,23.8,32.17,0.7,44.14
2011-09-11,16.03,22.37,29.97,1.3,57.14
2011-09-18,16.99,23.54,30.91,1.0,51.71
2011-09-25,16.69,24.84,33.37,0.3,47.0
2011-10-02,18.49,24.11,30.64,12.4,62.71
2011-10-09,20.2,23.51,28.17,121.6,81.57
2011-10-16,16.19,21.24,26.87,24.7,67.71
2011-10-23,19.1,24.61,30.67,12.2,69.0
2011-10-30,15.07,20.7,26.76,23.5,63.86
2011-11-06,20.14,25.1,30.66,9.1,64.57
2011-11-13,17.31,21.13,25.74,122.3,75.71
2011-11-20,18.79,24.5,30.09,32.4,66.14
2011-11-27,19.21,24.13,29.87,16.6,73.57
2011-12-04,20.04,24.09,29.3,46.6,77.43
2011-12-11,19.56,25.53,31.61,12.5,63.57
2011-12-18,20.89,26.36,32.21,5.1,67.29
2011-12-25,20.57,24.7,30.0,36.8,72.71
2012-01-01,20.14,24.5,30.33,55.1,75.14
2012-01-08,19.84,22.76,26.87,78.0,79.57
2012-01-15,20.04,22.94,27.44,130.2,85.57
2012-01-22,19.5,22.76,27.07,89.0,82.57
2012-01-29,19.53,25.69,31.57,0.7,62.57
2012-02-05,22.49,27.74,33.66,17.7,63.43
2012-02-12,21.09,25.36,30.81,38.2,75.57
2012-02-19,22.0,25.39,30.33,37.4,79.29
2012-02-26,22.21,26.77,32.69,27.9,74.14
2012-03-04,20.87,26.03,31.71,3.4,65.86
2012-03-11,20.59,24.57,29.56,26.7,77.0
2012-03-18,19.41,24.21,29.61,15.6,71.57
2012-03-25,19.76,24.5,30.4,5.7,71.57
2012-04-01,19.64,25.4,32.06,6.2,66.29
2012-04-08,21.09,25.51,31.3,6.1,67.29
2012-04-15,19.79,23.71,29.01,26.8,70.86
2012-04-22,18.66,22.13,26.8,35.3,76.71
2012-04-29,14.59,18.89,23.57,19.8,75.14
2012-05-06,16.43,20.96,26.3,7.9,71.57
2012-05-13,15.9,18.83,22.93,9.4,77.14
2012-05-20,15.67,19.97,25.27,41.1,74.71
2012-05-27,17.1,21.5,26.6,3.7,79.29
2012-06-03,16.01,18.91,22.54,52.0,83.71
2012-06-10,16.49,20.49,25.87,17.0,81.43
2012-06-17,15.93,19.1,22.59,93.5,81.29
2012-06-24,14.4,19.43,25.74,0.0,74.86
2012-07-01,15.94,20.94,27.36,0.4,68.86
2012-07-08,12.41,17.21,22.67,6.5,71.86
