data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,21.54,25.04,30.14,43.8,77.86
2010-01-10,20.81,24.31,28.91,38.1,80.57
2010-01-17,20.47,23.47,27.6,81.3,84.0
2010-01-24,19.77,22.84,27.17,78.7,84.43
2010-01-31,20.54,25.61,32.27,14.5,72.43
2010-02-07,21.23,25.33,30.81,16.5,73.43
2010-02-14,21.1,24.99,29.91,33.0,75.43
2010-02-21,20.17,24.4,29.0,15.6,75.57
2010-02-28,19.1,21.63,24.81,38.7,83.0
2010-03-07,19.01,24.8,30.67,0.6,67.43
2010-03-14,19.79,23.94,29.2,22.7,76.86
2010-03-21,20.8,24.59,30.0,28.2,78.86
2010-03-28,20.16,23.41,28.19,47.5,80.29
2010-04-04,15.64,18.76,22.5,28.5,81.0
2010-04-11,15.53,21.17,27.24,0.9,70.0
2010-04-18,17.7,23.57,29.89,1.2,65.57
2010-04-25,17.87,22.01,27.73,6.3,72.14
2010-05-02,16.46,22.27,29.03,8.9,63.0
2010-05-09,12.89,16.96,22.43,4.9,72.43
2010-05-16,13.57,18.17,23.37,14.3,73.71
2010-05-23,15.7,19.7,25.33,0.0,73.0
2010-05-30,13.99,18.37,23.43,19.5,69.14
2010-06-06,10.81,15.46,21.84,0.6,71.43
2010-06-13,10.43,17.56,26.26,0.0,56.86
2010-06-20,14.49,19.6,26.91,2.6,64.43
2010-06-27,11.59,17.91,25.97,0.0,61.71
2010-07-04,13.13,18.91,26.43,0.0,56.86
2010-07-11,15.2,18.27,22.26,50.0,79.14
2010-07-18,15.96,20.81,27.17,0.6,71.57
2010-07-25,15.06,20.0,26.09,0.1,63.57
2010-08-01,13.47,17.07,22.79,0.7,72.0
2010-08-08,13.46,19.04,25.84,0.0,60.43
2010-08-15,9.69,16.26,24.03,0.0,56.0
2010-08-22,13.31,22.27,31.54,0.0,39.29
2010-08-29,16.04,23.21,31.43,0.0,45.0
2010-09-05,14.56,19.19,25.66,9.9,67.43
2010-09-12,16.7,22.9,30.26,0.8,50.71
2010-09-19,16.87,22.26,29.07,8.4,60.43
2010-09-26,17.99,20.44,23.56,106.8,86.43
2010-10-03,16.23,19.86,24.41,44.9,78.14
2010-10-10,14.09,19.19,25.76,2.3,72.86
2010-10-17,16.03,21.19,27.66,19.6,72.43
2010-10-24,16.61,21.96,28.76,22.6,69.14
2010-10-31,18.19,22.74,28.21,51.5,70.14
2010-11-07,17.29,21.43,26.54,37.2,74.43
2010-11-14,16.49,21.47,26.96,39.6,71.86
2010-11-21,19.14,23.64,29.64,29.1,77.14
2010-11-28,20.56,24.73,30.59,39.8,75.86
2010-12-05,20.61,24.91,30.7,15.2,75.0
2010-12-12,19.77,22.54,26.73,102.6,84.14
2010-12-19,20.23,24.26,29.77,55.0,79.71
2010-12-26,18.79,22.84,27.87,25.5,77.29
2011-01-02,20.6,22.83,26.73,171.7,86.86
2011-01-09,20.64,23.59,28.2,101.3,85.86
2011-01-16,20.77,24.23,28.86,31.4,81.71
2011-01-23,20.84,25.87,31.83,13.1,73.43
2011-01-30,20.59,24.61,29.54,10.5,78.57
2011-02-06,20.4,25.69,31.59,6.2,72.0
2011-02-13,20.41,24.07,29.5,32.0,79.29
2011-02-20,20.64,25.11,31.29,28.5,77.43
2011-02-27,19.4,21.13,23.93,122.6,89.29
2011-03-06,19.31,22.79,27.29,29.0,80.43
2011-03-13,20.03,23.09,27.33,26.2,82.86
2011-03-20,19.51,23.14,27.47,2.1,78.57
2011-03-27,20.04,23.7,28.93,32.6,80.86
2011-04-03,17.87,21.39,26.4,33.6,81.86
2011-04-10,18.07,22.57,28.29,24.7,79.86
2011-04-17,19.13,23.67,29.0,1.4,74.57
2011-04-24,16.89,19.97,24.26,26.1,81.0
2011-05-01,14.84,19.36,24.87,6.6,79.29
2011-05-08,15.83,20.19,25.5,0.1,78.57
2011-05-15,12.97,16.97,22.43,8.3,77.57
2011-05-22,12.74,18.04,23.99,0.0,72.29
2011-05-29,11.17,16.34,23.03,0.1,72.57
2011-06-05,10.2,14.69,20.3,43.1,74.29
2011-06-12,10.7,16.13,23.01,0.0,73.71
2011-06-19,13.27,18.76,25.8,0.0,74.43
2011-06-26,11.1,16.51,22.59,9.5,71.71
2011-07-03,11.47,15.5,20.99,0.1,74.29
2011-07-10,12.34,19.41,27.6,0.0,61.71
2011-07-17,15.14,19.89,26.07,9.5,68.0
2011-07-24,14.01,19.5,25.93,1.2,61.57
2011-07-31,11.8,16.77,22.5,11.4,67.29
2011-08-07,14.69,20.73,27.93,4.0,62.57
2011-08-14,15.19,21.46,28.53,5.3,54.29
2011-08-21,14.27,18.34,23.71,2.7,74.57
2011-08-28,12.86,19.24,26.74,7.9,57.43
2011-09-04,14.69,21.84,30.34,0.0,48.57
2011-09-11,15.09,20.19,26.94,1.6,66.43
2011-09-18,15.43,21.53,29.26,3.1,57.29
2011-09-25,14.64,22.3,30.73,0.0,55.71
2011-10-02,17.1,22.53,29.7,20.1,64.86
2011-10-09,19.11,22.29,26.36,62.9,79.43
2011-10-16,14.79,18.94,24.17,33.0,72.57
2011-10-23,17.99,23.66,29.73,14.0,66.29
2011-10-30,13.49,18.57,24.74,16.4,67.86
2011-11-06,18.36,23.81,30.31,15.1,60.43
2011-11-13,16.03,19.23,23.34,133.1,81.71
2011-11-20,17.64,22.84,28.56,35.9,71.0
2011-11-27,17.91,21.61,26.96,64.3,79.71
2011-12-04,19.19,22.39,26.91,80.1,81.29
2011-12-11,18.43,23.66,29.39,42.0,71.86
2011-12-18,19.27,24.63,30.64,7.2,67.43
2011-12-25,18.8,22.2,26.87,46.9,78.71
2012-01-01,17.94,22.7,28.2,46.9,76.29
2012-01-08,18.99,22.0,25.57,43.6,78.43
2012-01-15,19.04,22.03,26.44,84.4,84.0
2012-01-22,18.26,21.51,25.86,70.3,82.43
2012-01-29,17.4,23.64,29.44,0.2,69.43
2012-02-05,20.33,25.66,31.53,47.5,70.0
2012-02-12,19.8,23.84,29.23,33.7,78.0
2012-02-19,20.4,24.03,28.86,30.3,79.71
2012-02-26,20.61,25.43,31.43,16.4,74.57
2012-03-04,18.81,23.96,29.99,8.7,72.86
2012-03-11,18.61,22.97,28.49,20.5,77.71
2012-03-18,18.14,22.69,28.2,35.8,75.29
2012-03-25,18.51,22.54,27.67,18.9,77.71
2012-04-01,18.37,23.47,29.57,9.5,74.57
2012-04-08,19.37,23.79,29.4,10.9,73.71
2012-04-15,17.96,22.09,27.29,19.0,73.86
2012-04-22,17.41,21.07,26.07,46.1,79.14
2012-04-29,13.77,17.73,22.31,56.0,80.43
2012-05-06,14.97,19.39,24.51,6.1,74.57
2012-05-13,14.61,17.34,21.27,10.9,81.43
2012-05-20,14.1,18.69,24.09,11.4,75.0
2012-05-27,15.47,20.13,25.64,1.6,77.14
2012-06-03,15.6,18.2,21.21,90.0,84.14
2012-06-10,15.21,19.0,24.1,2.7,81.14
2012-06-17,15.2,18.2,21.33,110.8,80.71
2012-06-24,12.81,17.77,23.97,0.0,76.43
2012-07-01,13.29,18.89,25.49,0.8,69.71
2012-07-08,11.61,16.09,21.13,12.5,71.86
2012-07-15,9.91,14.46,20.03,51.1,77.71
2012-07-22,14.87,20.54,27.44,0.0,66.71
2012-07-29,14.2,19.07,24.9,0.0,71.0
2012-08-05,12.9,18.54,25.36,0.4,66.43
2012-08-12,14.74,20.01,26.39,0.0,60.0
2012-08-19,13.93,20.29,27.27,0.0,51.71
2012-08-26,13.7,19.4,26.5,1.7,64.86
2012-09-02,14.9,21.87,29.81,0.0,56.86
2012-09-09,17.4,23.64,31.04,0.0,56.14
2012-09-16,18.51,23.61,29.21,49.8,60.0
2012-09-23,12.14,16.76,22.33,40.7,71.43
2012-09-30,17.6,23.71,31.31,6.6,63.29
2012-10-07,17.77,22.39,27.71,22.8,64.86
2012-10-14,16.47,21.51,27.87,16.9,68.43
2012-10-21,19.91,24.86,31.01,26.5,73.29
2012-10-28,20.31,25.44,32.13,16.2,67.86
2012-11-04,18.87,22.91,28.34,41.1,73.71
2012-11-11,16.99,20.89,25.74,26.3,76.43
2012-11-18,17.36,23.56,30.23,10.5,64.14
2012-11-25,18.89,23.33,29.23,20.4,71.43
