data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,21.86,25.86,31.37,26.6,75.86
2010-01-10,21.37,24.97,29.71,46.7,79.29
2010-01-17,21.17,24.1,28.57,73.7,83.43
2010-01-24,20.26,23.2,27.73,110.1,85.71
2010-01-31,21.36,26.44,33.29,15.7,71.0
2010-02-07,22.07,26.17,31.7,13.5,71.14
2010-02-14,21.81,25.71,30.87,42.1,73.29
2010-02-21,21.14,25.36,30.53,21.2,74.0
2010-02-28,19.99,22.67,26.13,35.6,81.0
2010-03-07,19.74,25.64,32.13,0.7,66.29
2010-03-14,20.26,24.74,30.41,30.8,75.43
2010-03-21,21.5,25.34,31.0,33.6,77.71
2010-03-28,20.8,24.21,29.09,51.8,79.29
2010-04-04,15.94,19.54,23.73,25.8,78.71
2010-04-11,15.77,21.84,28.34,0.3,67.29
2010-04-18,18.63,24.43,31.1,1.0,64.29
2010-04-25,18.57,23.06,29.0,2.5,68.86
2010-05-02,16.9,22.96,29.89,8.4,62.0
2010-05-09,12.96,17.59,23.54,6.8,70.14
2010-05-16,14.04,18.84,24.37,11.7,70.57
2010-05-23,15.71,20.36,26.59,0.5,70.86
2010-05-30,14.73,19.23,24.6,23.3,66.71
2010-06-06,10.84,16.06,22.83,0.6,69.14
2010-06-13,10.6,17.81,27.1,0.0,58.43
2010-06-20,14.74,20.4,28.01,1.7,62.71
2010-06-27,11.34,18.0,26.7,0.0,59.57
2010-07-04,13.0,19.19,27.34,0.0,55.0
2010-07-11,15.93,19.36,23.93,44.3,76.14
2010-07-18,16.39,21.53,28.24,0.0,69.14
2010-07-25,15.84,20.97,27.17,0.0,59.43
2010-08-01,14.16,18.23,24.99,0.1,67.0
2010-08-08,13.67,20.04,27.47,0.0,56.71
2010-08-15,10.13,17.19,25.47,0.0,50.71
2010-08-22,14.19,23.01,32.67,0.0,34.71
2010-08-29,17.04,24.26,32.6,0.0,39.86
2010-09-05,15.27,20.43,27.66,6.9,62.71
2010-09-12,17.63,24.07,31.83,0.0,47.0
2010-09-19,17.71,23.29,30.24,8.8,57.57
2010-09-26,18.77,21.07,24.47,101.9,85.29
2010-10-03,16.71,20.81,25.77,34.0,75.29
2010-10-10,14.6,20.29,27.34,6.5,70.14
2010-10-17,16.3,22.19,28.84,18.2,69.86
2010-10-24,16.99,22.74,29.64,24.8,67.57
2010-10-31,19.07,23.76,29.33,36.7,67.86
2010-11-07,18.13,22.6,28.11,44.5,71.43
2010-11-14,17.04,22.44,28.37,25.9,69.43
2010-11-21,19.64,24.57,31.0,25.7,74.57
2010-11-28,21.2,25.54,31.77,32.1,73.86
2010-12-05,21.29,25.96,32.2,11.4,71.57
2010-12-12,20.56,23.44,27.89,101.8,83.14
2010-12-19,20.74,25.0,30.71,52.6,78.43
2010-12-26,19.54,23.9,28.96,36.5,74.43
2011-01-02,21.13,23.54,27.63,145.4,86.0
2011-01-09,21.23,24.43,29.33,102.4,84.57
2011-01-16,21.34,24.9,29.73,43.2,80.57
2011-01-23,21.57,26.67,32.99,9.5,71.86
2011-01-30,21.2,25.31,30.57,10.9,78.14
2011-02-06,21.43,26.47,32.74,8.3,71.14
2011-02-13,20.9,24.69,30.31,43.9,79.14
2011-02-20,21.03,25.93,32.23,26.5,75.71
2011-02-27,20.07,21.79,24.49,137.5,88.71
2011-03-06,19.99,23.51,27.76,38.2,79.43
2011-03-13,20.76,23.93,28.51,27.1,81.43
2011-03-20,20.09,23.89,28.63,8.4,76.43
2011-03-27,20.61,24.36,29.86,48.4,80.14
2011-04-03,18.19,22.14,27.3,28.8,80.57
2011-04-10,18.5,23.21,29.2,29.8,78.86
2011-04-17,19.39,24.33,30.03,0.8,73.29
2011-04-24,17.23,20.7,25.26,35.9,79.86
2011-05-01,14.71,19.77,25.89,3.6,79.29
2011-05-08,15.93,20.74,26.5,0.0,77.57
2011-05-15,12.7,17.47,23.49,5.2,76.43
2011-05-22,13.09,18.49,25.09,0.0,71.71
2011-05-29,10.97,16.53,23.9,0.1,72.86
2011-06-05,10.6,15.2,21.23,44.8,73.57
2011-06-12,10.63,16.44,24.03,0.0,74.43
2011-06-19,13.2,19.06,26.64,0.0,74.86
2011-06-26,11.36,16.86,23.56,5.3,71.14
2011-07-03,11.91,16.31,22.3,0.0,72.29
2011-07-10,12.89,19.96,28.37,0.0,61.14
2011-07-17,15.9,20.77,27.4,5.4,65.43
2011-07-24,14.66,20.36,27.17,1.5,59.57
2011-07-31,11.79,17.21,23.49,12.8,66.71
2011-08-07,15.13,21.19,28.97,1.0,63.0
2011-08-14,15.79,22.3,29.63,6.0,50.86
2011-08-21,14.81,19.53,25.39,1.7,70.43
2011-08-28,13.57,20.34,28.11,5.8,53.29
2011-09-04,14.9,22.77,31.84,0.0,44.57
2011-09-11,15.67,21.46,28.44,2.3,61.29
2011-09-18,16.29,22.63,30.3,1.9,52.29
2011-09-25,15.31,23.59,32.2,0.0,51.14
2011-10-02,18.21,23.81,31.06,20.0,60.57
2011-10-09,20.0,23.33,27.9,63.7,77.57
2011-10-16,15.76,20.2,25.64,35.4,68.86
2011-10-23,18.67,24.37,30.7,20.5,66.0
2011-10-30,14.23,19.71,25.97,15.9,64.71
2011-11-06,19.33,24.67,30.94,12.3,59.0
2011-11-13,16.83,20.26,24.53,135.3,79.14
2011-11-20,18.17,23.69,29.37,33.5,68.57
2011-11-27,18.64,22.7,28.56,57.8,77.14
2011-12-04,19.66,23.23,28.03,76.7,79.86
2011-12-11,19.03,24.46,30.61,55.9,70.43
2011-12-18,20.26,25.57,31.56,12.6,67.0
2011-12-25,19.71,23.36,28.44,30.0,76.0
2012-01-01,18.67,23.53,29.2,58.7,75.14
2012-01-08,19.57,22.63,26.41,60.3,77.43
2012-01-15,19.8,22.7,27.13,87.7,84.0
2012-01-22,19.13,22.54,27.34,50.5,80.43
2012-01-29,17.86,24.34,30.36,2.3,68.0
2012-02-05,21.27,26.59,32.7,46.5,67.29
