data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,21.66,25.67,31.17,26.6,75.86
2010-01-10,21.17,24.77,29.51,46.7,79.14
2010-01-17,20.97,23.93,28.37,73.7,83.43
2010-01-24,20.06,23.0,27.53,110.1,85.71
2010-01-31,21.16,26.24,33.09,15.7,71.0
2010-02-07,21.87,25.97,31.5,13.5,71.14
2010-02-14,21.61,25.51,30.67,42.1,73.29
2010-02-21,20.94,25.16,30.33,21.2,74.0
2010-02-28,19.79,22.47,25.93,35.6,81.0
2010-03-07,19.54,25.44,31.93,0.7,66.29
2010-03-14,20.06,24.54,30.21,30.8,75.43
2010-03-21,21.3,25.14,30.8,33.6,77.71
2010-03-28,20.6,24.01,28.89,51.8,79.29
2010-04-04,15.74,19.34,23.53,25.8,78.71
2010-04-11,15.57,21.64,28.14,0.3,67.29
2010-04-18,18.43,24.23,30.9,1.0,64.29
2010-04-25,18.37,22.86,28.8,2.5,68.71
2010-05-02,16.7,22.77,29.69,8.4,62.0
2010-05-09,12.76,17.39,23.34,6.8,70.14
2010-05-16,13.84,18.64,24.17,11.7,70.57
2010-05-23,15.51,20.16,26.39,0.5,70.71
2010-05-30,14.53,19.03,24.4,23.3,66.57
2010-06-06,10.64,15.86,22.63,0.6,69.0
2010-06-13,10.4,17.61,26.9,0.0,58.29
2010-06-20,14.54,20.23,27.81,1.7,62.71
2010-06-27,11.14,17.8,26.5,0.0,59.57
2010-07-04,12.8,18.99,27.14,0.0,55.0
2010-07-11,15.73,19.16,23.73,44.3,76.0
2010-07-18,16.19,21.33,28.04,0.0,69.14
2010-07-25,15.64,20.77,26.97,0.0,59.43
2010-08-01,13.96,18.04,24.79,0.1,67.0
2010-08-08,13.47,19.84,27.27,0.0,56.71
2010-08-15,9.93,17.0,25.27,0.0,50.71
2010-08-22,13.99,22.81,32.47,0.0,34.57
2010-08-29,16.84,24.06,32.4,0.0,39.86
2010-09-05,15.07,20.23,27.46,6.9,62.71
2010-09-12,17.43,23.87,31.63,0.0,47.0
2010-09-19,17.51,23.09,30.04,8.8,57.57
2010-09-26,18.57,20.89,24.27,101.9,85.29
2010-10-03,16.51,20.61,25.57,34.0,75.29
2010-10-10,14.4,20.09,27.14,6.5,70.14
2010-10-17,16.1,21.99,28.64,18.2,69.86
2010-10-24,16.79,22.56,29.44,24.8,67.57
2010-10-31,18.87,23.56,29.13,36.7,67.57
2010-11-07,17.93,22.4,27.91,44.5,71.29
2010-11-14,16.84,22.24,28.17,25.9,69.43
2010-11-21,19.44,24.37,30.8,25.7,74.57
2010-11-28,21.0,25.34,31.57,32.1,73.86
2010-12-05,21.09,25.77,32.0,11.4,71.57
2010-12-12,20.36,23.24,27.69,101.8,83.14
2010-12-19,20.54,24.81,30.51,52.6,78.43
2010-12-26,19.34,23.71,28.76,36.5,74.43
2011-01-02,20.93,23.34,27.43,145.4,86.0
2011-01-09,21.03,24.23,29.13,102.4,84.57
2011-01-16,21.14,24.7,29.53,43.2,80.57
2011-01-23,21.37,26.47,32.79,9.5,71.86
2011-01-30,21.0,25.11,30.37,10.9,78.14
2011-02-06,21.23,26.27,32.54,8.3,71.14
2011-02-13,20.7,24.5,30.11,43.9,79.14
2011-02-20,20.83,25.73,32.03,26.5,75.71
2011-02-27,19.87,21.59,24.29,137.5,88.57
2011-03-06,19.79,23.33,27.56,38.2,79.43
2011-03-13,20.56,23.73,28.31,27.1,81.29
2011-03-20,19.89,23.7,28.43,8.4,76.43
2011-03-27,20.41,24.17,29.66,48.4,80.14
2011-04-03,17.99,21.94,27.1,28.8,80.57
2011-04-10,18.3,23.01,29.0,29.8,78.86
2011-04-17,19.19,24.13,29.83,0.8,73.29
2011-04-24,17.03,20.5,25.06,35.9,79.86
2011-05-01,14.51,19.57,25.69,3.6,79.29
2011-05-08,15.73,20.54,26.3,0.0,77.57
2011-05-15,12.5,17.27,23.29,5.2,76.29
2011-05-22,12.89,18.29,24.89,0.0,71.71
2011-05-29,10.77,16.33,23.7,0.1,72.86
2011-06-05,10.4,15.0,21.03,44.8,73.57
2011-06-12,10.43,16.26,23.83,0.0,74.43
2011-06-19,13.0,18.86,26.44,0.0,74.86
2011-06-26,11.16,16.69,23.36,5.3,71.14
2011-07-03,11.71,16.13,22.1,0.0,72.29
2011-07-10,12.69,19.76,28.17,0.0,61.14
2011-07-17,15.7,20.57,27.2,5.4,65.43
2011-07-24,14.46,20.17,26.97,1.5,59.57
2011-07-31,11.59,17.01,23.29,12.8,66.71
2011-08-07,14.93,20.99,28.77,1.0,63.0
2011-08-14,15.59,22.11,29.43,6.0,50.86
2011-08-21,14.61,19.33,25.19,1.7,70.29
2011-08-28,13.37,20.14,27.91,5.8,53.29
