data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,21.64,25.29,30.6,40.4,78.14
2010-01-10,21.0,24.39,28.97,48.2,81.14
2010-01-17,20.63,23.63,28.01,85.6,84.71
2010-01-24,19.89,22.89,27.4,97.2,85.86
2010-01-31,20.73,25.9,32.63,13.9,73.0
2010-02-07,21.63,25.64,31.06,16.9,73.57
2010-02-14,21.41,25.23,30.24,31.6,75.29
2010-02-21,20.6,24.8,29.69,22.6,75.0
2010-02-28,19.46,22.01,25.43,33.7,81.43
2010-03-07,19.14,25.09,31.27,0.0,67.71
2010-03-14,20.07,24.27,29.67,25.4,76.29
2010-03-21,20.99,24.81,30.33,28.8,79.14
2010-03-28,20.33,23.6,28.53,46.6,80.57
2010-04-04,15.8,19.01,22.91,22.7,79.86
2010-04-11,15.73,21.36,27.57,0.9,69.86
2010-04-18,17.89,23.73,30.21,1.9,65.71
2010-04-25,18.01,22.26,28.17,5.2,71.0
2010-05-02,16.63,22.46,29.39,11.3,63.71
2010-05-09,12.99,17.13,22.69,4.5,71.71
2010-05-16,13.77,18.37,23.63,13.1,72.86
2010-05-23,15.89,19.91,25.73,0.1,72.57
2010-05-30,14.21,18.69,23.96,18.2,68.14
2010-06-06,10.59,15.57,22.16,0.5,69.86
2010-06-13,10.6,17.64,26.67,0.0,57.57
2010-06-20,14.56,19.87,27.3,2.6,63.86
2010-06-27,11.61,17.99,26.36,0.0,61.86
2010-07-04,13.13,19.13,26.97,0.0,56.43
2010-07-11,15.3,18.43,22.51,45.7,77.86
2010-07-18,16.24,21.09,27.57,0.3,71.0
2010-07-25,15.49,20.4,26.66,0.1,62.57
2010-08-01,13.76,17.3,23.2,0.2,69.71
2010-08-08,13.41,19.27,26.51,0.0,59.0
2010-08-15,10.04,16.66,24.67,0.0,53.86
2010-08-22,13.83,22.67,32.27,0.0,37.29
2010-08-29,16.29,23.63,32.1,0.0,43.0
2010-09-05,14.76,19.41,26.09,9.7,66.14
2010-09-12,16.83,23.21,30.81,0.8,50.0
2010-09-19,17.14,22.49,29.4,6.5,59.86
2010-09-26,18.19,20.64,23.81,96.1,86.43
2010-10-03,16.21,20.09,24.81,31.7,76.71
2010-10-10,14.16,19.44,26.23,4.8,72.14
2010-10-17,15.9,21.36,28.09,20.7,71.57
2010-10-24,16.73,22.14,29.03,21.9,69.0
2010-10-31,18.44,23.19,28.99,48.0,68.86
2010-11-07,17.44,21.8,26.97,35.3,73.0
2010-11-14,16.6,21.74,27.54,35.1,71.43
2010-11-21,19.43,24.07,30.29,26.6,75.71
2010-11-28,20.84,25.04,31.21,36.7,75.43
2010-12-05,20.76,25.3,31.46,13.2,73.29
2010-12-12,19.99,22.73,27.04,100.3,83.57
2010-12-19,20.37,24.5,30.24,49.0,79.71
2010-12-26,18.91,23.17,28.21,27.4,75.29
2011-01-02,20.76,23.13,27.11,153.5,86.71
2011-01-09,20.9,23.97,28.79,100.1,85.71
2011-01-16,20.97,24.41,29.14,39.3,82.86
2011-01-23,21.16,26.13,32.26,11.2,74.43
2011-01-30,20.91,24.81,29.93,10.8,79.43
2011-02-06,21.01,25.96,32.09,7.8,73.14
2011-02-13,20.73,24.33,29.83,36.7,80.0
2011-02-20,20.79,25.44,31.64,29.5,77.29
2011-02-27,19.59,21.34,24.13,118.7,88.43
2011-03-06,19.59,23.06,27.44,33.2,79.43
2011-03-13,20.27,23.4,27.84,26.9,81.86
2011-03-20,19.71,23.39,27.89,6.3,78.29
2011-03-27,20.27,23.87,29.13,34.1,80.71
2011-04-03,17.99,21.64,26.77,27.9,81.43
2011-04-10,18.27,22.79,28.63,21.3,80.0
2011-04-17,19.21,23.84,29.44,0.8,74.71
2011-04-24,17.04,20.2,24.6,33.8,80.86
2011-05-01,14.54,19.37,25.2,6.3,79.71
2011-05-08,15.83,20.33,25.8,0.2,78.43
2011-05-15,12.84,17.07,22.7,7.0,77.57
2011-05-22,12.93,18.26,24.37,0.0,72.57
2011-05-29,10.99,16.2,23.24,0.2,73.0
2011-06-05,10.17,14.73,20.57,42.8,74.14
2011-06-12,10.74,16.21,23.4,0.0,74.57
2011-06-19,13.36,18.86,26.07,0.0,75.57
2011-06-26,10.9,16.49,22.9,7.0,71.71
2011-07-03,11.41,15.54,21.27,0.2,73.86
2011-07-10,12.63,19.69,28.14,0.0,61.0
2011-07-17,15.51,20.19,26.56,9.4,67.29
2011-07-24,14.29,19.87,26.66,1.4,60.43
2011-07-31,11.61,16.81,22.81,8.4,66.57
2011-08-07,15.0,20.93,28.56,2.8,62.71
2011-08-14,15.36,21.87,29.27,4.1,53.14
2011-08-21,14.3,18.67,24.37,1.4,72.43
2011-08-28,13.2,19.77,27.4,8.8,54.86
2011-09-04,14.71,22.1,31.03,0.0,47.86
2011-09-11,15.33,20.64,27.76,1.3,63.57
2011-09-18,15.69,22.0,29.87,2.3,55.43
2011-09-25,14.74,22.69,31.47,0.0,54.0
2011-10-02,17.5,22.94,30.27,21.4,63.86
2011-10-09,19.3,22.6,27.04,65.4,79.14
2011-10-16,15.01,19.31,24.67,27.4,71.14
2011-10-23,18.17,23.93,30.33,17.6,66.0
2011-10-30,13.66,18.99,25.39,15.2,66.43
2011-11-06,18.67,24.3,30.97,14.9,58.0
2011-11-13,16.11,19.49,23.67,132.7,80.29
2011-11-20,17.76,23.1,28.97,33.6,70.29
2011-11-27,18.14,21.97,27.49,62.8,78.43
2011-12-04,19.21,22.66,27.33,77.1,80.71
2011-12-11,18.46,23.94,29.93,35.4,71.86
2011-12-18,19.61,25.07,31.19,4.1,66.71
2011-12-25,19.19,22.76,27.7,39.1,76.14
2012-01-01,18.21,23.04,28.84,50.8,75.86
2012-01-08,19.17,22.29,26.04,58.3,78.0
2012-01-15,19.36,22.3,26.79,93.9,84.43
2012-01-22,18.5,21.84,26.17,68.7,82.14
2012-01-29,17.44,23.83,29.76,1.5,70.0
2012-02-05,20.74,26.0,31.94,48.3,69.57
2012-02-12,19.99,24.07,29.51,42.5,78.14
2012-02-19,20.69,24.44,29.5,24.9,79.71
2012-02-26,20.67,25.7,31.8,20.3,74.57
2012-03-04,18.89,24.26,30.44,8.5,72.0
2012-03-11,18.94,23.37,28.96,26.1,76.86
2012-03-18,18.41,23.07,28.71,29.2,74.29
2012-03-25,18.71,22.83,28.13,21.7,77.0
