data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,22.29,26.17,31.69,28.6,76.29
2010-01-10,21.9,25.16,29.83,39.9,80.14
2010-01-17,21.63,24.37,28.9,88.7,84.14
2010-01-24,20.59,23.43,27.6,118.0,86.71
2010-01-31,21.57,26.66,33.59,17.0,72.43
2010-02-07,22.27,26.47,31.83,19.2,72.0
2010-02-14,21.89,25.94,30.53,59.7,73.71
2010-02-21,21.33,25.71,30.76,23.9,74.0
2010-02-28,20.29,22.94,26.57,42.6,83.0
2010-03-07,20.7,26.23,32.43,0.3,65.71
2010-03-14,20.66,25.13,30.86,34.2,76.14
2010-03-21,21.7,25.56,31.4,36.3,79.0
2010-03-28,21.04,24.53,29.36,50.8,80.43
2010-04-04,16.14,19.76,24.11,20.8,79.71
2010-04-11,15.66,22.01,28.57,0.2,67.43
2010-04-18,19.23,25.03,31.7,0.4,64.0
2010-04-25,18.74,23.59,29.44,1.6,67.29
2010-05-02,18.07,23.76,30.31,9.1,59.57
2010-05-09,13.14,17.8,23.99,7.2,69.57
2010-05-16,14.64,19.4,24.84,8.3,68.71
2010-05-23,15.57,20.5,26.97,0.8,71.57
2010-05-30,14.9,19.59,25.01,17.5,66.43
2010-06-06,11.73,16.59,23.31,2.2,68.14
2010-06-13,10.97,18.44,27.67,0.0,56.71
2010-06-20,15.56,21.11,28.66,0.7,60.29
2010-06-27,12.04,18.53,27.16,0.0,56.57
2010-07-04,13.11,19.53,27.86,0.0,53.29
2010-07-11,16.03,19.63,24.57,43.1,77.14
2010-07-18,16.5,21.74,28.59,0.0,69.14
2010-07-25,15.96,21.19,27.56,0.0,58.71
2010-08-01,13.9,18.59,25.81,0.0,67.0
2010-08-08,14.79,20.61,27.99,0.0,55.57
2010-08-15,10.14,17.53,25.89,0.0,49.86
2010-08-22,15.04,23.86,33.1,0.0,31.71
2010-08-29,17.23,24.76,32.91,0.0,39.14
2010-09-05,15.26,20.77,27.94,7.2,63.0
2010-09-12,18.24,24.61,32.36,0.2,46.0
2010-09-19,18.1,23.56,30.44,17.3,58.71
2010-09-26,18.87,21.21,24.69,94.4,86.57
2010-10-03,16.74,21.24,26.3,27.7,76.14
2010-10-10,14.7,20.54,27.61,12.5,71.14
2010-10-17,16.47,22.4,29.21,21.2,71.86
2010-10-24,17.54,23.27,29.91,23.6,67.29
2010-10-31,19.29,24.14,29.63,33.4,67.71
2010-11-07,18.26,23.11,28.74,41.3,71.71
2010-11-14,17.49,23.03,28.8,16.2,68.43
2010-11-21,20.33,25.16,31.34,31.8,74.29
2010-11-28,21.64,26.03,32.1,40.2,73.43
2010-12-05,21.64,26.44,32.66,14.8,70.57
2010-12-12,20.87,23.8,28.21,104.4,84.0
2010-12-19,21.16,25.39,30.91,56.3,78.71
2010-12-26,19.86,24.26,29.07,32.5,74.86
2011-01-02,21.44,23.84,27.86,172.0,86.57
2011-01-09,21.53,24.76,29.44,93.2,84.86
2011-01-16,21.47,25.19,29.97,44.4,81.0
2011-01-23,21.79,26.96,33.43,11.1,72.43
2011-01-30,21.5,25.54,30.71,29.6,79.0
2011-02-06,21.87,26.64,32.83,15.9,72.71
2011-02-13,20.96,24.63,30.13,73.7,82.0
2011-02-20,21.53,26.14,32.14,49.0,77.57
2011-02-27,20.19,21.84,24.37,176.5,90.71
2011-03-06,20.06,23.4,27.34,71.2,83.57
2011-03-13,20.91,24.1,28.66,30.7,83.14
2011-03-20,20.29,24.16,28.84,7.9,77.71
2011-03-27,20.87,24.57,30.0,57.4,81.57
2011-04-03,18.79,22.59,27.71,23.3,80.57
2011-04-10,18.94,23.54,29.66,28.2,79.57
2011-04-17,19.36,24.67,30.34,1.2,73.43
2011-04-24,17.2,20.84,25.41,42.5,81.14
2011-05-01,15.27,20.21,26.11,6.2,79.86
2011-05-08,16.77,21.2,26.76,0.0,78.43
2011-05-15,12.51,17.44,23.7,8.2,78.14
2011-05-22,13.47,18.83,25.24,0.0,71.86
2011-05-29,10.87,16.77,24.11,0.0,73.57
2011-06-05,10.79,15.47,21.63,43.8,74.57
2011-06-12,10.69,16.7,24.36,0.0,75.86
2011-06-19,13.74,19.74,27.07,0.0,74.0
2011-06-26,11.89,17.29,24.06,2.1,69.71
2011-07-03,12.36,16.67,22.67,0.0,73.14
2011-07-10,13.41,20.41,28.66,0.0,60.14
2011-07-17,16.09,21.26,27.81,2.5,65.43
2011-07-24,15.06,20.73,27.51,1.5,60.0
2011-07-31,12.0,17.69,24.0,15.2,64.86
2011-08-07,15.69,21.69,29.47,0.9,62.86
2011-08-14,16.23,22.66,29.99,6.5,50.14
2011-08-21,14.67,19.64,25.97,1.5,71.57
2011-08-28,13.8,20.7,28.41,4.4,52.71
2011-09-04,15.36,23.2,32.36,0.0,43.57
2011-09-11,15.67,21.63,28.7,2.2,61.71
2011-09-18,16.53,22.96,30.47,2.4,52.71
2011-09-25,15.99,24.04,32.53,0.0,51.0
2011-10-02,18.36,24.11,31.36,13.7,60.71
2011-10-09,20.29,23.77,28.4,62.7,78.57
2011-10-16,16.04,20.67,26.01,37.4,69.43
2011-10-23,19.07,24.7,30.97,15.9,66.86
2011-10-30,14.34,20.13,26.27,16.0,65.29
2011-11-06,19.69,24.77,30.6,18.0,62.57
2011-11-13,17.04,20.56,24.96,126.8,80.29
2011-11-20,18.34,24.0,29.76,24.0,69.0
2011-11-27,18.81,23.16,28.94,56.7,78.0
2011-12-04,19.7,23.47,28.2,71.8,81.57
2011-12-11,19.23,24.77,30.81,66.5,70.71
2011-12-18,20.89,25.86,31.57,13.6,68.57
2011-12-25,20.13,23.73,28.79,32.4,77.43
2012-01-01,19.1,23.79,29.36,55.6,76.43
2012-01-08,19.91,22.81,26.53,60.9,78.0
2012-01-15,20.23,23.0,27.79,105.2,84.71
2012-01-22,19.53,22.97,27.69,42.7,81.0
2012-01-29,18.17,24.61,30.57,1.7,68.43
2012-02-05,22.11,27.31,33.21,54.4,64.43
2012-02-12,20.24,24.76,30.36,30.5,77.0
2012-02-19,21.46,25.34,30.29,48.1,77.86
2012-02-26,21.89,26.6,32.71,24.8,73.29
2012-03-04,19.59,25.3,31.47,7.1,69.43
2012-03-11,20.29,24.4,29.8,33.4,75.86
2012-03-18,19.24,24.13,29.63,37.2,72.43
