data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,22.16,26.03,31.57,39.2,77.43
2010-01-10,21.7,24.99,29.61,46.9,80.14
2010-01-17,21.44,24.39,29.19,93.5,84.43
2010-01-24,20.4,23.26,27.47,133.9,87.29
2010-01-31,21.0,26.43,33.51,20.3,73.86
2010-02-07,22.01,26.31,31.63,23.6,73.86
2010-02-14,21.54,25.84,30.76,34.4,74.57
2010-02-21,21.24,25.66,30.79,24.0,73.43
2010-02-28,20.07,22.89,26.67,35.3,80.43
2010-03-07,19.87,26.04,32.34,0.2,66.0
2010-03-14,20.49,25.0,30.66,19.8,75.86
2010-03-21,21.24,25.26,31.04,32.2,80.43
2010-03-28,20.73,24.24,29.31,44.7,80.86
2010-04-04,16.06,19.51,23.83,15.8,79.43
2010-04-11,15.5,21.71,28.43,0.1,69.57
2010-04-18,18.21,24.31,31.26,4.6,66.43
2010-04-25,18.36,22.97,28.96,0.5,69.86
2010-05-02,16.76,22.97,29.9,11.9,64.57
2010-05-09,12.96,17.41,23.31,3.9,72.0
2010-05-16,14.34,18.9,24.13,12.5,71.43
2010-05-23,15.77,20.21,26.34,1.4,73.14
2010-05-30,14.56,19.2,24.66,19.4,67.86
2010-06-06,11.0,15.99,22.5,2.8,69.29
2010-06-13,10.11,17.77,27.06,0.0,62.0
2010-06-20,14.31,20.13,27.51,1.5,65.14
2010-06-27,11.26,17.91,26.59,0.0,64.0
2010-07-04,12.5,19.09,27.5,0.0,58.71
2010-07-11,15.47,18.94,23.27,37.5,77.57
2010-07-18,16.23,21.4,28.23,0.0,71.43
2010-07-25,15.56,21.01,27.46,0.0,61.0
2010-08-01,13.4,17.76,24.46,0.0,68.29
2010-08-08,13.64,19.81,27.47,0.0,58.86
2010-08-15,9.7,17.23,25.54,0.0,52.86
2010-08-22,13.17,23.16,33.03,0.0,36.57
2010-08-29,15.79,24.14,33.03,0.0,41.86
2010-09-05,14.9,20.2,27.36,7.3,64.86
2010-09-12,17.59,24.1,31.99,0.0,47.71
2010-09-19,17.53,23.19,30.26,8.1,60.14
2010-09-26,18.41,20.99,24.36,89.3,86.29
2010-10-03,16.4,20.83,25.89,16.9,74.86
2010-10-10,14.39,20.23,27.59,8.7,70.71
2010-10-17,15.91,22.0,28.99,18.8,71.0
2010-10-24,17.14,22.89,29.84,20.0,67.14
2010-10-31,18.87,24.2,30.43,27.4,65.43
2010-11-07,18.06,23.1,28.83,24.4,68.86
2010-11-14,17.27,22.93,28.89,22.6,67.0
2010-11-21,20.41,25.6,32.39,16.5,69.29
2010-11-28,21.71,26.4,33.11,35.1,70.14
2010-12-05,21.46,26.46,33.01,16.0,68.57
2010-12-12,20.5,23.36,27.71,91.6,83.29
2010-12-19,20.94,25.31,31.13,43.2,79.14
2010-12-26,19.53,24.2,29.29,29.5,72.14
2011-01-02,21.4,23.99,28.04,188.1,85.14
2011-01-09,21.56,24.87,29.8,59.9,83.29
