data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,22.7,26.47,30.79,36.3,78.14
2010-01-10,21.5,23.51,26.89,120.4,88.29
2010-01-17,21.87,25.04,30.13,61.7,83.0
2010-01-24,20.84,24.13,28.8,94.6,84.71
2010-01-31,22.61,27.89,33.51,0.6,66.71
2010-02-07,21.74,25.11,29.71,61.1,81.43
2010-02-14,21.47,24.31,28.43,45.0,84.29
2010-02-21,22.03,26.13,31.1,15.2,75.14
2010-02-28,20.54,24.4,29.31,5.9,75.0
2010-03-07,19.87,26.43,32.93,0.6,62.43
2010-03-14,21.07,25.36,30.39,33.8,76.29
2010-03-21,21.74,24.74,28.86,43.8,83.43
2010-03-28,20.99,23.94,28.19,45.4,84.29
2010-04-04,16.09,20.51,25.67,7.9,74.57
2010-04-11,17.36,22.7,28.64,0.0,65.14
2010-04-18,20.3,25.49,32.03,0.0,66.29
2010-04-25,19.43,23.59,29.2,0.9,72.0
2010-05-02,17.7,22.5,28.44,16.7,71.0
2010-05-09,12.49,16.76,22.24,3.9,75.43
2010-05-16,13.41,17.91,23.01,7.2,74.57
2010-05-23,15.57,19.5,25.11,18.1,77.71
2010-05-30,13.79,17.39,22.31,12.9,77.29
2010-06-06,11.81,16.34,22.49,2.7,72.29
2010-06-13,14.71,20.16,27.2,0.0,63.14
2010-06-20,17.47,22.14,28.26,0.0,66.57
2010-06-27,15.21,20.21,27.3,0.0,60.29
2010-07-04,16.19,21.39,28.14,0.0,57.57
2010-07-11,13.51,16.96,22.01,39.1,76.71
2010-07-18,16.5,21.29,27.11,0.0,72.43
2010-07-25,16.66,21.57,28.26,0.0,60.29
2010-08-01,13.39,17.39,23.37,2.3,71.86
2010-08-08,13.93,20.17,27.44,0.0,58.71
2010-08-15,11.56,18.26,26.17,0.0,52.29
2010-08-22,18.24,25.07,33.54,0.0,37.0
2010-08-29,19.61,25.89,33.21,0.0,40.43
2010-09-05,15.81,21.91,29.01,0.1,53.14
2010-09-12,19.63,25.3,31.99,0.2,46.57
2010-09-19,19.24,25.07,31.64,5.9,52.0
2010-09-26,18.69,20.97,23.99,222.1,84.43
2010-10-03,16.34,21.33,26.84,29.5,74.29
2010-10-10,16.13,21.16,27.27,17.7,68.0
2010-10-17,17.44,22.93,29.37,18.8,69.71
2010-10-24,18.07,24.07,30.26,12.0,67.0
2010-10-31,18.07,23.19,28.9,46.4,66.57
2010-11-07,18.21,23.53,29.46,12.1,68.14
2010-11-14,17.7,22.79,28.11,23.0,68.43
2010-11-21,20.01,25.29,30.87,22.1,71.43
2010-11-28,22.11,25.81,30.84,45.1,78.29
2010-12-05,21.74,26.37,32.04,21.6,73.14
2010-12-12,19.67,22.7,26.56,39.9,80.43
2010-12-19,21.34,25.16,30.4,41.8,76.29
2010-12-26,20.93,25.26,29.77,29.8,72.0
2011-01-02,21.34,25.2,30.09,25.6,78.14
2011-01-09,21.91,25.49,30.1,63.8,81.14
2011-01-16,21.6,24.61,29.29,111.8,84.57
2011-01-23,22.04,26.41,32.21,20.5,77.29
