data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,21.67,26.51,31.64,18.2,73.57
2010-01-10,22.0,25.5,30.13,40.3,79.29
2010-01-17,22.09,25.0,29.33,32.4,80.14
2010-01-24,21.34,24.33,28.14,51.0,82.86
2010-01-31,22.11,27.39,33.41,11.9,69.14
2010-02-07,21.59,26.03,31.54,24.0,73.43
2010-02-14,21.93,26.04,30.94,24.4,73.57
2010-02-21,21.89,26.27,31.7,24.4,74.29
2010-02-28,21.24,23.97,27.87,91.0,85.14
2010-03-07,20.29,26.44,32.51,1.7,67.86
2010-03-14,21.19,25.63,30.83,46.5,76.29
2010-03-21,21.66,25.73,30.97,17.5,79.0
2010-03-28,21.8,25.03,29.4,26.8,79.86
2010-04-04,16.54,20.7,25.5,12.5,76.14
2010-04-11,17.71,22.91,29.11,0.1,63.29
2010-04-18,19.73,26.06,32.36,0.2,63.29
2010-04-25,20.4,25.43,31.69,1.5,60.14
2010-05-02,17.9,24.6,31.19,0.6,55.71
2010-05-09,13.67,18.76,24.67,18.5,65.43
2010-05-16,14.11,19.87,26.36,8.3,66.14
2010-05-23,16.34,22.0,28.66,0.0,65.86
2010-05-30,15.83,20.39,25.64,8.5,66.71
2010-06-06,12.54,18.56,26.19,0.0,62.57
2010-06-13,11.5,19.39,28.91,0.0,55.86
2010-06-20,15.5,22.43,30.3,0.0,55.57
2010-06-27,12.3,19.61,28.26,0.0,54.43
2010-07-04,14.14,20.99,28.71,0.0,52.0
2010-07-11,17.66,21.89,27.9,13.5,68.86
2010-07-18,17.17,23.4,30.57,0.0,57.29
2010-07-25,16.69,22.53,28.6,0.0,48.57
2010-08-01,14.81,21.54,29.7,0.0,53.57
2010-08-08,16.0,22.91,30.3,0.0,46.57
2010-08-15,11.91,19.11,27.31,0.0,42.14
2010-08-22,14.96,24.39,33.4,0.0,31.57
2010-08-29,18.16,25.91,33.53,0.0,34.57
2010-09-05,18.01,24.04,31.29,0.5,49.14
2010-09-12,20.04,26.76,34.21,0.2,37.0
2010-09-19,19.93,26.01,32.94,9.7,50.43
2010-09-26,19.89,22.79,27.33,104.6,77.43
2010-10-03,18.59,23.41,29.29,28.5,74.14
2010-10-10,17.16,23.1,29.94,5.7,65.43
2010-10-17,18.73,24.76,31.44,15.4,66.29
2010-10-24,18.46,25.13,32.01,25.3,62.43
2010-10-31,20.46,24.69,29.57,70.0,71.0
2010-11-07,19.47,24.46,30.59,35.4,72.71
2010-11-14,18.44,23.6,29.09,42.5,71.57
2010-11-21,21.19,25.87,31.41,55.1,75.14
2010-11-28,21.83,26.33,32.0,52.4,74.57
2010-12-05,22.5,27.33,33.04,8.9,71.0
2010-12-12,22.01,25.17,30.19,80.1,80.29
2010-12-19,21.17,25.53,30.97,68.3,76.86
2010-12-26,21.43,25.27,29.91,46.8,77.0
2011-01-02,21.6,24.04,27.79,103.9,84.71
2011-01-09,21.93,24.69,29.09,65.2,84.71
2011-01-16,22.06,25.71,30.63,42.3,78.0
2011-01-23,21.79,27.34,33.1,11.5,68.43
2011-01-30,21.84,26.06,31.54,13.2,75.43
2011-02-06,22.11,27.27,32.54,6.2,68.0
2011-02-13,21.9,25.46,30.49,59.8,77.14
2011-02-20,21.7,26.54,32.33,40.6,73.14
2011-02-27,21.36,22.9,25.51,145.3,89.0
2011-03-06,21.2,23.57,27.44,123.7,86.86
2011-03-13,21.44,24.73,29.57,33.0,83.43
2011-03-20,20.57,24.03,28.27,22.1,79.29
2011-03-27,21.63,25.59,30.89,40.8,81.0
2011-04-03,19.13,23.39,28.59,17.5,78.71
2011-04-10,18.93,24.23,30.41,28.8,76.43
2011-04-17,18.54,24.81,31.1,0.0,69.43
2011-04-24,17.76,21.93,27.07,37.4,78.57
2011-05-01,16.53,21.9,27.79,1.2,77.29
