data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,21.79,25.67,31.19,28.6,76.29
2010-01-10,21.4,24.66,29.33,39.9,80.14
2010-01-17,21.13,23.87,28.4,88.7,84.14
2010-01-24,20.09,22.94,27.1,118.0,86.71
2010-01-31,21.07,26.17,33.09,17.0,72.29
2010-02-07,21.77,25.97,31.33,19.2,72.0
2010-02-14,21.39,25.46,30.03,59.7,73.71
2010-02-21,20.83,25.21,30.26,23.9,73.86
2010-02-28,19.79,22.46,26.07,42.6,83.0
2010-03-07,20.2,25.76,31.93,0.3,65.57
2010-03-14,20.16,24.64,30.36,34.2,76.0
2010-03-21,21.2,25.06,30.9,36.3,79.0
2010-03-28,20.54,24.03,28.86,50.8,80.29
2010-04-04,15.64,19.26,23.61,20.8,79.57
2010-04-11,15.16,21.53,28.07,0.2,67.29
2010-04-18,18.73,24.54,31.2,0.4,64.0
2010-04-25,18.24,23.09,28.94,1.6,67.29
2010-05-02,17.57,23.26,29.81,9.1,59.57
2010-05-09,12.64,17.3,23.49,7.2,69.43
2010-05-16,14.14,18.9,24.34,8.3,68.71
2010-05-23,15.07,20.0,26.47,0.8,71.57
2010-05-30,14.4,19.1,24.51,17.5,66.43
2010-06-06,11.23,16.09,22.81,2.2,68.14
2010-06-13,10.47,17.94,27.17,0.0,56.57
2010-06-20,15.06,20.63,28.16,0.7,60.14
2010-06-27,11.54,18.03,26.66,0.0,56.57
2010-07-04,12.61,19.03,27.36,0.0,53.14
2010-07-11,15.53,19.14,24.07,43.1,77.14
2010-07-18,16.0,21.24,28.09,0.0,69.14
2010-07-25,15.46,20.7,27.06,0.0,58.57
2010-08-01,13.4,18.09,25.31,0.0,67.0
2010-08-08,14.29,20.13,27.49,0.0,55.57
2010-08-15,9.64,17.03,25.39,0.0,49.71
2010-08-22,14.54,23.36,32.6,0.0,31.71
2010-08-29,16.73,24.26,32.41,0.0,39.0
2010-09-05,14.76,20.27,27.44,7.2,63.0
2010-09-12,17.74,24.13,31.86,0.2,45.86
2010-09-19,17.6,23.07,29.94,17.3,58.57
2010-09-26,18.37,20.71,24.19,94.4,86.57
2010-10-03,16.24,20.74,25.8,27.7,76.14
2010-10-10,14.2,20.04,27.11,12.5,71.14
2010-10-17,15.97,21.9,28.71,21.2,71.57
2010-10-24,17.04,22.77,29.41,23.6,67.29
2010-10-31,18.79,23.64,29.13,33.4,67.71
2010-11-07,17.76,22.61,28.24,41.3,71.71
2010-11-14,16.99,22.54,28.3,16.2,68.43
