data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,21.99,25.86,31.43,34.0,76.86
2010-01-10,21.44,24.83,29.6,48.1,80.29
2010-01-17,21.21,24.1,28.71,92.9,84.57
2010-01-24,20.21,23.1,27.57,124.7,86.71
2010-01-31,21.13,26.4,33.31,18.6,72.71
2010-02-07,22.0,26.23,31.59,21.4,72.29
2010-02-14,21.66,25.71,30.69,41.7,74.0
2010-02-21,21.11,25.47,30.56,25.3,73.57
2010-02-28,20.03,22.73,26.37,33.9,80.71
2010-03-07,19.86,25.87,32.26,0.0,65.43
2010-03-14,20.47,24.9,30.5,24.5,75.0
2010-03-21,21.36,25.3,31.07,35.1,78.57
2010-03-28,20.73,24.17,29.17,47.1,80.0
2010-04-04,16.0,19.49,23.71,21.3,79.0
2010-04-11,15.6,21.79,28.33,0.2,68.0
2010-04-18,18.61,24.54,31.26,2.5,63.71
2010-04-25,18.51,23.16,29.1,1.2,67.57
2010-05-02,17.24,23.21,30.1,10.0,60.57
2010-05-09,13.03,17.56,23.54,5.1,69.57
2010-05-16,14.34,18.97,24.39,10.4,69.71
2010-05-23,15.71,20.3,26.59,0.6,71.43
2010-05-30,14.74,19.3,24.7,20.5,66.0
2010-06-06,11.03,16.0,22.69,2.9,68.43
2010-06-13,10.64,17.84,27.14,0.0,58.57
2010-06-20,14.71,20.46,28.0,1.5,62.14
2010-06-27,11.61,18.04,26.77,0.0,60.29
2010-07-04,13.1,19.33,27.53,0.0,54.43
2010-07-11,15.71,19.14,23.61,42.0,76.43
2010-07-18,16.47,21.53,28.19,0.0,69.71
2010-07-25,15.94,21.06,27.34,0.0,59.0
2010-08-01,13.97,18.06,24.8,0.0,66.71
2010-08-08,13.87,20.01,27.59,0.0,56.86
2010-08-15,10.16,17.29,25.57,0.0,50.57
2010-08-22,14.3,23.33,33.0,0.0,33.71
2010-08-29,16.61,24.31,32.84,0.0,39.86
2010-09-05,15.13,20.33,27.51,7.4,63.0
2010-09-12,17.7,24.16,31.94,0.0,46.29
2010-09-19,17.74,23.14,30.13,11.7,59.0
2010-09-26,18.61,20.97,24.43,95.7,85.71
2010-10-03,16.41,20.74,25.73,22.4,75.14
2010-10-10,14.49,20.17,27.36,9.7,70.57
2010-10-17,16.07,21.97,28.81,17.6,70.57
2010-10-24,17.21,22.77,29.67,22.0,67.43
2010-10-31,18.94,23.97,29.79,33.0,66.43
2010-11-07,17.91,22.77,28.31,33.9,70.0
2010-11-14,17.07,22.69,28.6,20.9,68.14
2010-11-21,20.0,24.99,31.56,24.5,72.29
2010-11-28,21.44,25.84,32.21,33.8,72.43
2010-12-05,21.41,26.2,32.57,12.2,69.86
2010-12-12,20.5,23.34,27.8,100.7,83.0
2010-12-19,20.81,25.09,30.81,48.7,78.57
2010-12-26,19.44,23.97,29.03,34.8,73.29
2011-01-02,21.19,23.63,27.76,164.4,86.0
2011-01-09,21.29,24.57,29.54,79.4,84.29
2011-01-16,21.19,24.89,29.81,50.4,81.71
2011-01-23,21.51,26.71,33.16,10.4,73.29
2011-01-30,21.27,25.27,30.41,21.0,79.14
2011-02-06,21.6,26.36,32.66,12.3,73.57
2011-02-13,20.93,24.54,29.99,52.5,81.0
2011-02-20,21.24,25.96,32.13,38.0,76.86
2011-02-27,19.87,21.67,24.21,156.4,89.14
2011-03-06,19.94,23.44,27.53,43.3,80.29
2011-03-13,20.69,23.87,28.56,25.7,81.71
2011-03-20,20.13,23.93,28.61,5.4,77.29
2011-03-27,20.61,24.29,29.74,44.7,81.0
2011-04-03,18.44,22.2,27.37,24.0,80.57
2011-04-10,18.61,23.23,29.27,23.4,79.57
2011-04-17,19.31,24.34,30.16,1.3,73.86
2011-04-24,17.13,20.64,25.16,40.5,80.29
2011-05-01,14.79,19.74,25.79,5.0,79.71
2011-05-08,16.01,20.7,26.39,0.0,78.57
2011-05-15,12.59,17.29,23.27,7.9,77.29
2011-05-22,13.1,18.47,25.0,0.0,73.0
2011-05-29,10.49,16.19,23.67,0.0,73.86
2011-06-05,10.39,15.07,21.17,42.5,74.0
2011-06-12,10.64,16.36,24.03,0.0,76.0
2011-06-19,13.39,19.13,26.64,0.0,76.14
2011-06-26,11.11,16.7,23.43,2.5,71.57
2011-07-03,11.77,16.06,22.04,0.0,73.14
2011-07-10,13.04,20.1,28.66,0.0,60.43
2011-07-17,15.89,20.87,27.44,5.0,65.43
2011-07-24,14.83,20.57,27.46,1.3,59.0
2011-07-31,11.54,17.11,23.47,11.6,65.86
2011-08-07,15.34,21.29,29.26,1.4,63.14
2011-08-14,15.71,22.4,29.96,4.4,50.43
2011-08-21,14.6,19.36,25.46,1.3,70.14
2011-08-28,13.74,20.57,28.24,7.3,51.86
2011-09-04,14.89,22.71,31.99,0.0,45.43
2011-09-11,15.59,21.41,28.66,1.6,60.43
2011-09-18,16.26,22.69,30.4,1.9,52.29
2011-09-25,15.29,23.5,32.34,0.0,50.86
2011-10-02,18.16,23.84,31.24,14.9,61.0
2011-10-09,19.86,23.33,27.91,66.8,78.0
2011-10-16,15.71,20.19,25.69,32.2,69.0
2011-10-23,18.71,24.47,30.91,15.2,65.57
2011-10-30,14.11,19.79,26.11,16.6,64.14
2011-11-06,19.31,24.81,31.13,11.3,58.29
2011-11-13,16.67,20.19,24.43,132.9,79.14
2011-11-20,17.8,23.7,29.54,28.6,68.57
2011-11-27,18.63,22.83,28.53,53.7,76.57
2011-12-04,19.36,23.2,28.0,70.5,80.29
2011-12-11,18.77,24.54,30.79,47.2,69.86
2011-12-18,20.51,25.86,31.8,6.8,65.57
2011-12-25,19.91,23.59,28.74,31.0,74.43
2012-01-01,18.74,23.64,29.47,50.4,74.86
