data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,25.43,28.16,32.33,90.0,84.43
2010-01-10,25.07,28.0,31.43,109.0,80.43
2010-01-17,25.0,27.74,31.47,132.0,82.86
2010-01-24,24.34,26.27,29.13,87.3,88.86
2010-01-31,25.54,29.69,35.01,16.4,77.29
2010-02-07,25.84,29.37,34.13,77.6,77.71
2010-02-14,25.16,28.51,32.31,80.3,84.0
2010-02-21,24.96,27.79,31.47,145.4,79.29
2010-02-28,22.6,24.51,26.74,55.8,85.57
2010-03-07,23.43,27.59,32.07,14.3,81.29
2010-03-14,23.86,26.89,30.56,41.5,81.29
2010-03-21,24.51,27.46,31.67,62.9,84.71
2010-03-28,23.57,25.94,29.24,52.6,86.86
2010-04-04,19.67,21.94,24.84,131.5,86.57
2010-04-11,19.97,24.13,28.27,5.3,81.29
2010-04-18,21.27,25.59,30.61,9.7,80.57
2010-04-25,21.47,23.83,27.13,13.2,84.0
2010-05-02,20.73,24.21,28.77,8.5,81.71
2010-05-09,17.44,20.47,24.04,28.9,80.71
2010-05-16,18.61,21.63,24.96,17.9,82.57
2010-05-23,19.57,22.0,25.27,14.7,86.29
2010-05-30,17.67,20.9,24.49,23.5,81.14
2010-06-06,15.14,18.13,21.53,14.8,79.57
2010-06-13,14.81,20.37,27.46,0.0,73.29
2010-06-20,18.11,20.61,24.17,22.2,84.57
2010-06-27,15.93,19.73,24.69,2.9,84.29
2010-07-04,17.39,20.79,25.57,1.1,82.86
2010-07-11,17.57,20.13,23.51,98.9,86.86
2010-07-18,19.46,22.56,26.66,11.4,85.86
2010-07-25,18.93,21.91,26.16,8.1,84.0
2010-08-01,16.61,18.2,20.26,57.6,88.14
2010-08-08,16.46,19.6,23.47,9.8,81.14
2010-08-15,13.61,17.64,22.26,0.9,79.86
2010-08-22,15.9,21.6,28.46,0.0,76.0
2010-08-29,18.16,22.49,27.51,0.0,80.29
2010-09-05,17.69,19.86,22.4,40.3,86.14
2010-09-12,18.19,21.81,25.87,13.0,77.86
2010-09-19,18.74,21.33,25.09,16.8,86.43
2010-09-26,20.2,22.2,24.79,76.2,92.14
2010-10-03,18.94,21.67,24.79,39.7,82.71
