data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,22.71,26.59,31.13,37.6,76.14
2010-01-10,22.16,24.77,28.67,45.1,83.86
2010-01-17,22.01,25.49,30.14,62.2,79.57
2010-01-24,21.59,24.16,27.83,95.7,85.71
2010-01-31,23.06,27.7,32.86,3.1,69.0
2010-02-07,21.74,25.76,31.03,66.2,78.29
2010-02-14,22.91,26.07,30.59,32.0,77.29
2010-02-21,22.17,26.46,31.63,30.9,75.71
2010-02-28,21.27,24.54,28.84,42.7,85.29
2010-03-07,21.36,26.77,32.53,3.2,69.29
2010-03-14,22.0,25.83,30.84,48.7,78.43
2010-03-21,22.14,25.49,30.04,51.0,83.0
2010-03-28,21.7,24.41,28.27,76.7,86.29
2010-04-04,16.33,20.86,25.81,7.5,75.29
2010-04-11,18.2,23.2,28.96,0.0,64.57
2010-04-18,20.64,26.07,31.91,0.3,67.71
2010-04-25,20.26,24.87,30.61,1.2,68.43
2010-05-02,18.61,24.0,30.03,0.0,65.57
2010-05-09,13.27,18.17,24.36,8.2,68.71
2010-05-16,14.14,19.37,25.76,6.1,68.43
2010-05-23,16.81,21.84,28.46,0.0,68.14
2010-05-30,15.29,19.69,25.03,10.1,71.71
2010-06-06,12.89,18.21,25.36,0.0,66.57
2010-06-13,14.57,20.67,28.4,0.0,57.14
2010-06-20,17.8,22.94,30.07,0.0,56.86
2010-06-27,15.54,20.97,28.01,0.0,53.0
2010-07-04,16.43,22.23,29.09,0.0,49.43
2010-07-11,16.21,20.84,26.51,18.6,70.71
2010-07-18,17.86,23.4,30.16,0.0,58.43
2010-07-25,17.87,23.03,29.33,0.0,47.71
2010-08-01,14.8,20.96,28.79,0.0,57.57
2010-08-08,16.74,22.89,30.1,0.0,47.0
2010-08-15,13.61,19.76,27.29,0.0,42.57
2010-08-22,17.7,25.3,33.6,0.0,31.86
2010-08-29,19.97,26.69,33.91,0.0,34.0
2010-09-05,18.03,24.03,31.06,0.3,50.86
2010-09-12,20.43,26.77,34.2,0.0,40.71
2010-09-19,20.51,26.76,33.83,2.7,46.71
2010-09-26,20.34,23.4,28.1,48.1,75.0
2010-10-03,18.23,23.46,29.36,51.7,74.14
2010-10-10,17.34,23.01,29.54,9.1,67.29
2010-10-17,18.74,24.54,30.8,16.6,67.14
2010-10-24,19.69,25.81,32.09,23.4,62.29
2010-10-31,20.31,24.79,30.31,45.3,69.71
2010-11-07,19.5,25.01,31.2,30.3,68.86
2010-11-14,19.27,24.24,30.07,27.8,69.57
2010-11-21,21.61,26.37,32.23,70.6,74.71
2010-11-28,22.59,26.56,31.61,52.5,76.0
2010-12-05,22.79,27.33,32.91,20.3,73.0
2010-12-12,21.37,24.16,28.2,82.7,83.0
2010-12-19,21.76,25.36,30.59,51.6,78.14
2010-12-26,21.23,25.36,30.39,45.2,76.57
2011-01-02,21.77,24.5,28.86,88.4,84.29
2011-01-09,21.69,24.67,29.1,69.0,86.0
2011-01-16,22.27,25.49,29.99,60.7,83.0
2011-01-23,22.39,26.93,32.41,23.2,74.71
2011-01-30,22.41,25.93,31.01,14.1,78.0
2011-02-06,22.47,26.33,31.21,22.6,77.86
2011-02-13,22.29,25.19,29.56,42.0,81.71
2011-02-20,22.41,26.31,31.5,47.6,76.0
2011-02-27,21.74,23.27,26.0,252.0,90.71
2011-03-06,21.3,23.37,27.09,205.2,90.71
2011-03-13,21.6,24.8,29.44,56.6,84.71
2011-03-20,21.09,23.53,26.91,53.5,83.0
2011-03-27,22.21,25.86,30.5,18.5,80.71
2011-04-03,20.26,24.23,29.04,17.0,77.43
2011-04-10,20.53,24.77,30.3,6.7,76.57
2011-04-17,21.19,25.86,31.43,0.0,64.57
2011-04-24,18.66,22.64,27.97,32.3,75.71
2011-05-01,17.34,22.14,27.39,0.1,73.86
2011-05-08,18.63,23.5,29.19,0.0,67.43
2011-05-15,15.67,20.33,26.24,0.2,63.86
2011-05-22,17.36,21.76,27.67,0.0,57.86
2011-05-29,13.99,19.73,26.83,0.0,60.0
2011-06-05,14.66,18.94,25.01,38.7,71.29
2011-06-12,14.93,20.09,26.83,0.0,65.14
2011-06-19,16.41,22.14,29.27,0.0,63.86
2011-06-26,13.41,19.2,25.96,0.2,58.57
2011-07-03,14.04,19.57,26.16,0.0,63.57
2011-07-10,16.83,22.83,30.44,0.0,47.43
2011-07-17,19.16,24.26,30.7,0.0,55.14
2011-07-24,18.07,22.87,29.09,0.0,53.43
2011-07-31,13.1,18.9,25.84,7.8,58.43
2011-08-07,18.17,24.81,32.36,0.0,49.0
2011-08-14,19.06,25.2,32.11,0.0,39.71
2011-08-21,17.94,23.6,30.44,0.0,53.57
2011-08-28,17.01,23.96,31.69,0.7,43.57
2011-09-04,18.84,26.09,33.9,0.1,32.14
2011-09-11,19.39,24.83,31.36,5.1,53.86
2011-09-18,19.39,25.26,32.17,0.2,44.29
2011-09-25,19.89,27.21,34.59,0.0,43.14
2011-10-02,20.77,25.63,31.17,10.0,59.29
2011-10-09,21.73,25.11,30.31,86.3,79.86
2011-10-16,18.33,23.06,28.1,21.5,66.43
2011-10-23,20.07,25.13,30.61,17.0,72.86
2011-10-30,17.63,23.1,28.96,21.1,60.86
2011-11-06,21.21,26.09,31.49,9.3,60.43
2011-11-13,18.91,23.39,28.37,74.2,72.57
