data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,22.14,25.43,30.64,109.8,81.0
2010-01-10,21.13,24.47,29.26,35.2,81.14
2010-01-17,20.71,23.81,28.57,95.5,86.29
2010-01-24,20.33,23.26,27.69,83.0,85.71
2010-01-31,21.11,26.31,32.79,5.3,73.43
2010-02-07,21.87,25.91,30.96,14.4,75.14
2010-02-14,21.66,25.71,30.63,24.5,75.57
2010-02-21,21.06,25.09,29.77,19.7,74.86
2010-02-28,19.54,22.14,25.89,57.0,81.86
2010-03-07,19.21,25.33,31.56,0.5,69.0
2010-03-14,20.46,24.37,29.73,10.5,77.43
2010-03-21,21.04,24.89,30.33,21.4,80.0
2010-03-28,20.31,23.54,28.33,46.2,82.29
2010-04-04,15.94,18.77,22.36,17.8,83.86
2010-04-11,16.21,21.43,27.57,0.3,72.86
2010-04-18,17.76,23.47,29.89,2.8,67.43
2010-04-25,18.11,21.93,27.57,4.8,74.29
2010-05-02,16.79,22.27,29.03,16.9,69.0
2010-05-09,13.33,17.13,22.27,1.0,76.14
2010-05-16,14.31,18.41,23.31,12.9,76.57
2010-05-23,16.63,19.81,25.0,0.0,76.86
2010-05-30,14.21,18.27,23.31,18.4,73.57
2010-06-06,10.63,15.41,21.57,0.1,72.14
2010-06-13,11.21,17.83,26.21,0.0,61.43
2010-06-20,14.94,19.51,26.21,2.3,69.71
2010-06-27,12.76,18.39,26.23,0.0,65.71
2010-07-04,13.61,19.33,26.63,0.0,63.71
2010-07-11,14.71,17.83,21.37,53.7,80.86
2010-07-18,16.71,21.11,27.09,0.4,74.14
2010-07-25,15.67,20.23,26.21,0.0,67.57
2010-08-01,13.07,16.07,20.61,0.3,76.57
2010-08-08,13.41,18.5,25.29,0.0,66.0
2010-08-15,10.6,16.63,24.06,0.0,60.71
2010-08-22,14.59,23.0,32.23,0.0,40.71
2010-08-29,16.4,23.41,31.9,0.0,49.86
2010-09-05,14.69,18.81,24.44,14.3,72.0
2010-09-12,16.37,22.33,29.34,0.5,54.71
2010-09-19,16.99,21.81,28.73,4.7,65.86
2010-09-26,17.96,20.6,23.97,104.6,86.57
2010-10-03,15.86,19.73,24.31,27.2,78.0
2010-10-10,14.24,19.14,25.7,6.3,74.71
2010-10-17,15.4,20.66,27.34,33.4,74.86
2010-10-24,16.49,21.66,28.0,17.8,72.86
2010-10-31,17.84,22.99,29.39,36.6,69.86
2010-11-07,17.0,21.49,26.61,19.8,74.29
2010-11-14,16.77,21.69,27.64,26.4,73.14
2010-11-21,19.59,23.93,29.93,28.3,77.43
2010-11-28,20.87,25.01,31.39,35.9,76.57
2010-12-05,20.76,24.96,30.8,19.4,75.29
2010-12-12,19.67,22.33,26.34,99.9,86.0
2010-12-19,20.67,24.73,30.56,58.4,81.29
2010-12-26,18.8,23.01,28.26,9.9,76.57
2011-01-02,20.96,23.54,27.97,71.3,86.29
2011-01-09,21.39,24.3,28.79,69.1,85.86
2011-01-16,21.36,24.63,29.51,34.2,84.29
2011-01-23,21.37,26.13,32.47,15.6,77.86
2011-01-30,21.5,24.87,29.89,21.1,81.29
2011-02-06,21.63,26.26,32.03,7.5,76.14
2011-02-13,21.27,24.59,29.97,28.6,81.14
2011-02-20,21.11,25.51,31.74,22.5,78.43
2011-02-27,19.61,21.59,24.44,68.7,87.43
2011-03-06,19.99,23.21,27.77,19.6,80.14
2011-03-13,20.39,23.33,27.56,20.5,82.86
2011-03-20,20.16,23.61,27.81,5.8,79.57
2011-03-27,20.46,23.87,29.0,22.8,81.57
2011-04-03,18.31,21.81,26.74,16.2,81.43
2011-04-10,18.64,22.93,28.73,14.2,80.0
2011-04-17,19.8,24.43,30.11,0.2,72.29
2011-04-24,17.46,20.63,25.21,24.8,78.43
2011-05-01,15.31,19.9,25.83,7.9,76.57
2011-05-08,16.43,20.77,26.29,0.1,77.29
2011-05-15,13.54,17.31,22.83,8.8,77.57
2011-05-22,14.6,19.26,24.91,0.0,69.43
2011-05-29,10.86,16.24,23.8,0.0,71.71
2011-06-05,10.34,14.9,20.89,36.5,74.14
