data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,21.8,25.84,31.34,26.6,75.86
2010-01-10,21.33,24.94,29.66,46.7,79.29
2010-01-17,21.11,24.1,28.56,73.7,83.43
2010-01-24,20.17,23.17,27.69,110.1,85.71
2010-01-31,21.31,26.4,33.26,15.7,71.0
2010-02-07,22.0,26.16,31.66,13.5,71.14
2010-02-14,21.74,25.7,30.81,42.1,73.29
2010-02-21,21.11,25.33,30.46,21.2,74.0
2010-02-28,19.91,22.66,26.04,35.6,81.0
2010-03-07,19.69,25.64,32.06,0.7,66.29
2010-03-14,20.23,24.73,30.4,30.8,75.43
2010-03-21,21.44,25.31,30.97,33.6,77.71
2010-03-28,20.7,24.17,29.04,51.8,79.29
2010-04-04,15.89,19.54,23.67,25.8,78.71
2010-04-11,15.7,21.83,28.3,0.3,67.29
2010-04-18,18.59,24.41,31.06,1.0,64.29
2010-04-25,18.51,23.03,28.93,2.5,68.86
2010-05-02,16.87,22.93,29.84,8.4,62.0
2010-05-09,12.93,17.57,23.5,6.8,70.14
2010-05-16,14.0,18.84,24.34,11.7,70.57
2010-05-23,15.69,20.33,26.54,0.5,70.86
2010-05-30,14.66,19.21,24.59,23.3,66.71
2010-06-06,10.77,16.06,22.73,0.6,69.14
2010-06-13,10.57,17.8,27.06,0.0,58.43
2010-06-20,14.67,20.37,27.97,1.7,62.71
2010-06-27,11.3,17.99,26.66,0.0,59.57
2010-07-04,12.91,19.16,27.3,0.0,55.0
2010-07-11,15.89,19.36,23.87,44.3,76.14
2010-07-18,16.34,21.51,28.2,0.0,69.14
2010-07-25,15.79,20.94,27.13,0.0,59.43
2010-08-01,14.07,18.23,24.93,0.1,67.0
2010-08-08,13.61,20.04,27.43,0.0,56.71
2010-08-15,10.09,17.19,25.41,0.0,50.71
2010-08-22,14.11,22.96,32.66,0.0,34.71
2010-08-29,16.99,24.26,32.54,0.0,39.86
2010-09-05,15.24,20.39,27.6,6.9,62.71
2010-09-12,17.57,24.06,31.77,0.0,47.0
2010-09-19,17.66,23.29,30.21,8.8,57.57
2010-09-26,18.71,21.07,24.41,101.9,85.29
2010-10-03,16.69,20.81,25.73,34.0,75.29
2010-10-10,14.54,20.26,27.26,6.5,70.14
2010-10-17,16.27,22.13,28.77,18.2,69.86
2010-10-24,16.91,22.74,29.57,24.8,67.57
2010-10-31,19.03,23.73,29.31,36.7,67.86
2010-11-07,18.1,22.57,28.06,44.5,71.43
2010-11-14,17.01,22.41,28.33,25.9,69.43
2010-11-21,19.63,24.57,30.97,25.7,74.57
2010-11-28,21.16,25.53,31.73,32.1,73.86
2010-12-05,21.24,25.94,32.16,11.4,71.57
2010-12-12,20.49,23.43,27.79,101.8,83.14
2010-12-19,20.7,24.99,30.63,52.6,78.43
2010-12-26,19.5,23.9,28.91,36.5,74.43
2011-01-02,21.09,23.5,27.59,145.4,86.0
2011-01-09,21.17,24.41,29.24,102.4,84.57
2011-01-16,21.31,24.87,29.69,43.2,80.57
2011-01-23,21.51,26.67,32.93,9.5,71.86
2011-01-30,21.16,25.29,30.53,10.9,78.14
2011-02-06,21.39,26.47,32.71,8.3,71.14
2011-02-13,20.86,24.67,30.29,43.9,79.14
2011-02-20,21.0,25.91,32.19,26.5,75.71
2011-02-27,20.0,21.77,24.46,137.5,88.71
2011-03-06,19.93,23.5,27.69,38.2,79.43
2011-03-13,20.67,23.9,28.49,27.1,81.43
2011-03-20,20.03,23.87,28.6,8.4,76.43
2011-03-27,20.54,24.36,29.77,48.4,80.14
2011-04-03,18.16,22.07,27.26,28.8,80.57
2011-04-10,18.43,23.2,29.16,29.8,78.86
2011-04-17,19.36,24.3,29.99,0.8,73.29
2011-04-24,17.19,20.67,25.19,35.9,79.86
2011-05-01,14.66,19.77,25.86,3.6,79.29
2011-05-08,15.89,20.71,26.47,0.0,77.57
2011-05-15,12.64,17.46,23.43,5.2,76.43
2011-05-22,13.07,18.47,25.01,0.0,71.71
2011-05-29,10.9,16.5,23.84,0.1,72.86
2011-06-05,10.54,15.2,21.14,44.8,73.57
2011-06-12,10.59,16.43,23.96,0.0,74.43
2011-06-19,13.13,19.04,26.6,0.0,74.86
2011-06-26,11.27,16.84,23.47,5.3,71.14
2011-07-03,11.89,16.3,22.24,0.0,72.29
2011-07-10,12.83,19.93,28.31,0.0,61.14
2011-07-17,15.86,20.74,27.34,5.4,65.43
2011-07-24,14.6,20.36,27.13,1.5,59.57
2011-07-31,11.71,17.21,23.41,12.8,66.71
2011-08-07,15.04,21.16,28.93,1.0,63.0
2011-08-14,15.73,22.29,29.57,6.0,50.86
2011-08-21,14.76,19.5,25.34,1.7,70.43
2011-08-28,13.53,20.33,28.09,5.8,53.29
2011-09-04,14.83,22.74,31.8,0.0,44.57
2011-09-11,15.67,21.44,28.41,2.3,61.14
2011-09-18,16.23,22.6,30.24,1.9,52.29
2011-09-25,15.24,23.59,32.14,0.0,51.14
2011-10-02,18.17,23.76,31.04,20.0,60.57
2011-10-09,19.94,23.31,27.87,63.7,77.57
2011-10-16,15.7,20.19,25.59,35.4,68.86
2011-10-23,18.61,24.36,30.66,20.5,66.0
2011-10-30,14.19,19.7,25.96,15.9,64.71
2011-11-06,19.27,24.67,30.9,12.3,59.0
2011-11-13,16.8,20.23,24.5,135.3,79.14
2011-11-20,18.1,23.69,29.34,33.5,68.57
2011-11-27,18.59,22.69,28.51,57.8,77.14
2011-12-04,19.59,23.19,27.99,76.7,79.86
2011-12-11,19.0,24.44,30.59,55.9,70.43
2011-12-18,20.24,25.57,31.51,12.6,67.0
2011-12-25,19.64,23.33,28.4,30.0,76.0
2012-01-01,18.63,23.51,29.16,58.7,75.14
2012-01-08,19.57,22.63,26.36,60.3,77.43
2012-01-15,19.79,22.69,27.11,87.7,84.0
2012-01-22,19.07,22.54,27.27,50.5,80.43
2012-01-29,17.8,24.31,30.31,2.3,68.0
2012-02-05,21.2,26.56,32.66,46.5,67.29
2012-02-12,20.07,24.49,30.07,35.9,76.29
2012-02-19,21.11,24.96,29.99,22.3,77.86
2012-02-26,20.96,26.2,32.5,17.3,72.86
2012-03-04,19.21,24.93,31.14,6.4,69.14
2012-03-11,19.46,23.99,29.67,31.1,74.86
2012-03-18,18.97,23.71,29.36,40.0,72.57
2012-03-25,19.11,23.49,28.99,18.6,75.86
2012-04-01,18.64,24.14,30.43,8.5,73.71
2012-04-08,19.94,24.57,30.31,5.4,71.0
2012-04-15,18.43,22.91,28.39,22.5,72.0
2012-04-22,17.71,21.71,26.91,39.0,77.86
2012-04-29,13.89,18.39,23.31,56.6,78.57
2012-05-06,15.01,20.0,25.6,4.9,73.14
2012-05-13,15.11,18.2,22.47,12.7,78.14
2012-05-20,13.99,19.13,25.11,10.3,73.43
2012-05-27,15.81,20.71,26.7,1.3,77.29
2012-06-03,16.27,18.99,22.44,81.6,82.86
2012-06-10,15.33,19.44,25.11,4.0,81.29
2012-06-17,15.61,18.87,22.61,91.1,79.71
2012-06-24,13.0,18.14,24.91,0.0,75.71
2012-07-01,13.9,19.49,26.7,0.6,69.57
2012-07-08,11.8,16.69,22.37,10.2,71.14
2012-07-15,10.0,15.03,21.29,42.9,76.43
2012-07-22,15.1,21.06,28.51,0.0,66.0
2012-07-29,14.51,19.86,26.27,0.0,68.43
2012-08-05,12.86,18.94,26.46,0.0,64.57
2012-08-12,15.49,20.83,27.31,0.0,56.57
2012-08-19,15.14,21.27,28.21,0.0,47.29
2012-08-26,13.94,20.29,27.84,1.8,60.0
2012-09-02,15.34,22.87,31.41,0.0,51.86
2012-09-09,17.97,24.76,32.73,0.8,50.86
2012-09-16,19.31,24.44,30.27,50.0,57.71
2012-09-23,12.76,17.8,23.9,40.4,68.29
2012-09-30,17.83,24.59,32.51,2.1,59.14
2012-10-07,18.64,23.53,28.89,19.3,59.71
2012-10-14,17.31,22.7,29.31,18.3,65.57
2012-10-21,20.51,25.77,32.09,33.2,71.86
2012-10-28,21.33,26.56,33.61,20.9,65.0
2012-11-04,19.34,23.86,29.53,42.3,71.29
2012-11-11,17.69,22.01,27.0,28.2,73.29
2012-11-18,17.94,24.44,31.39,17.7,62.29
2012-11-25,19.6,24.43,30.36,22.5,68.86
2012-12-02,22.04,27.09,32.87,17.2,67.29
2012-12-09,22.3,26.0,31.61,82.9,74.43
2012-12-16,21.14,24.53,29.43,83.5,82.29
2012-12-23,21.8,25.86,31.5,48.9,75.43
2012-12-30,20.59,24.44,29.84,44.3,78.0
2013-01-06,20.33,23.46,27.87,62.2,78.29
2013-01-13,19.33,22.54,27.14,99.7,82.57
2013-01-20,19.83,24.01,29.49,14.1,73.86
2013-01-27,20.67,24.09,28.66,23.8,77.71
2013-02-03,19.59,22.44,26.97,124.6,83.29
2013-02-10,20.74,25.13,31.63,27.0,78.57
2013-02-17,20.73,25.29,31.61,31.6,76.29
2013-02-24,20.36,24.61,30.14,20.9,76.86
2013-03-03,21.17,25.87,32.14,30.0,76.86
2013-03-10,21.46,24.63,29.39,52.4,81.57
2013-03-17,18.46,21.44,25.2,83.5,82.71
2013-03-24,18.13,22.31,27.73,13.1,78.14
2013-03-31,19.6,23.26,27.79,55.1,82.29
2013-04-07,19.64,22.93,27.57,39.1,81.29
2013-04-14,14.13,19.6,25.74,0.2,74.29
2013-04-21,14.01,19.9,26.14,0.0,70.57
2013-04-28,16.27,22.06,28.77,0.0,73.0
2013-05-05,12.74,18.44,25.54,2.1,67.86
2013-05-12,15.51,20.99,27.39,0.0,68.43
2013-05-19,16.14,20.09,24.9,12.7,77.0
2013-05-26,15.13,18.4,22.99,62.1,81.29
2013-06-02,13.46,18.14,24.17,10.3,79.57
2013-06-09,14.94,18.93,24.73,10.4,79.57
2013-06-16,15.23,19.43,24.4,13.0,78.29
2013-06-23,16.33,19.01,23.09,22.6,84.86
2013-06-30,14.6,18.41,24.23,7.2,79.43
2013-07-07,13.21,18.29,24.81,0.0,74.14
2013-07-14,13.46,19.13,26.61,4.7,73.0
2013-07-21,12.13,15.31,19.39,39.7,79.14
2013-07-28,9.46,17.09,26.76,0.0,66.29
2013-08-04,15.07,21.23,28.8,0.0,60.86
2013-08-11,10.6,16.53,23.36,1.8,69.29
2013-08-18,15.2,21.04,27.94,1.0,59.57
2013-08-25,11.44,18.53,26.5,3.2,59.43
2013-09-01,14.67,20.23,26.6,13.9,64.71
2013-09-08,15.46,23.04,30.66,0.0,51.43
2013-09-15,18.16,23.04,28.7,35.9,66.71
2013-09-22,15.01,19.94,26.5,20.6,68.57
2013-09-29,17.81,20.81,24.63,54.3,83.29
2013-10-06,14.86,19.94,25.41,0.0,61.0
2013-10-13,18.4,22.73,27.97,56.1,72.57
2013-10-20,19.71,25.4,32.11,6.7,66.14
2013-10-27,16.87,22.47,29.54,9.0,64.29
2013-11-03,17.21,21.73,26.47,40.7,73.14
2013-11-10,19.77,26.07,33.0,13.1,58.29
2013-11-17,20.06,24.03,29.43,33.0,73.29
2013-11-24,20.21,24.1,28.43,45.5,75.57
2013-12-01,20.79,25.86,31.87,29.8,69.86
2013-12-08,20.31,24.91,29.93,23.2,71.57
2013-12-15,19.03,25.03,31.71,6.8,61.71
2013-12-22,21.71,26.93,33.49,34.3,65.43
2013-12-29,22.8,26.7,32.19,53.3,74.43
2014-01-05,22.21,27.74,34.46,3.4,56.29
2014-01-12,21.0,25.46,32.33,37.8,69.86
2014-01-19,21.11,26.99,33.86,16.4,62.86
2014-01-26,21.89,29.5,36.86,0.1,44.86
2014-02-02,24.24,31.0,38.03,0.6,37.86
2014-02-09,23.4,28.43,34.46,33.5,50.71
2014-02-16,20.6,25.51,31.24,24.5,63.0
2014-02-23,21.29,25.94,32.04,48.4,70.14
