data_iniSE,tmin,tmed,tmax,precipitacao,umidade
2010-01-03,21.54,25.07,30.2,43.8,77.86
2010-01-10,20.87,24.37,28.99,38.1,80.57
2010-01-17,20.54,23.5,27.66,81.3,84.0
2010-01-24,19.81,22.84,27.24,78.7,84.43
2010-01-31,20.59,25.69,32.3,14.5,72.43
2010-02-07,21.29,25.39,30.84,16.5,73.43
2010-02-14,21.16,25.03,29.96,33.0,75.43
2010-02-21,20.2,24.44,29.07,15.6,75.57
2010-02-28,19.14,21.66,24.86,38.7,83.0
2010-03-07,19.04,24.8,30.71,0.6,67.43
2010-03-14,19.83,23.97,29.23,22.7,76.86
2010-03-21,20.84,24.6,30.03,28.2,78.86
2010-03-28,20.21,23.44,28.21,47.5,80.29
2010-04-04,15.69,18.79,22.57,28.5,81.14
2010-04-11,15.6,21.2,27.33,0.9,70.0
2010-04-18,17.77,23.59,29.9,1.2,65.57
2010-04-25,17.94,22.06,27.79,6.3,72.14
2010-05-02,16.5,22.3,29.07,8.9,63.0
2010-05-09,12.93,17.0,22.5,4.9,72.43
2010-05-16,13.63,18.24,23.43,14.3,73.71
2010-05-23,15.77,19.7,25.41,0.0,73.0
2010-05-30,14.03,18.44,23.5,19.5,69.14
2010-06-06,10.86,15.5,21.9,0.6,71.43
2010-06-13,10.47,17.56,26.3,0.0,57.0
2010-06-20,14.54,19.66,26.97,2.6,64.43
2010-06-27,11.67,17.94,26.03,0.0,61.71
2010-07-04,13.19,18.91,26.47,0.0,56.86
2010-07-11,15.23,18.29,22.31,50.0,79.14
2010-07-18,16.01,20.83,27.24,0.6,71.57
2010-07-25,15.11,20.06,26.13,0.1,63.57
2010-08-01,13.56,17.09,22.83,0.7,72.0
2010-08-08,13.54,19.13,25.87,0.0,60.43
2010-08-15,9.76,16.29,24.06,0.0,56.0
2010-08-22,13.36,22.3,31.59,0.0,39.29
2010-08-29,16.09,23.24,31.47,0.0,45.0
2010-09-05,14.6,19.19,25.73,9.9,67.43
2010-09-12,16.77,22.91,30.33,0.8,50.71
2010-09-19,16.96,22.29,29.13,8.4,60.43
2010-09-26,18.06,20.47,23.56,106.8,86.43
2010-10-03,16.3,19.89,24.46,44.9,78.14
2010-10-10,14.11,19.21,25.8,2.3,72.86
2010-10-17,16.06,21.23,27.7,19.6,72.43
2010-10-24,16.66,21.97,28.79,22.6,69.14
2010-10-31,18.24,22.83,28.29,51.5,70.14
2010-11-07,17.33,21.44,26.61,37.2,74.43
2010-11-14,16.54,21.5,27.0,39.6,71.86
2010-11-21,19.19,23.67,29.71,29.1,77.29
2010-11-28,20.61,24.76,30.66,39.8,75.86
2010-12-05,20.66,24.97,30.76,15.2,75.0
2010-12-12,19.81,22.59,26.79,102.6,84.14
2010-12-19,20.29,24.31,29.8,55.0,79.71
2010-12-26,18.83,22.91,27.94,25.5,77.29
2011-01-02,20.66,22.9,26.76,171.7,86.86
2011-01-09,20.7,23.64,28.26,101.3,85.86
2011-01-16,20.83,24.27,28.9,31.4,81.71
2011-01-23,20.91,25.91,31.87,13.1,73.43
2011-01-30,20.66,24.64,29.6,10.5,78.57
2011-02-06,20.46,25.7,31.63,6.2,72.0
2011-02-13,20.46,24.1,29.54,32.0,79.29
2011-02-20,20.69,25.14,31.29,28.5,77.43
2011-02-27,19.47,21.2,23.97,122.6,89.29
2011-03-06,19.34,22.79,27.31,29.0,80.43
2011-03-13,20.07,23.1,27.4,26.2,82.86
2011-03-20,19.56,23.16,27.53,2.1,78.57
2011-03-27,20.09,23.71,29.01,32.6,80.86
2011-04-03,17.94,21.43,26.44,33.6,81.86
2011-04-10,18.13,22.63,28.36,24.7,79.86
2011-04-17,19.2,23.71,29.07,1.4,74.57
2011-04-24,16.94,20.03,24.31,26.1,81.0
2011-05-01,14.93,19.4,24.9,6.6,79.29
2011-05-08,15.89,20.2,25.54,0.1,78.57
2011-05-15,13.03,17.01,22.49,8.3,77.57
2011-05-22,12.79,18.09,24.03,0.0,72.29
2011-05-29,11.19,16.34,23.1,0.1,72.57
2011-06-05,10.24,14.71,20.34,43.1,74.29
2011-06-12,10.73,16.17,23.04,0.0,73.86
2011-06-19,13.33,18.81,25.86,0.0,74.43
2011-06-26,11.17,16.56,22.63,9.5,71.71
2011-07-03,11.51,15.53,21.01,0.1,74.29
2011-07-10,12.4,19.44,27.64,0.0,61.71
2011-07-17,15.17,19.91,26.13,9.5,68.0
2011-07-24,14.1,19.5,25.99,1.2,61.57
2011-07-31,11.86,16.81,22.54,11.4,67.29
2011-08-07,14.77,20.74,27.97,4.0,62.57
2011-08-14,15.21,21.47,28.57,5.3,54.29
2011-08-21,14.3,18.4,23.76,2.7,74.57
2011-08-28,12.91,19.27,26.74,7.9,57.43
2011-09-04,14.73,21.87,30.39,0.0,48.57
2011-09-11,15.16,20.2,27.0,1.6,66.43
2011-09-18,15.5,21.54,29.33,3.1,57.29
2011-09-25,14.71,22.37,30.79,0.0,55.71
2011-10-02,17.14,22.57,29.79,20.1,64.86
2011-10-09,19.17,22.31,26.4,62.9,79.43
2011-10-16,14.8,18.97,24.26,33.0,72.57
2011-10-23,18.06,23.69,29.81,14.0,66.29
2011-10-30,13.53,18.61,24.81,16.4,68.0
2011-11-06,18.44,23.86,30.33,15.1,60.43
2011-11-13,16.07,19.24,23.37,133.1,81.71
2011-11-20,17.69,22.86,28.6,35.9,71.0
2011-11-27,18.0,21.64,27.0,64.3,79.71
2011-12-04,19.24,22.46,26.97,80.1,81.29
2011-12-11,18.5,23.7,29.46,42.0,71.86
2011-12-18,19.34,24.7,30.67,7.2,67.57
2011-12-25,18.89,22.27,26.93,46.9,78.71
2012-01-01,17.99,22.74,28.27,46.9,76.29
2012-01-08,19.0,22.01,25.6,43.6,78.43
2012-01-15,19.11,22.06,26.51,84.4,84.0
