data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2026-09-13,202637,8.5,1,36,1,0.29141018,14.23428,0,1,351280320263720719,2026-09-23,CosmÃ³polis,0.78254634,59715,14.870975,95.34995,0,0,1,84.080375,65.90015,17.907325,21.7489,0,,,,,17077
2026-09-06,202636,11.0,8,29,8,0.3285638,18.420832,0,1,351280320263620719,2026-09-23,CosmÃ³polis,0.83701044,59715,16.1221714285714,93.2827571428572,0,0,1,84.2150857142857,70.8000428571429,18.9479428571429,23.0914,0,,,,,17077
2026-08-30,202635,8.0,7,14,7,0.073710926,13.396969,0,1,351280320263520719,2026-09-23,CosmÃ³polis,0.5432936,59715,16.8868285714286,88.6172571428571,0,0,1,69.3273142857143,44.7180571428571,22.3446428571429,28.3007,0,,,,,17077
2026-08-23,202634,15.0,15,18,15,0.40756866,25.119316,0,1,351280320263420719,2026-09-23,CosmÃ³polis,0.9207935,59715,15.7274571428571,89.2845714285714,0,0,1,69.8839142857143,45.8866,20.662,26.7980857142857,0,,,,,17077
2026-08-16,202633,16.0,16,18,16,0.34725344,26.793938,0,1,351280320263320719,2026-09-23,CosmÃ³polis,0.8757319,59715,16.4810142857143,81.6281857142857,0,0,1,61.3983571428571,37.1124142857143,22.1585571428571,28.7222142857143,0,,,,,17077
2026-08-09,202632,12.0,12,13,12,0.17548852,20.095453,0,1,351280320263220719,2026-09-23,CosmÃ³polis,0.7087175,59715,16.5041285714286,86.7581,0,0,1,71.1823142857143,50.3983142857143,21.0623714285714,27.1013714285714,0,,,,,17077
2026-08-02,202631,24.0,24,25,24,0.9273093,40.190907,0,1,351280320263120719,2026-09-23,CosmÃ³polis,1.5956273,59715,15.2544714285714,85.0139142857143,0,0,1,65.9982285714286,41.0389571428571,20.3765714285714,26.8692,0,,,,,17077
2026-07-26,202630,18.0,18,19,18,0.5604229,30.14318,0,1,351280320263020719,2026-09-23,CosmÃ³polis,1.0520282,59715,13.4431428571429,88.9978142857143,0,0,1,71.0026142857143,45.7934857142857,19.1907142857143,26.3840142857143,1,,,,,17077
2026-07-19,202629,9.0,9,10,9,0.013678227,15.07159,0,1,351280320262920719,2026-09-23,CosmÃ³polis,0.4351646,59715,14.2358428571429,80.5540714285714,0,0,1,66.4472285714286,48.1555142857143,18.7936714285714,24.7596,0,,,,,17077
2026-07-12,202628,19.0,19,20,19,0.2930604,31.8178,0,1,351280320262820719,2026-09-23,CosmÃ³polis,0.845613,59715,11.3064571428571,84.1801571428571,0,0,1,68.1659857142857,46.9894857142857,16.1326142857143,22.1687428571429,0,,,,,17077
