data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2026-09-13,202637,25.0,12,79,10,0.07275681,8.192182,0,1,352690220263720719,2026-09-23,Limeira,0.6890062,305169,14.77345,96.1354,0,0,0,84.7392,66.5254,17.745925,21.593925,10,,,,,134628
2026-09-06,202636,26.0,23,36,23,0.0215077,8.519869,0,1,352690220263620719,2026-09-23,Limeira,0.61075604,305169,16.1293714285714,93.7917,0,0,0,84.6060714285714,70.7064142857143,18.9725857142857,23.1208285714286,17,,,,,134628
2026-08-30,202635,40.0,39,44,39,0.19864362,13.1074915,0,1,352690220263520719,2026-09-23,Limeira,0.8351986,305169,16.5680857142857,89.3345571428571,0,0,1,69.1539857142857,43.0399142857143,22.293,28.5370714285714,30,,,,,134628
2026-08-23,202634,40.0,40,43,40,0.18751733,13.1074915,0,1,352690220263420719,2026-09-23,Limeira,0.8283335,305169,15.5428,88.7178428571429,0,0,1,69.1774857142857,45.2462,20.6221285714286,26.7821714285714,25,,,,,134628
2026-08-16,202633,51.0,51,53,51,0.7448512,16.712051,0,1,352690220263320719,2026-09-23,Limeira,1.1436664,305169,16.4507,81.3793428571429,0,0,1,59.6276285714286,35.3329714285714,22.3171714285714,28.8907,3,,,,,134628
2026-08-09,202632,56.0,56,58,56,0.8969602,18.350489,0,1,352690220263220719,2026-09-23,Limeira,1.2885472,305169,16.3964428571429,87.0268714285714,0,0,1,70.3887571428571,49.4316571428571,21.0686285714286,27.2340285714286,4,,,,,134628
2026-08-02,202631,36.0,36,37,36,0.20682089,11.796742,0,1,352690220263120719,2026-09-23,Limeira,0.8326882,305169,15.1626142857143,84.8551571428571,0,0,0,65.4385285714286,39.5364571428571,20.3538428571429,26.9695714285714,2,,,,,134628
2026-07-26,202630,47.0,47,48,47,0.59938717,15.401302,0,1,352690220263020719,2026-09-23,Limeira,1.0537759,305169,13.4280428571429,89.3960571428571,0,0,1,70.8529857142857,45.4131714285714,19.2762571428571,26.4877714285714,7,,,,,134628
2026-07-19,202629,44.0,44,45,44,0.2032675,14.418241,0,1,352690220262920719,2026-09-23,Limeira,0.8445895,305169,14.3187285714286,79.6293428571429,0,0,1,65.1404571428571,46.8274428571429,18.8977571428571,24.9000285714286,6,,,,,134628
2026-07-12,202628,39.0,39,39,39,0.015290483,12.779804,0,1,352690220262820719,2026-09-23,Limeira,0.64588624,305169,11.2977428571429,84.0690142857143,0,0,1,67.3625,45.9817428571429,16.2447428571429,22.3416,1,,,,,134628
