data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2026-09-13,202637,13.0,1,148,1,0.308557,6.2817106,0,1,354390720263720719,2026-09-23,Rio Claro,0.8314944,206950,14.377075,97.525525,0,0,0,85.986425,67.4514,17.598475,21.5182,0,,,,,76034
2026-09-06,202636,11.0,4,80,4,0.21425897,5.3152933,0,1,354390720263620719,2026-09-23,Rio Claro,0.7352323,206950,15.7715428571429,95.7867142857143,0,0,0,86.4642714285714,71.0034857142857,18.7892857142857,23.0968142857143,0,,,,,76034
2026-08-30,202635,20.0,18,43,18,0.8674376,9.66417,0,1,354390720263520719,2026-09-23,Rio Claro,1.4665879,206950,16.4128857142857,89.7818142857143,0,0,0,68.7079571428571,41.8404857142857,22.2087714285714,28.5403142857143,1,,,,,76034
2026-08-23,202634,15.0,14,22,14,0.58064204,7.2481275,0,1,354390720263420719,2026-09-23,Rio Claro,1.077489,206950,14.7715142857143,91.0974571428571,0,0,0,70.9549714285714,47.4492857142857,20.0710571428571,26.2284571428571,0,,,,,76034
2026-08-16,202633,11.0,11,15,11,0.2896329,5.3152933,0,1,354390720263320719,2026-09-23,Rio Claro,0.802522,206950,15.8571142857143,82.2607714285714,0,0,0,58.8283285714286,34.5888,22.1659714285714,28.7544571428571,0,,,,,76034
2026-08-09,202632,15.0,15,18,15,0.7208612,7.2481275,0,1,354390720263220719,2026-09-23,Rio Claro,1.2491926,206950,16.1124428571429,86.1858,0,0,0,69.5438428571429,48.867,21.0421571428571,27.1957714285714,0,,,,,76034
2026-08-02,202631,16.0,16,18,16,0.8627468,7.731336,0,1,354390720263120719,2026-09-23,Rio Claro,1.5258392,206950,14.5380428571429,86.7137857142857,0,0,0,66.0572285714286,40.3019857142857,20.1703714285714,26.7693142857143,1,,,,,76034
2026-07-26,202630,10.0,10,11,10,0.49181888,4.832085,0,1,354390720263020719,2026-09-23,Rio Claro,0.9910776,206950,13.1815,90.7031428571429,0,0,0,72.0157857142857,46.5304285714286,19.1526857142857,26.2229857142857,1,,,,,76034
2026-07-19,202629,12.0,12,13,12,0.49179062,5.798502,0,1,354390720262920719,2026-09-23,Rio Claro,0.99179393,206950,13.6496428571429,83.0735571428571,0,0,0,67.6944285714286,47.639,18.4400857142857,24.8532142857143,0,,,,,76034
2026-07-12,202628,7.0,7,7,7,0.036286086,3.3824596,0,1,354390720262820719,2026-09-23,Rio Claro,0.46070996,206950,10.8005714285714,85.0399285714286,0,0,0,68.5920714285714,46.5390714285714,15.9410571428571,22.0821571428571,0,,,,,76034
2026-07-05,202627,12.0,12,12,12,0.17999908,5.798502,0,1,354390720262720719,2026-09-23,Rio Claro,0.71291965,206950,11.2993428571429,92.3220285714286,0,0,0,74.6656857142857,48.5916571428571,16.9122857142857,23.5507714285714,0,,,,,76034
2026-06-28,202626,16.0,16,16,16,0.4885797,7.731336,0,1,354390720262620719,2026-09-23,Rio Claro,0.9900827,206950,13.3535571428571,91.8708857142857,0,0,0,76.1844714285714,52.9804428571429,18.7083285714286,25.0997571428571,0,,,,,76034
2026-06-21,202625,19.0,19,19,19,0.7708065,9.180962,0,1,354390720262520719,2026-09-23,Rio Claro,1.2880363,206950,12.9616857142857,96.7601142857143,0,0,0,84.9121857142857,65.9682285714286,16.7378857142857,21.3984714285714,1,,,,,76034
2026-06-14,202624,16.0,16,16,16,0.54542047,7.731336,0,1,354390720262420719,2026-09-23,Rio Claro,1.0410277,206950,12.8939285714286,94.0396714285714,0,0,0,82.3029428571429,63.4508714285714,16.4904714285714,21.2289857142857,0,,,,,76034
2026-06-07,202623,15.0,15,15,15,0.19730401,7.2481275,0,1,354390720262320719,2026-09-23,Rio Claro,0.75130963,206950,13.4244571428571,89.2728428571429,0,0,0,75.3921428571429,57.6268714285714,17.6941,22.2574714285714,0,,,,,76034
2026-05-31,202622,11.0,11,11,11,0.00708842,5.3152933,0,1,354390720262220719,2026-09-23,Rio Claro,0.4326816,206950,11.6965571428571,98.3316285714286,0,0,0,81.5309428571428,58.3027142857143,16.1048,21.6538571428571,0,,,,,76034
