data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2026-09-13,202637,8.0,2,26,2,0.253209,4.3609324,0,1,354580320263720719,2026-09-23,Santa BÃ¡rbara d'Oeste,0.7398779,183447,14.516925,96.180675,0,0.0,0,85.398325,67.4478,17.337925,20.942125,2,,,,,65847
2026-09-06,202636,11.0,9,17,9,0.36700124,5.996282,0,1,354580320263620719,2026-09-23,Santa BÃ¡rbara d'Oeste,0.8715041,183447,16.1033285714286,92.9794142857143,0,0.0,0,84.3519,71.4854857142857,18.7582571428571,22.8565571428571,5,,,,,65847
2026-08-30,202635,11.0,10,14,10,0.18468629,5.996282,0,1,354580320263520719,2026-09-23,Santa BÃ¡rbara d'Oeste,0.7078442,183447,16.4500285714286,91.3172857142857,0,0.0,0,70.2899142857143,43.4059,22.0840714285714,28.4392,3,,,,,65847
2026-08-23,202634,9.0,9,12,9,0.06933472,4.9060493,0,1,354580320263420719,2026-09-23,Santa BÃ¡rbara d'Oeste,0.55332905,183447,15.8949,87.1290571428571,0,0.0,0,67.9869428571429,43.7147714285714,20.7719571428571,26.9772428571429,2,,,,,65847
2026-08-16,202633,20.0,20,22,20,0.8175603,10.902331,0,1,354580320263320719,2026-09-23,Santa BÃ¡rbara d'Oeste,1.3573713,183447,16.9134285714286,80.5172714285714,0,0.0,0,58.0751714285714,33.7412428571429,22.6243285714286,29.1584,8,,,,,65847
2026-08-09,202632,16.0,16,18,16,0.7606422,8.721865,0,1,354580320263220719,2026-09-23,Santa BÃ¡rbara d'Oeste,1.3015475,183447,16.6385,86.1724142857143,0,0.0,0,69.9129571428571,49.9910142857143,20.9695142857143,26.8662857142857,4,,,,,65847
2026-08-02,202631,16.0,16,17,16,0.81569976,8.721865,0,1,354580320263120719,2026-09-23,Santa BÃ¡rbara d'Oeste,1.4061404,183447,15.5571571428571,83.4532428571429,0,0.0,0,64.2369142857143,39.3575285714286,20.5496428571429,26.9357571428571,2,,,,,65847
2026-07-26,202630,12.0,12,13,12,0.36315155,6.541399,0,1,354580320263020719,2026-09-23,Santa BÃ¡rbara d'Oeste,0.8729273,183447,13.7380428571429,89.2439714285714,0,0.0,0,70.6087,44.8775285714286,19.2759285714286,26.4667571428571,1,,,,,65847
2026-07-19,202629,8.0,8,9,8,0.020527761,4.3609324,0,1,354580320262920719,2026-09-23,Santa BÃ¡rbara d'Oeste,0.44117767,183447,14.4400714285714,79.4263571428571,0,0.0,0,64.7435571428571,47.2956428571429,18.9537714285714,24.7833142857143,0,,,,,65847
2026-07-12,202628,14.0,14,14,14,0.07426974,7.631632,0,1,354580320262820719,2026-09-23,Santa BÃ¡rbara d'Oeste,0.6195151,183447,11.5098428571429,83.9277,0,0.0,0,67.5819571428571,46.4943571428571,16.1810142857143,22.2615857142857,4,,,,,65847
2026-07-05,202627,17.0,17,17,17,0.08785606,9.266982,0,1,354580320262720719,2026-09-23,Santa BÃ¡rbara d'Oeste,0.66062075,183447,10.9200714285714,94.8952571428571,0,0.0,0,76.116,49.1413142857143,16.5594,23.4730428571429,4,,,,,65847
2026-06-28,202626,25.0,25,25,25,0.34865573,13.627914,0,1,354580320262620719,2026-09-23,Santa BÃ¡rbara d'Oeste,0.89917,183447,14.3991714285714,90.9237428571429,0,0.0,1,75.5856571428571,52.4173142857143,19.0589571428571,25.2452857142857,11,,,,,65847
2026-06-21,202625,25.0,25,25,25,0.34225968,13.627914,0,1,354580320262520719,2026-09-23,Santa BÃ¡rbara d'Oeste,0.8950295,183447,13.0334142857143,96.7601285714286,0,0.0,1,84.6074142857143,65.6946571428571,16.5381714285714,21.3298428571429,9,,,,,65847
2026-06-14,202624,29.0,29,29,29,0.5804984,15.808381,0,1,354580320262420719,2026-09-23,Santa BÃ¡rbara d'Oeste,1.0551441,183447,13.8126,91.3945,0,0.0,1,80.2219,61.6594857142857,16.8474428571429,21.3556714285714,8,,,,,65847
2026-06-07,202623,31.0,31,31,31,0.5662405,16.898613,0,1,354580320262320719,2026-09-23,Santa BÃ¡rbara d'Oeste,1.0434468,183447,12.2448,94.0784285714286,0,0.0,1,78.2166714285714,56.8398142857143,16.9526857142857,22.4380428571429,10,,,,,65847
2026-05-31,202622,22.0,22,22,22,0.062521994,11.992564,0,1,354580320262220719,2026-09-23,Santa BÃ¡rbara d'Oeste,0.6611007,183447,12.9649714285714,96.2386857142857,0,0.0,0,79.4922142857143,54.5182857142857,16.6099,21.8847,4,,,,,65847
2026-05-24,202621,32.0,32,32,32,0.24580492,17.44373,0,1,354580320262120719,2026-09-23,Santa BÃ¡rbara d'Oeste,0.8487067,183447,15.2823571428571,95.3296,0,0.0,1,82.6245,63.6394285714286,19.0173857142857,23.5567857142857,2,,,,,65847
