data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2026-09-13,202637,114.5,26,795,14,0.5016129,15.512215,0,1,355220520263720719,2026-09-23,Sorocaba,1.0005336,738128,13.3087,96.9071,0,0,0,87.4878,70.578375,15.7282,19.359925,4,,,,,354883
2026-09-06,202636,105.0,58,428,54,0.08465167,14.225175,0,1,355220520263620719,2026-09-23,Sorocaba,0.8344584,738128,14.8890857142857,93.2438285714286,0,0,0,85.1540285714286,72.2033428571429,17.5020571428571,21.3451285714286,1,,,,,354883
2026-08-30,202635,104.0,86,201,84,0.028616404,14.089697,0,1,355220520263520719,2026-09-23,Sorocaba,0.7807981,738128,15.8086857142857,92.0267428571429,0,0,0,73.9228285714286,48.6134714285714,20.8390571428571,26.7479714285714,9,,,,,354883
2026-08-23,202634,140.0,132,183,131,0.6303695,18.9669,0,1,355220520263420719,2026-09-23,Sorocaba,1.0409368,738128,14.9899714285714,88.5399714285714,0,0,0,68.4052428571429,42.4437428571429,19.9439,26.1529857142857,8,,,,,354883
2026-08-16,202633,126.0,122,140,122,0.46287847,17.07021,0,1,355220520263320719,2026-09-23,Sorocaba,0.9883814,738128,16.3116714285714,84.8477,0,0,0,60.3843428571429,32.8926714285714,22.0019285714286,28.3709428571429,6,,,,,354883
2026-08-09,202632,150.0,148,158,148,0.9750207,20.321678,0,1,355220520263220719,2026-09-23,Sorocaba,1.2712212,738128,15.8593285714286,90.2841428571429,0,0,0,74.9773571428571,55.3547714285714,19.2921142857143,24.4164571428571,4,,,,,354883
2026-08-02,202631,122.0,121,128,121,0.7440044,16.5283,0,1,355220520263120719,2026-09-23,Sorocaba,1.0893953,738128,14.9290571428571,90.4072,0,0,0,66.6438,39.8512857142857,20.0322857142857,26.1510285714286,4,,,,,354883
2026-07-26,202630,122.5,122,127,122,0.6000971,16.596037,0,1,355220520263020719,2026-09-23,Sorocaba,1.0331501,738128,13.2889714285714,89.3478857142857,0,0,0,70.5817857142857,43.3655285714286,18.6527428571429,25.4584714285714,2,,,,,354883
2026-07-19,202629,103.0,103,106,103,0.006053477,13.954219,0,1,355220520262920719,2026-09-23,Sorocaba,0.72468084,738128,13.0170428571429,84.5905571428571,0,0,0,66.5911714285714,48.789,17.9199571428571,23.6460285714286,4,,,,,354883
2026-07-12,202628,111.0,111,113,111,0.0011168073,15.038042,0,1,355220520262820719,2026-09-23,Sorocaba,0.68850094,738128,10.1953857142857,88.0032428571429,0,0,0,69.9130285714286,45.9357142857143,15.1352285714286,21.3853428571429,3,,,,,354883
