Grupo,Antecedencia,Lacuna,Semanas,Baseline_MAE,LGBM_MAE,Razao_MAE,LGBM_MAE_vs_sem_lacuna
treino,1,0,7799,30.61,26.19,0.855,1.0
treino,1,4,7799,105.71,75.97,0.719,2.901
treino,1,5,7799,122.62,87.43,0.713,3.339
treino,2,0,7786,50.15,39.45,0.787,1.0
treino,2,4,7786,122.7,86.36,0.704,2.189
treino,2,5,7786,138.66,95.43,0.688,2.419
treino,3,0,7773,68.96,52.12,0.756,1.0
treino,3,4,7773,138.6,95.57,0.69,1.833
treino,3,5,7773,152.75,103.67,0.679,1.989
treino,4,0,7760,87.68,64.44,0.735,1.0
treino,4,4,7760,152.55,104.2,0.683,1.617
treino,4,5,7760,165.67,110.27,0.666,1.711
validacao,1,0,3600,63.82,60.17,0.943,1.0
validacao,1,4,3600,238.19,189.73,0.797,3.153
validacao,1,5,3600,276.71,213.31,0.771,3.545
validacao,2,0,3594,109.72,93.52,0.852,1.0
validacao,2,4,3594,276.98,212.67,0.768,2.274
validacao,2,5,3594,312.9,240.67,0.769,2.573
validacao,3,0,3588,153.53,129.75,0.845,1.0
validacao,3,4,3588,313.04,242.15,0.774,1.866
validacao,3,5,3588,345.6,263.27,0.762,2.029
validacao,4,0,3582,197.05,162.06,0.822,1.0
validacao,4,4,3582,345.52,262.23,0.759,1.618
validacao,4,5,3582,375.17,278.62,0.743,1.719
