Grupo,Cidade,Horizonte,Semanas,Baseline_MAE,LGBM_MAE,Baseline_RMSE,LGBM_RMSE,Baseline_R2,LGBM_R2,Razao_MAE
treino,Campinas,Semana +1,600.0,129.21,99.97,342.99,295.56,0.9578,0.9687,0.774
treino,Cosmópolis,Semana +1,600.0,5.88,5.42,15.28,15.11,0.944,0.9453,0.92
treino,Limeira,Semana +1,600.0,38.98,40.29,103.93,130.25,0.954,0.9277,1.034
treino,Piracicaba,Semana +1,599.0,53.95,47.46,119.82,109.22,0.9597,0.9665,0.88
treino,Rio Claro,Semana +1,600.0,27.58,28.31,80.47,85.91,0.9246,0.9141,1.026
treino,Americana,Semana +1,600.0,31.02,25.11,67.08,56.88,0.951,0.9648,0.81
treino,Sumaré,Semana +1,600.0,19.7,18.91,52.47,52.59,0.9327,0.9324,0.96
treino,Hortolândia,Semana +1,600.0,23.07,22.07,57.09,54.46,0.931,0.9372,0.956
treino,Indaiatuba,Semana +1,600.0,14.33,12.91,48.92,45.39,0.9443,0.9521,0.901
treino,Santa Bárbara d'Oeste,Semana +1,600.0,21.65,18.61,53.23,47.87,0.9236,0.9382,0.859
treino,Paulínia,Semana +1,600.0,12.64,11.02,26.66,23.16,0.9355,0.9514,0.872
treino,Valinhos,Semana +1,600.0,10.39,9.09,21.54,20.89,0.9457,0.9489,0.875
treino,Araras,Semana +1,600.0,9.6,8.42,19.69,17.58,0.9424,0.954,0.877
validacao,São José do Rio Preto,Semana +1,600.0,90.0,100.03,165.49,217.43,0.9701,0.9484,1.111
validacao,Ribeirão Preto,Semana +1,600.0,80.6,88.82,178.07,225.55,0.9523,0.9234,1.102
validacao,Sorocaba,Semana +1,600.0,85.12,76.3,213.2,208.98,0.9614,0.9629,0.896
validacao,Presidente Prudente,Semana +1,600.0,61.34,53.81,139.54,120.15,0.9539,0.9658,0.877
validacao,Bauru,Semana +1,600.0,43.95,36.26,100.88,82.96,0.9574,0.9712,0.825
validacao,Santos,Semana +1,600.0,21.88,19.24,47.6,40.06,0.9494,0.9642,0.879
treino,Campinas,Semana +2,599.0,215.47,151.36,582.94,464.76,0.8783,0.9226,0.702
treino,Cosmópolis,Semana +2,599.0,8.38,7.03,21.58,18.99,0.8885,0.9136,0.839
treino,Limeira,Semana +2,599.0,65.5,60.32,178.97,202.16,0.8637,0.8261,0.921
treino,Piracicaba,Semana +2,598.0,89.75,75.46,198.5,178.8,0.8895,0.9104,0.841
treino,Rio Claro,Semana +2,599.0,42.9,39.82,124.35,134.67,0.8202,0.7892,0.928
treino,Americana,Semana +2,599.0,51.49,38.1,114.37,89.98,0.8578,0.9119,0.74
treino,Sumaré,Semana +2,599.0,31.32,26.78,81.66,73.65,0.8372,0.8676,0.855
treino,Hortolândia,Semana +2,599.0,36.58,30.39,87.26,77.13,0.8391,0.8743,0.831
treino,Indaiatuba,Semana +2,599.0,24.19,19.67,87.1,78.62,0.8238,0.8564,0.813
treino,Santa Bárbara d'Oeste,Semana +2,599.0,35.85,27.95,91.18,79.78,0.7761,0.8286,0.78
treino,Paulínia,Semana +2,599.0,20.07,14.98,44.3,33.93,0.8223,0.8958,0.746
treino,Valinhos,Semana +2,599.0,15.75,12.48,33.58,33.58,0.8681,0.8682,0.792
treino,Araras,Semana +2,599.0,14.79,12.24,32.66,27.89,0.8416,0.8845,0.828
validacao,São José do Rio Preto,Semana +2,599.0,157.36,157.16,297.33,334.66,0.9035,0.8778,0.999
validacao,Ribeirão Preto,Semana +2,599.0,135.27,124.16,301.21,326.95,0.8636,0.8393,0.918
validacao,Sorocaba,Semana +2,599.0,147.18,126.78,373.0,362.72,0.882,0.8884,0.861
validacao,Presidente Prudente,Semana +2,599.0,108.5,82.25,244.74,184.5,0.8583,0.9195,0.758
validacao,Bauru,Semana +2,599.0,74.67,55.16,176.83,140.52,0.8691,0.9174,0.739
validacao,Santos,Semana +2,599.0,35.35,29.08,81.65,63.96,0.8514,0.9088,0.823
treino,Campinas,Semana +3,598.0,302.17,207.4,799.31,613.61,0.7716,0.8654,0.686
treino,Cosmópolis,Semana +3,598.0,10.1,8.44,27.38,23.16,0.8208,0.8717,0.836
treino,Limeira,Semana +3,598.0,92.13,80.28,248.21,275.63,0.738,0.6769,0.871
treino,Piracicaba,Semana +3,597.0,123.02,100.79,272.82,261.06,0.7916,0.8092,0.819
treino,Rio Claro,Semana +3,598.0,58.16,50.64,167.15,167.33,0.6737,0.673,0.871
treino,Americana,Semana +3,598.0,69.88,50.05,159.29,121.74,0.7245,0.8391,0.716
treino,Sumaré,Semana +3,598.0,41.17,33.61,106.85,94.04,0.721,0.7839,0.816
treino,Hortolândia,Semana +3,598.0,49.65,37.87,115.34,99.61,0.7193,0.7907,0.763
treino,Indaiatuba,Semana +3,598.0,33.89,25.35,122.48,101.1,0.6522,0.763,0.748
treino,Santa Bárbara d'Oeste,Semana +3,598.0,49.36,33.3,124.01,108.81,0.5866,0.6817,0.675
treino,Paulínia,Semana +3,598.0,27.2,18.48,60.19,42.97,0.6725,0.8331,0.679
treino,Valinhos,Semana +3,598.0,19.98,15.92,44.14,43.77,0.7725,0.7764,0.797
treino,Araras,Semana +3,598.0,19.89,15.6,44.56,36.64,0.7057,0.801,0.784
validacao,São José do Rio Preto,Semana +3,598.0,222.8,225.33,421.84,508.25,0.8061,0.7185,1.011
validacao,Ribeirão Preto,Semana +3,598.0,189.66,171.37,413.6,435.37,0.7431,0.7154,0.904
validacao,Sorocaba,Semana +3,598.0,207.91,173.06,528.7,512.52,0.7631,0.7774,0.832
validacao,Presidente Prudente,Semana +3,598.0,149.1,105.3,342.39,236.65,0.723,0.8677,0.706
validacao,Bauru,Semana +3,598.0,103.54,77.42,246.69,210.08,0.7457,0.8156,0.748
validacao,Santos,Semana +3,598.0,48.19,37.48,114.67,88.96,0.7074,0.8239,0.778
treino,Campinas,Semana +4,597.0,391.66,262.55,1001.26,795.72,0.6422,0.774,0.67
treino,Cosmópolis,Semana +4,597.0,12.25,10.08,33.71,27.82,0.7287,0.8153,0.823
treino,Limeira,Semana +4,597.0,118.19,98.87,311.78,361.5,0.5854,0.4427,0.837
treino,Piracicaba,Semana +4,596.0,154.67,117.34,342.33,306.85,0.6723,0.7367,0.759
treino,Rio Claro,Semana +4,597.0,70.9,63.5,204.98,227.16,0.5032,0.3899,0.896
treino,Americana,Semana +4,597.0,88.67,61.9,202.09,154.94,0.5572,0.7397,0.698
treino,Sumaré,Semana +4,597.0,51.31,38.28,132.62,115.74,0.5674,0.6705,0.746
treino,Hortolândia,Semana +4,597.0,62.3,47.78,146.15,133.04,0.55,0.6271,0.767
treino,Indaiatuba,Semana +4,597.0,43.16,32.77,154.68,138.77,0.4462,0.5542,0.759
treino,Santa Bárbara d'Oeste,Semana +4,597.0,62.22,40.85,153.16,126.49,0.3704,0.5706,0.657
treino,Paulínia,Semana +4,597.0,34.23,21.62,76.15,50.36,0.4768,0.7711,0.632
treino,Valinhos,Semana +4,597.0,25.11,19.33,54.95,54.12,0.6481,0.6585,0.77
treino,Araras,Semana +4,597.0,25.21,17.92,55.42,41.68,0.5453,0.7429,0.711
validacao,São José do Rio Preto,Semana +4,597.0,285.59,274.9,537.13,582.06,0.6861,0.6314,0.963
validacao,Ribeirão Preto,Semana +4,597.0,244.95,219.18,518.98,533.17,0.5961,0.5737,0.895
validacao,Sorocaba,Semana +4,597.0,268.32,218.41,669.03,682.62,0.6199,0.6043,0.814
validacao,Presidente Prudente,Semana +4,597.0,189.8,128.15,435.06,284.58,0.5534,0.8089,0.675
validacao,Bauru,Semana +4,597.0,133.03,92.53,312.22,231.3,0.5933,0.7768,0.696
validacao,Santos,Semana +4,597.0,60.6,45.82,145.18,115.75,0.5317,0.7023,0.756
