Grupo,Ano,Horizonte,Semanas,Baseline_MAE,LGBM_MAE,Baseline_RMSE,LGBM_RMSE,Baseline_R2,LGBM_R2,Razao_MAE
treino,2015,Semana +1,676.0,68.14,62.26,183.06,180.07,0.9503,0.952,0.914
validacao,2015,Semana +1,312.0,96.97,94.43,234.75,251.42,0.943,0.9347,0.974
treino,2016,Semana +1,676.0,11.25,11.42,23.13,23.69,0.9485,0.9459,1.015
validacao,2016,Semana +1,312.0,65.25,79.27,158.67,244.02,0.9659,0.9194,1.215
treino,2017,Semana +1,689.0,4.53,5.31,7.34,10.1,0.92,0.8484,1.173
validacao,2017,Semana +1,318.0,8.8,12.24,13.18,22.61,0.8749,0.632,1.391
treino,2018,Semana +1,676.0,3.03,2.98,5.24,5.35,0.8902,0.8856,0.986
validacao,2018,Semana +1,312.0,10.99,11.52,26.5,26.0,0.7966,0.8042,1.049
treino,2019,Semana +1,676.0,26.94,22.1,72.34,67.26,0.9496,0.9565,0.82
validacao,2019,Semana +1,312.0,79.33,67.07,149.45,143.8,0.9594,0.9624,0.845
treino,2020,Semana +1,676.0,10.32,10.35,19.31,21.09,0.9344,0.9217,1.003
validacao,2020,Semana +1,312.0,38.55,38.17,86.6,85.48,0.9442,0.9456,0.99
treino,2021,Semana +1,676.0,11.97,9.8,31.46,27.15,0.9372,0.9532,0.819
validacao,2021,Semana +1,312.0,39.79,31.84,82.0,67.18,0.9622,0.9746,0.8
treino,2022,Semana +1,676.0,23.12,19.09,50.05,36.82,0.9294,0.9618,0.826
validacao,2022,Semana +1,312.0,54.54,52.98,95.71,91.69,0.9433,0.948,0.971
treino,2023,Semana +1,689.0,21.52,20.04,44.28,45.2,0.9344,0.9317,0.931
validacao,2023,Semana +1,318.0,90.94,70.52,178.09,134.94,0.9487,0.9706,0.775
treino,2024,Semana +1,676.0,96.78,81.68,291.42,259.91,0.9596,0.9679,0.844
validacao,2024,Semana +1,312.0,133.9,151.74,268.25,308.8,0.9531,0.9378,1.133
treino,2025,Semana +1,676.0,67.32,54.65,132.48,112.66,0.9578,0.9695,0.812
validacao,2025,Semana +1,312.0,99.67,92.36,174.3,192.25,0.9763,0.9712,0.927
treino,2026,Semana +1,337.0,15.58,16.61,25.78,27.13,0.959,0.9546,1.066
validacao,2026,Semana +1,156.0,31.35,32.72,42.14,46.49,0.9252,0.9089,1.044
treino,2015,Semana +2,676.0,116.23,93.06,318.53,278.35,0.8497,0.8852,0.801
validacao,2015,Semana +2,312.0,173.74,164.75,420.22,441.63,0.8234,0.8049,0.948
